V4	algorithmID	n	roicount	perc
ATM	manta	4	4225	0.0946745562130177
BRCA1	convading	1	1404	0.0712250712250712
BRCA1	decon	2	1404	0.142450142450142
BRCA1	exomedepth	2	1404	0.142450142450142
BRCA1	manta	20	1404	1.42450142450142
BRCA1	panelcn	2	1404	0.142450142450142
BRCA2	cnvkit5	2	1731	0.115540150202195
BRCA2	convading	1	1731	0.0577700751010976
BRCA2	decon	1	1731	0.0577700751010976
BRCA2	exomedepth	1	1731	0.0577700751010976
BRCA2	manta	24	1731	1.38648180242634
BRCA2	panelcn	4	1731	0.231080300404391
CHEK2	convading	1	1010	0.099009900990099
CHEK2	manta	20	1010	1.98019801980198
EPCAM	manta	1	622	0.160771704180064
EZH2	manta	1	1	100
FH	manta	10	10	100
MLH1	cnvkit5	1	1311	0.07627765064836
MLH1	convading	2	1311	0.15255530129672
MLH1	manta	19	1311	1.44927536231884
MSH2	cnvkit5	1	1025	0.0975609756097561
MSH2	convading	3	1025	0.292682926829268
MSH2	manta	32	1025	3.1219512195122
NF1	manta	21	21	100
NSD1	cnvkit5	6	39	15.3846153846154
NSD1	convading	1	39	2.56410256410256
NSD1	decon	4	39	10.2564102564103
NSD1	exomedepth	4	39	10.2564102564103
NSD1	manta	10	39	25.6410256410256
NSD1	panelcn	3	39	7.69230769230769
PALB2	manta	1	885	0.112994350282486
PMS2	convading	4	716	0.558659217877095
PMS2	manta	23	716	3.2122905027933
PMS2	panelcn	3	716	0.418994413407821
PTEN	manta	1	613	0.163132137030995
RAD51C	manta	6	618	0.970873786407767
RB1	manta	4	4	100
SDHB	exomedepth	1	7	14.2857142857143
SDHB	manta	7	7	100
TP53	cnvkit5	1	754	0.13262599469496
TP53	manta	12	754	1.59151193633952
TP53	panelcn	2	754	0.26525198938992
WT1	manta	10	10	100
