genes	cnvkit5	convading	decon	exomedepth	manta	panelcn	n
ATM	0	0	0	0	100	0	4
BRCA1	0	4.1667	8.3333	8.3333	83.3333	8.3333	24
BRCA2	6.6667	3.3333	3.3333	3.3333	80	13.3333	30
CHEK2	0	2.8571	0	0	57.1429	0	35
EPCAM	0	0	0	0	100	0	1
EZH2	0	0	0	0	100	0	1
FH	0	0	0	0	100	0	10
MLH1	5.2632	10.5263	0	0	100	0	19
MSH2	3.0303	9.0909	0	0	96.9697	0	33
MSH6	0	0	0	0	0	0	10
NF1	0	0	0	0	100	0	21
NSD1	15.3846	2.5641	10.2564	10.2564	25.641	7.6923	39
PALB2	0	0	0	0	100	0	1
PMS2	0	17.3913	0	0	100	13.0435	23
PTEN	0	0	0	0	100	0	1
RAD51C	0	0	0	0	100	0	6
RB1	0	0	0	0	100	0	4
SDHB	0	0	0	0	100	0	7
TP53	5.8824	0	0	0	70.5882	11.7647	17
WT1	0	0	0	0	100	0	10
