V8	algorithmID	n	roicount	perc
APC	cnvkit5	28	1104	2.53623188405797
APC	convading	26	1104	2.35507246376812
APC	decon	6	1104	0.543478260869565
APC	exomedepth	6	1104	0.543478260869565
APC	panelcn	18	1104	1.6304347826087
ATM	cnvkit5	81	4225	1.91715976331361
ATM	convading	60	4225	1.42011834319527
ATM	manta	3	4225	0.0710059171597633
ATM	panelcn	45	4225	1.06508875739645
BAP1	cnvkit5	26	1173	2.21653878942881
BAP1	convading	17	1173	1.44927536231884
BAP1	panelcn	13	1173	1.10826939471441
BARD1	cnvkit5	31	759	4.08432147562582
BARD1	convading	20	759	2.63504611330698
BARD1	decon	5	759	0.658761528326746
BARD1	exomedepth	4	759	0.527009222661397
BARD1	panelcn	13	759	1.71277997364954
BMPR1A	cnvkit5	44	897	4.90523968784838
BMPR1A	convading	14	897	1.56075808249721
BMPR1A	decon	4	897	0.445930880713489
BMPR1A	exomedepth	1	897	0.111482720178372
BMPR1A	panelcn	8	897	0.891861761426979
BRCA1	cnvkit5	41	1404	2.92022792022792
BRCA1	convading	12	1404	0.854700854700855
BRCA1	panelcn	9	1404	0.641025641025641
BRCA2	cnvkit5	39	1731	2.25303292894281
BRCA2	convading	18	1731	1.03986135181976
BRCA2	decon	4	1731	0.231080300404391
BRCA2	exomedepth	4	1731	0.231080300404391
BRCA2	panelcn	16	1731	0.924321201617562
BRIP1	cnvkit5	43	1380	3.11594202898551
BRIP1	convading	30	1380	2.17391304347826
BRIP1	panelcn	22	1380	1.59420289855072
CDH1	cnvkit5	38	1104	3.44202898550725
CDH1	convading	14	1104	1.26811594202899
CDH1	decon	5	1104	0.452898550724638
CDH1	exomedepth	4	1104	0.36231884057971
CDH1	panelcn	9	1104	0.815217391304348
CDK4	cnvkit5	11	552	1.99275362318841
CDK4	convading	5	552	0.905797101449275
CDKN2A	cnvkit5	8	276	2.89855072463768
CDKN2A	convading	13	276	4.71014492753623
CDKN2A	panelcn	2	276	0.72463768115942
CHEK2	cnvkit5	36	1010	3.56435643564356
CHEK2	convading	6	1010	0.594059405940594
CHEK2	panelcn	8	1010	0.792079207920792
EPCAM	cnvkit5	45	622	7.23472668810289
EPCAM	convading	5	622	0.803858520900322
EPCAM	decon	1	622	0.160771704180064
EPCAM	exomedepth	1	622	0.160771704180064
EPCAM	panelcn	3	622	0.482315112540193
MLH1	cnvkit5	28	1311	2.13577421815408
MLH1	convading	6	1311	0.45766590389016
MLH1	panelcn	7	1311	0.53394355453852
MSH2	cnvkit5	30	1025	2.92682926829268
MSH2	convading	6	1025	0.585365853658537
MSH2	panelcn	9	1025	0.878048780487805
MSH6	cnvkit5	24	680	3.52941176470588
MSH6	convading	19	680	2.79411764705882
MSH6	decon	2	680	0.294117647058824
MSH6	panelcn	7	680	1.02941176470588
MUTYH	cnvkit5	55	1104	4.98188405797101
MUTYH	convading	17	1104	1.53985507246377
MUTYH	panelcn	9	1104	0.815217391304348
NBN	cnvkit5	28	1104	2.53623188405797
NBN	convading	29	1104	2.6268115942029
NBN	decon	4	1104	0.36231884057971
NBN	panelcn	15	1104	1.35869565217391
PALB2	cnvkit5	28	885	3.1638418079096
PALB2	convading	2	885	0.225988700564972
PALB2	decon	1	885	0.112994350282486
PALB2	exomedepth	1	885	0.112994350282486
PALB2	panelcn	3	885	0.338983050847458
PMS2	cnvkit5	18	716	2.51396648044693
PMS2	convading	7	716	0.977653631284916
PMS2	panelcn	8	716	1.11731843575419
PTEN	cnvkit5	21	613	3.4257748776509
PTEN	convading	29	613	4.73083197389886
PTEN	panelcn	13	613	2.12071778140294
RAD51C	cnvkit5	25	618	4.0453074433657
RAD51C	convading	1	618	0.161812297734628
RAD51C	decon	1	618	0.161812297734628
RAD51C	panelcn	7	618	1.13268608414239
RAD51D	cnvkit5	13	690	1.88405797101449
RAD51D	convading	4	690	0.579710144927536
RAD51D	decon	1	690	0.144927536231884
RAD51D	panelcn	9	690	1.30434782608696
SMAD4	cnvkit5	18	828	2.17391304347826
SMAD4	convading	14	828	1.69082125603865
SMAD4	panelcn	7	828	0.845410628019324
STK11	cnvkit5	13	690	1.88405797101449
STK11	convading	12	690	1.73913043478261
STK11	decon	1	690	0.144927536231884
STK11	panelcn	10	690	1.44927536231884
TP53	cnvkit5	14	754	1.85676392572944
TP53	convading	6	754	0.795755968169761
TP53	decon	24	754	3.18302387267904
TP53	exomedepth	23	754	3.05039787798408
TP53	manta	1	754	0.13262599469496
TP53	panelcn	12	754	1.59151193633952
