V11	V8	n
300	MUTYH	1
308	MUTYH	1
313	EPCAM	2
326	MSH2	1
343	MSH6	1
372	MLH1	1
394	BAP1	1
395	APC	1
421	PMS2	1
442	BMPR1A	1
547	PALB2	1
548	CDH1	1
561	CDH1	1
576	RAD51D	1
607	BRCA1	1
613	RAD51C	1
636	BRIP1	1
673	CHEK2	1
690	EPCAM	1
721	MSH6	1
798	PMS2	1
952	CDH1	1
1048	SMAD4	1
1556	BAP1	1
1611	BMPR1A	3
1744	CDH1	4
1792	BRCA1	1
1885	MUTYH	1
1939	MLH1	1
1960	BAP1	1
1978	APC	1
2012	CDKN2A	2
2013	CDKN2A	1
2014	CDKN2A	2
2015	BMPR1A	1
2129	BRCA2	1
2135	PALB2	2
2148	CDH1	1
2192	RAD51C	1
2250	CHEK2	1
2255	MUTYH	1
2257	MUTYH	1
2267	EPCAM	1
2276	MSH6	5
2294	BARD1	4
2325	BAP1	1
2375	NBN	3
2377	CDKN2A	2
2378	CDKN2A	1
2379	CDKN2A	1
2380	BMPR1A	4
2473	BRCA2	3
2505	PALB2	1
2513	CDH1	4
2514	CDH1	1
2549	RAD51D	2
2602	SMAD4	2
2618	STK11	4
2626	CHEK2	1
2729	BAP1	1
2784	BMPR1A	1
2941	BRCA1	1
3281	CDH1	1
3410	MUTYH	1
3685	CDH1	1
3791	MUTYH	1
3803	MUTYH	1
3804	EPCAM	1
3885	BAP1	1
3933	BMPR1A	1
4065	PALB2	1
4066	CDH1	1
4125	BRCA1	1
4162	SMAD4	1
5000	MUTYH	1
5009	EPCAM	1
5479	BAP1	1
5531	CDKN2A	1
5667	CDH1	2
6071	CDH1	2
6475	CDH1	1
6616	MUTYH	1
6617	EPCAM	1
6746	BMPR1A	1
6839	BRCA2	1
6878	PALB2	1
6879	CDH1	1
7021	EPCAM	1
7150	BMPR1A	1
7282	PALB2	1
7283	CDH1	1
7371	BRIP1	1
7408	CHEK2	1
7425	EPCAM	1
7538	BMPR1A	1
7767	SMAD4	1
7800	MUTYH	1
7812	MUTYH	1
7813	EPCAM	1
7921	PMS2	1
7942	BMPR1A	1
8075	CDH1	1
8575	MUTYH	1
8587	MUTYH	1
