genes	cnvkit5	convading	decon	exomedepth	manta	panelcn	n
APC	2.5362	2.3551	0.5435	0.5435	0	1.6304	1104
ATM	1.919	1.4215	0	0	0.0711	1.0661	4221
BAP1	2.2165	1.4493	0	0	0	1.1083	1173
BARD1	4.0843	2.635	0.6588	0.527	0	1.7128	759
BMPR1A	4.9052	1.5608	0.4459	0.1115	0	0.8919	897
BRCA1	2.971	0.8696	0	0	0	0.6522	1380
BRCA2	2.2928	1.0582	0.2352	0.2352	0	0.9406	1701
BRIP1	3.1159	2.1739	0	0	0	1.5942	1380
CDH1	3.442	1.2681	0.4529	0.3623	0	0.8152	1104
CDK4	1.9928	0.9058	0	0	0	0	552
CDKN2A	2.8986	4.7101	0	0	0	0.7246	276
CHEK2	3.6923	0.6154	0	0	0	0.8205	975
EPCAM	7.2464	0.8052	0.161	0.161	0	0.4831	621
MLH1	2.1672	0.4644	0	0	0	0.5418	1292
MSH2	3.0242	0.6048	0	0	0	0.9073	992
MSH6	3.5821	2.8358	0.2985	0	0	1.0448	670
MUTYH	4.9819	1.5399	0	0	0	0.8152	1104
NBN	2.5362	2.6268	0.3623	0	0	1.3587	1104
PALB2	3.1674	0.2262	0.1131	0.1131	0	0.3394	884
PMS2	2.5974	1.0101	0	0	0	1.1544	693
PTEN	3.4314	4.7386	0	0	0	2.1242	612
RAD51C	4.085	0.1634	0.1634	0	0	1.1438	612
RAD51D	1.8841	0.5797	0.1449	0	0	1.3043	690
SMAD4	2.1739	1.6908	0	0	0	0.8454	828
STK11	1.8841	1.7391	0.1449	0	0	1.4493	690
TP53	1.8996	0.8141	3.2564	3.1208	0.1357	1.6282	737
