genes	cnvkit5	convading	decon	exomedepth	manta	panelcn	n
APC	2.7174	2.3551	0.5435	0.5435	0	1.8116	1104
ATM	1.99	1.3978	0	0	0.0711	1.2082	4221
BAP1	1.5345	1.5345	0	0	0	0.9378	1173
BMPR1A	4.2363	1.4493	0.223	0	0	0.8919	897
BRCA1	2.5362	0.942	0	0	0	1.0145	1380
BRCA2	2.7631	0.9406	0.0588	0.0588	0	0.9994	1701
BRIP1	3.3333	2.1739	0	0	0	1.8841	1380
CDH1	2.6268	1.2681	0.6341	0.4529	0	1.087	1104
CHEK2	2.8718	0.7179	0.1026	0.1026	0	0.7179	975
EPCAM	6.4412	0.8052	0.3221	0	0	0.9662	621
MLH1	1.8576	0.2322	0	0	0	0.6966	1292
MSH2	2.8226	0.504	0	0	0	1.3105	992
MSH6	4.7761	2.8358	0	0	0	1.3433	670
MUTYH	4.0761	1.5399	0	0	0	0.9964	1104
PALB2	2.1493	0.4525	0	0	0	0.4525	884
PMS2	3.0303	1.0101	0	0	0	1.443	693
PTEN	3.4314	4.7386	0.6536	0.4902	0	2.7778	612
RAD51C	4.2484	0.3268	0	0	0	1.1438	612
RAD51D	2.6087	0.5797	0	0	0	1.0145	690
SMAD4	2.7778	1.6908	0	0	0	0.7246	828
STK11	1.3043	1.8841	0.1449	0	0	1.0145	690
TP53	2.3066	1.0855	1.6282	1.4925	0.1357	2.0353	737
