genes	cnvkit5	convading	decon	panelcn	n
APC	0	1.8116	4.3478	0.9058	1104
ATM	0	1.7278	4.4734	0.6154	4225
BAP1	0	4.0921	4.3478	0.341	1173
BARD1	0	6.4559	4.3478	1.3175	759
BMPR1A	0	8.1382	4.3478	3.9019	897
BRCA1	0	18.8746	3.4188	0.641	1404
BRCA2	0	8.6077	3.7551	1.0399	1731
BRIP1	0	2.029	4.3478	0.7246	1380
CDH1	0	7.0652	4.3478	2.0833	1104
CDK4	0	4.8913	4.3478	0.9058	552
CDKN2A	0	57.2464	4.3478	2.8986	276
CHEK2	0	44.8515	4.4554	0.396	1010
EPCAM	0	24.1158	4.3408	4.5016	622
FH	0	10	0	0	10
MLH1	0	22.8833	4.3478	0.2288	1311
MSH2	0	27.122	4.6829	0.5854	1025
MSH6	0	41.9118	4.4118	2.3529	680
MUTYH	0	10.5978	4.3478	0.9964	1104
NBN	0	9.6014	4.3478	1.4493	1104
NSD1	7.6923	7.6923	79.4872	0	39
PALB2	0	0.791	4.4068	0.113	885
PMS2	0	35.6145	4.6089	0.9777	716
PTEN	0	6.6884	4.4046	2.2838	613
RAD51C	0	16.343	4.3689	0	618
RAD51D	0	3.1884	4.3478	0.5797	690
SMAD4	0	2.2947	4.3478	0.7246	828
STK11	0	18.1159	4.3478	0.7246	690
TP53	0	16.0477	4.3767	1.1936	754
WT1	0	30	0	0	10
