V5	cnvkit5	convading	decon	panelcn
17323	1	1	24	0
17381	1	1	1	0
17383	1	1	6	0
17297	0	1	0	0
17298	0	46	0	0
17299	0	39	0	0
17300	0	34	0	3
17301	0	34	0	2
17302	0	40	0	2
17303	0	34	0	3
17304	0	40	0	3
17305	0	35	0	3
17306	0	29	0	1
17307	0	42	0	0
17308	0	38	0	2
17309	0	39	0	3
17310	0	35	0	3
17311	0	45	0	3
17312	0	33	0	3
17313	0	35	0	2
17314	0	38	0	0
17315	0	37	0	0
17316	0	33	0	0
17317	0	32	0	1
17318	0	35	0	1
17324	0	56	0	4
17327	0	42	0	3
17328	0	35	0	3
17329	0	38	0	3
17330	0	38	0	1
17331	0	29	0	0
17332	0	30	0	0
17334	0	39	0	2
17335	0	81	0	1
17337	0	27	0	0
17339	0	234	404	141
17340	0	38	0	0
17341	0	33	0	1
17342	0	83	388	21
17343	0	37	0	1
17356	0	61	0	12
17359	0	51	0	2
17360	0	55	0	4
17361	0	65	0	7
17363	0	2	0	0
17366	0	5	0	0
17367	0	53	0	0
17368	0	54	0	0
17369	0	48	0	2
17370	0	50	0	3
17371	0	62	0	5
17373	0	52	0	0
17375	0	46	0	0
17376	0	52	0	0
17377	0	54	0	0
17378	0	48	0	0
17379	0	37	0	0
17380	0	2	0	0
17382	0	50	0	0
17385	0	48	0	0
17386	0	46	0	0
17387	0	60	0	4
17388	0	52	0	4
17389	0	52	0	0
17390	0	40	0	3
17391	0	51	0	0
17392	0	52	0	0
17393	0	36	0	0
17394	0	120	383	26
17395	0	3	0	0
17396	0	55	0	0
17397	0	51	0	0
17398	0	21	0	0
17399	0	49	0	0
17400	0	48	0	0
17401	0	59	0	0
17402	0	48	0	0
