#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2021-04-11T14:10:10.600487Z
getAlignmentStats_generateStats_000		complete	0	2021-04-11T14:10:16.261385Z
getAlignmentStats_generateStats_001		complete	0	2021-04-11T14:10:16.033963Z
getAlignmentStats_generateStats_002		complete	0	2021-04-11T14:10:14.605874Z
getAlignmentStats_generateStats_003		complete	0	2021-04-11T14:10:17.713011Z
getAlignmentStats_generateStats_004		complete	0	2021-04-11T14:10:21.113516Z
getAlignmentStats_generateStats_005		complete	0	2021-04-11T14:10:22.738721Z
getAlignmentStats_generateStats_006		complete	0	2021-04-11T14:10:15.394987Z
getAlignmentStats_generateStats_007		complete	0	2021-04-11T14:10:22.860882Z
getAlignmentStats_generateStats_008		complete	0	2021-04-11T14:10:16.985462Z
getAlignmentStats_generateStats_009		complete	0	2021-04-11T14:10:19.438093Z
getAlignmentStats_mergeStats		complete	0	2021-04-11T14:10:22.990925Z
getAlignmentStats_removeTmpDir		complete	0	2021-04-11T14:10:23.159658Z
summarizeStats		complete	0	2021-04-11T14:10:23.163926Z
makeGraphTmpDir		complete	0	2021-04-11T14:10:23.169174Z
makeLocusGraph_chromId_000_1_0000		complete	0	2021-04-11T14:10:39.430285Z
makeLocusGraph_chromId_000_1_0001		complete	0	2021-04-11T14:10:35.832897Z
makeLocusGraph_chromId_000_1_0002		complete	0	2021-04-11T14:10:39.623069Z
makeLocusGraph_chromId_000_1_0003		complete	0	2021-04-11T14:10:38.430558Z
makeLocusGraph_chromId_000_1_0004		complete	0	2021-04-11T14:10:38.469126Z
makeLocusGraph_chromId_000_1_0005		complete	0	2021-04-11T14:10:46.460077Z
makeLocusGraph_chromId_000_1_0006		complete	0	2021-04-11T14:10:25.268185Z
makeLocusGraph_chromId_000_1_0007		complete	0	2021-04-11T14:10:38.196600Z
makeLocusGraph_chromId_000_1_0008		complete	0	2021-04-11T14:10:43.983318Z
makeLocusGraph_chromId_000_1_0009		complete	0	2021-04-11T14:10:50.385854Z
makeLocusGraph_chromId_000_1_0010		complete	0	2021-04-11T14:10:34.258028Z
makeLocusGraph_chromId_000_1_0011		complete	0	2021-04-11T14:10:26.004122Z
makeLocusGraph_chromId_000_1_0012		complete	0	2021-04-11T14:10:54.541408Z
makeLocusGraph_chromId_000_1_0013		complete	0	2021-04-11T14:10:26.602643Z
makeLocusGraph_chromId_000_1_0014		complete	0	2021-04-11T14:10:33.100797Z
makeLocusGraph_chromId_000_1_0015		complete	0	2021-04-11T14:10:39.434004Z
makeLocusGraph_chromId_000_1_0016		complete	0	2021-04-11T14:10:59.741072Z
makeLocusGraph_chromId_000_1_0017		complete	0	2021-04-11T14:10:38.269064Z
makeLocusGraph_chromId_000_1_0018		complete	0	2021-04-11T14:10:38.561052Z
makeLocusGraph_chromId_000_1_0019		complete	0	2021-04-11T14:10:39.460621Z
makeLocusGraph_chromId_000_1_0020		complete	0	2021-04-11T14:10:47.997302Z
makeLocusGraph_chromId_001_1_KI270706v1_random_0000		complete	0	2021-04-11T14:10:49.975977Z
makeLocusGraph_chromId_002_1_KI270707v1_random_0000_to_chromId_003_1_KI270708v1_random_0000		complete	0	2021-04-11T14:10:30.204503Z
makeLocusGraph_chromId_004_1_KI270709v1_random_0000_to_chromId_006_1_KI270711v1_random_0000		complete	0	2021-04-11T14:10:30.396463Z
makeLocusGraph_chromId_007_1_KI270712v1_random_0000		complete	0	2021-04-11T14:10:31.058466Z
makeLocusGraph_chromId_008_1_KI270713v1_random_0000_to_chromId_009_1_KI270714v1_random_0000		complete	0	2021-04-11T14:10:23.634397Z
makeLocusGraph_chromId_010_1_GL383518v1_alt_0000		complete	0	2021-04-11T14:10:32.890043Z
makeLocusGraph_chromId_011_1_GL383519v1_alt_0000		complete	0	2021-04-11T14:10:33.469735Z
makeLocusGraph_chromId_012_1_GL383520v2_alt_0000		complete	0	2021-04-11T14:10:36.046340Z
makeLocusGraph_chromId_013_1_KI270759v1_alt_0000		complete	0	2021-04-11T14:10:36.966415Z
makeLocusGraph_chromId_014_1_KI270760v1_alt_0000		complete	0	2021-04-11T14:10:40.890473Z
makeLocusGraph_chromId_015_1_KI270761v1_alt_0000		complete	0	2021-04-11T14:10:47.937370Z
makeLocusGraph_chromId_016_1_KI270762v1_alt_0000		complete	0	2021-04-11T14:10:49.872657Z
makeLocusGraph_chromId_017_1_KI270763v1_alt_0000		complete	0	2021-04-11T14:10:56.220461Z
makeLocusGraph_chromId_018_1_KI270764v1_alt_0000		complete	0	2021-04-11T14:10:26.861880Z
makeLocusGraph_chromId_019_1_KI270765v1_alt_0000		complete	0	2021-04-11T14:10:41.711810Z
makeLocusGraph_chromId_020_1_KI270766v1_alt_0000		complete	0	2021-04-11T14:10:40.321275Z
makeLocusGraph_chromId_021_1_KI270892v1_alt_0000		complete	0	2021-04-11T14:10:43.021556Z
makeLocusGraph_chromId_022_2_0000		complete	0	2021-04-11T14:10:42.829260Z
makeLocusGraph_chromId_022_2_0001		complete	0	2021-04-11T14:10:41.435567Z
makeLocusGraph_chromId_022_2_0002		complete	0	2021-04-11T14:10:46.965868Z
makeLocusGraph_chromId_022_2_0003		complete	0	2021-04-11T14:10:28.408110Z
makeLocusGraph_chromId_022_2_0004		complete	0	2021-04-11T14:10:41.519745Z
makeLocusGraph_chromId_022_2_0005		complete	0	2021-04-11T14:10:25.003465Z
makeLocusGraph_chromId_022_2_0006		complete	0	2021-04-11T14:10:24.509580Z
makeLocusGraph_chromId_022_2_0007		complete	0	2021-04-11T14:10:26.203125Z
makeLocusGraph_chromId_022_2_0008		complete	0	2021-04-11T14:10:27.316826Z
makeLocusGraph_chromId_022_2_0009		complete	0	2021-04-11T14:10:28.105977Z
makeLocusGraph_chromId_022_2_0010		complete	0	2021-04-11T14:10:29.196547Z
makeLocusGraph_chromId_022_2_0011		complete	0	2021-04-11T14:10:24.642587Z
makeLocusGraph_chromId_022_2_0012		complete	0	2021-04-11T14:10:24.233502Z
makeLocusGraph_chromId_022_2_0013		complete	0	2021-04-11T14:10:25.229954Z
makeLocusGraph_chromId_022_2_0014		complete	0	2021-04-11T14:10:26.662121Z
makeLocusGraph_chromId_022_2_0015		complete	0	2021-04-11T14:10:27.560652Z
makeLocusGraph_chromId_022_2_0016		complete	0	2021-04-11T14:10:29.427546Z
makeLocusGraph_chromId_022_2_0017		complete	0	2021-04-11T14:10:30.150645Z
makeLocusGraph_chromId_022_2_0018		complete	0	2021-04-11T14:10:52.358153Z
makeLocusGraph_chromId_022_2_0019		complete	0	2021-04-11T14:10:58.535134Z
makeLocusGraph_chromId_022_2_0020		complete	0	2021-04-11T14:10:49.416238Z
makeLocusGraph_chromId_023_2_KI270715v1_random_0000		complete	0	2021-04-11T14:10:32.699555Z
makeLocusGraph_chromId_024_2_KI270716v1_random_0000		complete	0	2021-04-11T14:10:43.738172Z
makeLocusGraph_chromId_025_2_GL383521v1_alt_0000		complete	0	2021-04-11T14:10:30.549323Z
makeLocusGraph_chromId_026_2_GL383522v1_alt_0000		complete	0	2021-04-11T14:10:39.909536Z
makeLocusGraph_chromId_027_2_GL582966v2_alt_0000		complete	0	2021-04-11T14:10:42.854951Z
makeLocusGraph_chromId_028_2_KI270767v1_alt_0000		complete	0	2021-04-11T14:10:42.270574Z
makeLocusGraph_chromId_029_2_KI270768v1_alt_0000		complete	0	2021-04-11T14:10:47.556077Z
