#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2021-04-26T13:06:38.770871Z
getAlignmentStats_generateStats_000		complete	0	2021-04-26T13:06:52.670697Z
getAlignmentStats_generateStats_001		complete	0	2021-04-26T13:06:53.792234Z
getAlignmentStats_generateStats_002		complete	0	2021-04-26T13:06:53.753115Z
getAlignmentStats_generateStats_003		complete	0	2021-04-26T13:06:54.338057Z
getAlignmentStats_generateStats_004		complete	0	2021-04-26T13:06:54.311994Z
getAlignmentStats_generateStats_005		complete	0	2021-04-26T13:06:54.578085Z
getAlignmentStats_mergeStats		complete	0	2021-04-26T13:06:54.668282Z
getAlignmentStats_removeTmpDir		complete	0	2021-04-26T13:06:54.761823Z
summarizeStats		complete	0	2021-04-26T13:06:54.787540Z
makeGraphTmpDir		complete	0	2021-04-26T13:06:54.780884Z
makeLocusGraph_chromId_000_1_0000		complete	0	2021-04-26T13:07:04.933966Z
makeLocusGraph_chromId_000_1_0001		complete	0	2021-04-26T13:07:05.752954Z
makeLocusGraph_chromId_000_1_0002		complete	0	2021-04-26T13:07:07.162845Z
makeLocusGraph_chromId_000_1_0003		complete	0	2021-04-26T13:07:30.264170Z
makeLocusGraph_chromId_000_1_0004		complete	0	2021-04-26T13:07:26.217742Z
makeLocusGraph_chromId_000_1_0005		complete	0	2021-04-26T13:07:27.067641Z
makeLocusGraph_chromId_000_1_0006		complete	0	2021-04-26T13:07:24.479250Z
makeLocusGraph_chromId_000_1_0007		complete	0	2021-04-26T13:06:56.136363Z
makeLocusGraph_chromId_000_1_0008		complete	0	2021-04-26T13:06:57.097995Z
makeLocusGraph_chromId_000_1_0009		complete	0	2021-04-26T13:07:07.348120Z
makeLocusGraph_chromId_000_1_0010		complete	0	2021-04-26T13:07:23.394326Z
makeLocusGraph_chromId_000_1_0011		complete	0	2021-04-26T13:07:11.946782Z
makeLocusGraph_chromId_000_1_0012		complete	0	2021-04-26T13:07:11.729325Z
makeLocusGraph_chromId_000_1_0013		complete	0	2021-04-26T13:07:14.195186Z
makeLocusGraph_chromId_000_1_0014		complete	0	2021-04-26T13:07:17.931712Z
makeLocusGraph_chromId_000_1_0015		complete	0	2021-04-26T13:07:20.331458Z
makeLocusGraph_chromId_000_1_0016		complete	0	2021-04-26T13:07:16.096106Z
makeLocusGraph_chromId_000_1_0017		complete	0	2021-04-26T13:07:23.548831Z
makeLocusGraph_chromId_000_1_0018		complete	0	2021-04-26T13:07:16.135612Z
makeLocusGraph_chromId_000_1_0019		complete	0	2021-04-26T13:07:25.740957Z
makeLocusGraph_chromId_000_1_0020		complete	0	2021-04-26T13:07:16.931647Z
makeLocusGraph_chromId_001_1_KI270706v1_random_0000		complete	0	2021-04-26T13:07:02.881620Z
makeLocusGraph_chromId_002_1_KI270707v1_random_0000_to_chromId_003_1_KI270708v1_random_0000		complete	0	2021-04-26T13:07:10.030726Z
makeLocusGraph_chromId_004_1_KI270709v1_random_0000_to_chromId_006_1_KI270711v1_random_0000		complete	0	2021-04-26T13:07:28.388364Z
makeLocusGraph_chromId_007_1_KI270712v1_random_0000		complete	0	2021-04-26T13:07:09.943550Z
makeLocusGraph_chromId_008_1_KI270713v1_random_0000_to_chromId_009_1_KI270714v1_random_0000		complete	0	2021-04-26T13:07:13.146919Z
makeLocusGraph_chromId_010_1_GL383518v1_alt_0000		complete	0	2021-04-26T13:07:13.673303Z
makeLocusGraph_chromId_011_1_GL383519v1_alt_0000		complete	0	2021-04-26T13:07:12.105681Z
makeLocusGraph_chromId_012_1_GL383520v2_alt_0000		complete	0	2021-04-26T13:06:57.608354Z
makeLocusGraph_chromId_013_1_KI270759v1_alt_0000		complete	0	2021-04-26T13:07:22.036483Z
makeLocusGraph_chromId_014_1_KI270760v1_alt_0000		complete	0	2021-04-26T13:07:24.089679Z
makeLocusGraph_chromId_015_1_KI270761v1_alt_0000		complete	0	2021-04-26T13:07:24.443607Z
makeLocusGraph_chromId_016_1_KI270762v1_alt_0000		complete	0	2021-04-26T13:07:28.907678Z
makeLocusGraph_chromId_017_1_KI270763v1_alt_0000		complete	0	2021-04-26T13:07:28.193898Z
makeLocusGraph_chromId_018_1_KI270764v1_alt_0000		complete	0	2021-04-26T13:07:26.647238Z
makeLocusGraph_chromId_019_1_KI270765v1_alt_0000		complete	0	2021-04-26T13:07:21.415722Z
makeLocusGraph_chromId_020_1_KI270766v1_alt_0000		complete	0	2021-04-26T13:07:23.901122Z
makeLocusGraph_chromId_021_1_KI270892v1_alt_0000		complete	0	2021-04-26T13:07:07.665588Z
makeLocusGraph_chromId_022_2_0000		complete	0	2021-04-26T13:07:09.528679Z
makeLocusGraph_chromId_022_2_0001		complete	0	2021-04-26T13:07:16.612648Z
makeLocusGraph_chromId_022_2_0002		complete	0	2021-04-26T13:07:19.749477Z
makeLocusGraph_chromId_022_2_0003		complete	0	2021-04-26T13:06:56.003966Z
makeLocusGraph_chromId_022_2_0004		complete	0	2021-04-26T13:07:02.143222Z
makeLocusGraph_chromId_022_2_0005		complete	0	2021-04-26T13:07:06.569515Z
makeLocusGraph_chromId_022_2_0006		complete	0	2021-04-26T13:07:08.052322Z
makeLocusGraph_chromId_022_2_0007		complete	0	2021-04-26T13:07:09.796565Z
makeLocusGraph_chromId_022_2_0008		complete	0	2021-04-26T13:07:17.275340Z
makeLocusGraph_chromId_022_2_0009		complete	0	2021-04-26T13:07:20.079590Z
makeLocusGraph_chromId_022_2_0010		complete	0	2021-04-26T13:07:21.765301Z
makeLocusGraph_chromId_022_2_0011		complete	0	2021-04-26T13:07:23.712661Z
makeLocusGraph_chromId_022_2_0012		complete	0	2021-04-26T13:07:10.658409Z
makeLocusGraph_chromId_022_2_0013		complete	0	2021-04-26T13:07:13.043482Z
makeLocusGraph_chromId_022_2_0014		complete	0	2021-04-26T13:07:14.623218Z
makeLocusGraph_chromId_022_2_0015		complete	0	2021-04-26T13:07:19.574558Z
makeLocusGraph_chromId_022_2_0016		complete	0	2021-04-26T13:07:12.820272Z
makeLocusGraph_chromId_022_2_0017		complete	0	2021-04-26T13:07:22.749551Z
makeLocusGraph_chromId_022_2_0018		complete	0	2021-04-26T13:07:08.754760Z
makeLocusGraph_chromId_022_2_0019		complete	0	2021-04-26T13:07:25.119674Z
makeLocusGraph_chromId_022_2_0020		complete	0	2021-04-26T13:07:29.853064Z
makeLocusGraph_chromId_023_2_KI270715v1_random_0000		complete	0	2021-04-26T13:07:15.330807Z
makeLocusGraph_chromId_024_2_KI270716v1_random_0000		complete	0	2021-04-26T13:07:25.017428Z
makeLocusGraph_chromId_025_2_GL383521v1_alt_0000		complete	0	2021-04-26T13:07:20.130128Z
makeLocusGraph_chromId_026_2_GL383522v1_alt_0000		complete	0	2021-04-26T13:07:28.189582Z
makeLocusGraph_chromId_027_2_GL582966v2_alt_0000		complete	0	2021-04-26T13:07:10.419119Z
makeLocusGraph_chromId_028_2_KI270767v1_alt_0000		complete	0	2021-04-26T13:07:13.403843Z
makeLocusGraph_chromId_029_2_KI270768v1_alt_0000		complete	0	2021-04-26T13:07:15.817490Z
makeLocusGraph_chromId_030_2_KI270769v1_alt_0000		complete	0	2021-04-26T13:07:18.804623Z
makeLocusGraph_chromId_031_2_KI270770v1_alt_0000		complete	0	2021-04-26T13:07:15.241812Z
makeLocusGraph_chromId_032_2_KI270771v1_alt_0000		complete	0	2021-04-26T13:07:22.403342Z
makeLocusGraph_chromId_033_2_KI270772v1_alt_0000		complete	0	2021-04-26T13:07:14.570320Z
makeLocusGraph_chromId_034_2_KI270773v1_alt_0000		complete	0	2021-04-26T13:07:27.337396Z
makeLocusGraph_chromId_035_2_KI270774v1_alt_0000		complete	0	2021-04-26T13:07:12.086845Z
makeLocusGraph_chromId_036_2_KI270775v1_alt_0000		complete	0	2021-04-26T13:07:24.677305Z
makeLocusGraph_chromId_037_2_KI270776v1_alt_0000		complete	0	2021-04-26T13:07:10.026474Z
makeLocusGraph_chromId_038_2_KI270893v1_alt_0000		complete	0	2021-04-26T13:07:24.093804Z
makeLocusGraph_chromId_039_2_KI270894v1_alt_0000		complete	0	2021-04-26T13:07:14.804273Z
makeLocusGraph_chromId_040_3_0000		complete	0	2021-04-26T13:07:10.260394Z
makeLocusGraph_chromId_040_3_0001		complete	0	2021-04-26T13:07:15.173611Z
makeLocusGraph_chromId_040_3_0002		complete	0	2021-04-26T13:07:11.843520Z
makeLocusGraph_chromId_040_3_0003		complete	0	2021-04-26T13:07:19.784506Z
makeLocusGraph_chromId_040_3_0004		complete	0	2021-04-26T13:07:21.801705Z
makeLocusGraph_chromId_040_3_0005		complete	0	2021-04-26T13:07:22.613859Z
makeLocusGraph_chromId_040_3_0006		complete	0	2021-04-26T13:06:59.359075Z
makeLocusGraph_chromId_040_3_0007		complete	0	2021-04-26T13:07:02.743620Z
makeLocusGraph_chromId_040_3_0008		complete	0	2021-04-26T13:07:03.621677Z
makeLocusGraph_chromId_040_3_0009		complete	0	2021-04-26T13:07:00.258793Z
makeLocusGraph_chromId_040_3_0010		complete	0	2021-04-26T13:07:05.354696Z
makeLocusGraph_chromId_040_3_0011		complete	0	2021-04-26T13:07:06.544676Z
makeLocusGraph_chromId_040_3_0012		complete	0	2021-04-26T13:07:07.470240Z
makeLocusGraph_chromId_040_3_0013		complete	0	2021-04-26T13:06:55.581387Z
makeLocusGraph_chromId_040_3_0014		complete	0	2021-04-26T13:06:56.565529Z
makeLocusGraph_chromId_040_3_0015		complete	0	2021-04-26T13:06:58.005802Z
makeLocusGraph_chromId_040_3_0016		complete	0	2021-04-26T13:06:58.826800Z
makeLocusGraph_chromId_041_3_GL000221v1_random_0000		complete	0	2021-04-26T13:06:59.168679Z
makeLocusGraph_chromId_042_3_GL383526v1_alt_0000		complete	0	2021-04-26T13:07:00.251832Z
makeLocusGraph_chromId_043_3_JH636055v2_alt_0000		complete	0	2021-04-26T13:07:24.438307Z
makeLocusGraph_chromId_044_3_KI270777v1_alt_0000		complete	0	2021-04-26T13:07:26.981534Z
