#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2021-04-13T18:19:28.970905Z
getAlignmentStats_generateStats_000		complete	0	2021-04-13T18:19:43.508122Z
getAlignmentStats_generateStats_001		complete	0	2021-04-13T18:23:08.748464Z
getAlignmentStats_generateStats_002		complete	0	2021-04-13T18:19:39.250025Z
getAlignmentStats_generateStats_003		complete	0	2021-04-13T18:19:43.576471Z
getAlignmentStats_generateStats_004		complete	0	2021-04-13T18:19:43.258625Z
getAlignmentStats_generateStats_005		complete	0	2021-04-13T18:22:57.084960Z
getAlignmentStats_generateStats_006		complete	0	2021-04-13T18:23:20.169690Z
getAlignmentStats_generateStats_007		complete	0	2021-04-13T18:21:24.824076Z
getAlignmentStats_generateStats_008		complete	0	2021-04-13T18:19:43.846814Z
getAlignmentStats_generateStats_009		complete	0	2021-04-13T18:19:46.013407Z
getAlignmentStats_generateStats_010		complete	0	2021-04-13T18:19:44.868397Z
getAlignmentStats_generateStats_011		complete	0	2021-04-13T18:21:55.498327Z
getAlignmentStats_generateStats_012		complete	0	2021-04-13T18:20:01.114637Z
getAlignmentStats_generateStats_013		complete	0	2021-04-13T18:21:07.129951Z
getAlignmentStats_generateStats_014		complete	0	2021-04-13T18:20:03.339488Z
getAlignmentStats_generateStats_015		complete	0	2021-04-13T18:22:20.158935Z
getAlignmentStats_generateStats_016		complete	0	2021-04-13T18:21:43.263650Z
getAlignmentStats_generateStats_017		complete	0	2021-04-13T18:21:32.980780Z
getAlignmentStats_generateStats_018		complete	0	2021-04-13T18:20:18.172581Z
getAlignmentStats_generateStats_019		complete	0	2021-04-13T18:20:19.325377Z
getAlignmentStats_generateStats_020		complete	0	2021-04-13T18:23:12.759691Z
getAlignmentStats_generateStats_021		complete	0	2021-04-13T18:22:55.714527Z
getAlignmentStats_generateStats_022		complete	0	2021-04-13T18:22:13.240659Z
getAlignmentStats_generateStats_023		complete	0	2021-04-13T18:22:37.476069Z
getAlignmentStats_generateStats_024		complete	0	2021-04-13T18:23:21.547657Z
getAlignmentStats_generateStats_025		complete	0	2021-04-13T18:20:26.758541Z
getAlignmentStats_generateStats_026		complete	0	2021-04-13T18:22:31.546841Z
getAlignmentStats_generateStats_027		complete	0	2021-04-13T18:22:06.428628Z
getAlignmentStats_generateStats_028		complete	0	2021-04-13T18:22:45.001073Z
getAlignmentStats_generateStats_029		complete	0	2021-04-13T18:21:56.021579Z
getAlignmentStats_generateStats_030		complete	0	2021-04-13T18:21:02.553764Z
getAlignmentStats_generateStats_031		complete	0	2021-04-13T18:21:55.136950Z
getAlignmentStats_generateStats_032		complete	0	2021-04-13T18:21:17.440772Z
getAlignmentStats_generateStats_033		complete	0	2021-04-13T18:22:37.548477Z
getAlignmentStats_generateStats_034		complete	0	2021-04-13T18:21:24.926175Z
getAlignmentStats_generateStats_035		complete	0	2021-04-13T18:20:06.145754Z
getAlignmentStats_generateStats_036		complete	0	2021-04-13T18:22:18.246996Z
getAlignmentStats_generateStats_037		complete	0	2021-04-13T18:22:26.690069Z
getAlignmentStats_generateStats_038		complete	0	2021-04-13T18:20:42.163758Z
getAlignmentStats_generateStats_039		complete	0	2021-04-13T18:21:01.298590Z
getAlignmentStats_generateStats_040		complete	0	2021-04-13T18:20:37.760821Z
getAlignmentStats_generateStats_041		complete	0	2021-04-13T18:20:06.038526Z
getAlignmentStats_generateStats_042		complete	0	2021-04-13T18:22:53.659015Z
getAlignmentStats_generateStats_043		complete	0	2021-04-13T18:21:56.847823Z
getAlignmentStats_generateStats_044		complete	0	2021-04-13T18:21:18.349252Z
getAlignmentStats_generateStats_045		complete	0	2021-04-13T18:22:00.660776Z
getAlignmentStats_generateStats_046		complete	0	2021-04-13T18:20:49.446969Z
getAlignmentStats_generateStats_047		complete	0	2021-04-13T18:23:22.677066Z
getAlignmentStats_generateStats_048		complete	0	2021-04-13T18:22:19.057632Z
getAlignmentStats_generateStats_049		complete	0	2021-04-13T18:21:08.579097Z
getAlignmentStats_generateStats_050		complete	0	2021-04-13T18:21:00.781709Z
getAlignmentStats_generateStats_051		complete	0	2021-04-13T18:22:23.967892Z
getAlignmentStats_generateStats_052		complete	0	2021-04-13T18:20:39.368306Z
getAlignmentStats_generateStats_053		complete	0	2021-04-13T18:20:22.054400Z
getAlignmentStats_generateStats_054		complete	0	2021-04-13T18:20:20.176206Z
getAlignmentStats_generateStats_055		complete	0	2021-04-13T18:20:34.271966Z
getAlignmentStats_generateStats_056		complete	0	2021-04-13T18:23:12.150438Z
getAlignmentStats_generateStats_057		complete	0	2021-04-13T18:20:15.012363Z
getAlignmentStats_generateStats_058		complete	0	2021-04-13T18:23:02.243139Z
getAlignmentStats_generateStats_059		complete	0	2021-04-13T18:21:56.551940Z
getAlignmentStats_generateStats_060		complete	0	2021-04-13T18:20:02.591327Z
getAlignmentStats_generateStats_061		complete	0	2021-04-13T18:22:41.243559Z
getAlignmentStats_generateStats_062		complete	0	2021-04-13T18:21:24.268283Z
getAlignmentStats_generateStats_063		complete	0	2021-04-13T18:23:19.633945Z
getAlignmentStats_generateStats_064		complete	0	2021-04-13T18:21:32.433393Z
getAlignmentStats_generateStats_065		complete	0	2021-04-13T18:23:09.548608Z
getAlignmentStats_generateStats_066		complete	0	2021-04-13T18:23:08.193702Z
getAlignmentStats_generateStats_067		complete	0	2021-04-13T18:20:41.313484Z
getAlignmentStats_generateStats_068		complete	0	2021-04-13T18:22:24.678161Z
getAlignmentStats_generateStats_069		complete	0	2021-04-13T18:22:47.493875Z
getAlignmentStats_generateStats_070		complete	0	2021-04-13T18:21:40.651028Z
getAlignmentStats_generateStats_071		complete	0	2021-04-13T18:21:41.356440Z
getAlignmentStats_generateStats_072		complete	0	2021-04-13T18:22:38.506507Z
getAlignmentStats_generateStats_073		complete	0	2021-04-13T18:21:30.127368Z
getAlignmentStats_generateStats_074		complete	0	2021-04-13T18:20:48.333730Z
getAlignmentStats_generateStats_075		complete	0	2021-04-13T18:23:01.235440Z
getAlignmentStats_generateStats_076		complete	0	2021-04-13T18:21:21.611096Z
getAlignmentStats_generateStats_077		complete	0	2021-04-13T18:22:56.274076Z
getAlignmentStats_generateStats_078		complete	0	2021-04-13T18:20:01.947796Z
getAlignmentStats_generateStats_079		complete	0	2021-04-13T18:21:37.586757Z
getAlignmentStats_generateStats_080		complete	0	2021-04-13T18:20:21.925731Z
getAlignmentStats_generateStats_081		complete	0	2021-04-13T18:21:08.673479Z
getAlignmentStats_generateStats_082		complete	0	2021-04-13T18:21:35.432978Z
getAlignmentStats_generateStats_083		complete	0	2021-04-13T18:21:16.699855Z
getAlignmentStats_generateStats_084		complete	0	2021-04-13T18:21:05.321734Z
getAlignmentStats_generateStats_085		complete	0	2021-04-13T18:21:55.823680Z
getAlignmentStats_generateStats_086		complete	0	2021-04-13T18:22:35.006875Z
getAlignmentStats_generateStats_087		complete	0	2021-04-13T18:20:38.308656Z
getAlignmentStats_generateStats_088		complete	0	2021-04-13T18:20:49.089064Z
getAlignmentStats_generateStats_089		complete	0	2021-04-13T18:23:16.526106Z
getAlignmentStats_generateStats_090		complete	0	2021-04-13T18:19:57.662256Z
getAlignmentStats_generateStats_091		complete	0	2021-04-13T18:23:19.976328Z
getAlignmentStats_generateStats_092		complete	0	2021-04-13T18:22:09.735350Z
getAlignmentStats_generateStats_093		complete	0	2021-04-13T18:22:55.360659Z
getAlignmentStats_generateStats_094		complete	0	2021-04-13T18:20:34.384967Z
getAlignmentStats_generateStats_095		complete	0	2021-04-13T18:20:54.016100Z
getAlignmentStats_mergeStats		complete	0	2021-04-13T18:23:23.020955Z
getAlignmentStats_removeTmpDir		complete	0	2021-04-13T18:23:23.171211Z
summarizeStats		complete	0	2021-04-13T18:23:23.329299Z
makeGraphTmpDir		complete	0	2021-04-13T18:23:23.162343Z
makeLocusGraph_chromId_000_1_0000		complete	0	2021-04-13T18:26:41.233993Z
makeLocusGraph_chromId_000_1_0001		complete	0	2021-04-13T18:26:52.903997Z
makeLocusGraph_chromId_000_1_0002		complete	0	2021-04-13T18:27:17.303061Z
makeLocusGraph_chromId_000_1_0003		complete	0	2021-04-13T18:27:16.831648Z
makeLocusGraph_chromId_000_1_0004		complete	0	2021-04-13T18:24:50.801868Z
makeLocusGraph_chromId_000_1_0005		complete	0	2021-04-13T18:23:34.111141Z
makeLocusGraph_chromId_000_1_0006		complete	0	2021-04-13T18:24:30.088076Z
makeLocusGraph_chromId_000_1_0007		complete	0	2021-04-13T18:26:38.056538Z
makeLocusGraph_chromId_000_1_0008		complete	0	2021-04-13T18:26:53.896523Z
makeLocusGraph_chromId_000_1_0009		complete	0	2021-04-13T18:27:19.178380Z
