#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2021-05-02T16:32:22.037592Z
getAlignmentStats_generateStats_000		complete	0	2021-05-02T16:32:34.924597Z
getAlignmentStats_generateStats_001		complete	0	2021-05-02T16:32:35.023836Z
getAlignmentStats_generateStats_002		complete	0	2021-05-02T16:32:35.264324Z
getAlignmentStats_generateStats_003		complete	0	2021-05-02T16:32:35.413345Z
getAlignmentStats_generateStats_004		complete	0	2021-05-02T16:32:35.277245Z
getAlignmentStats_generateStats_005		complete	0	2021-05-02T16:32:36.384338Z
getAlignmentStats_mergeStats		complete	0	2021-05-02T16:32:36.457894Z
getAlignmentStats_removeTmpDir		complete	0	2021-05-02T16:32:36.584529Z
summarizeStats		complete	0	2021-05-02T16:32:36.852540Z
makeGraphTmpDir		complete	0	2021-05-02T16:32:36.564674Z
makeLocusGraph_chromId_000_1_0000		complete	0	2021-05-02T16:33:12.885137Z
makeLocusGraph_chromId_000_1_0001		complete	0	2021-05-02T16:32:57.351087Z
makeLocusGraph_chromId_000_1_0002		complete	0	2021-05-02T16:33:10.305251Z
makeLocusGraph_chromId_000_1_0003		complete	0	2021-05-02T16:32:51.104179Z
makeLocusGraph_chromId_000_1_0004		complete	0	2021-05-02T16:33:11.746264Z
makeLocusGraph_chromId_000_1_0005		complete	0	2021-05-02T16:33:13.287806Z
makeLocusGraph_chromId_000_1_0006		complete	0	2021-05-02T16:32:45.516329Z
makeLocusGraph_chromId_000_1_0007		complete	0	2021-05-02T16:32:43.181806Z
makeLocusGraph_chromId_000_1_0008		complete	0	2021-05-02T16:33:13.662907Z
makeLocusGraph_chromId_000_1_0009		complete	0	2021-05-02T16:32:54.118357Z
makeLocusGraph_chromId_000_1_0010		complete	0	2021-05-02T16:32:52.654182Z
makeLocusGraph_chromId_000_1_0011		complete	0	2021-05-02T16:32:52.294880Z
makeLocusGraph_chromId_000_1_0012		complete	0	2021-05-02T16:32:44.597723Z
makeLocusGraph_chromId_000_1_0013		complete	0	2021-05-02T16:33:09.376058Z
makeLocusGraph_chromId_000_1_0014		complete	0	2021-05-02T16:32:53.868652Z
makeLocusGraph_chromId_000_1_0015		complete	0	2021-05-02T16:33:08.090713Z
makeLocusGraph_chromId_000_1_0016		complete	0	2021-05-02T16:32:50.058062Z
makeLocusGraph_chromId_000_1_0017		complete	0	2021-05-02T16:33:06.908442Z
makeLocusGraph_chromId_000_1_0018		complete	0	2021-05-02T16:32:42.650981Z
makeLocusGraph_chromId_000_1_0019		complete	0	2021-05-02T16:32:39.497821Z
makeLocusGraph_chromId_000_1_0020		complete	0	2021-05-02T16:33:00.737507Z
makeLocusGraph_chromId_001_1_KI270706v1_random_0000		complete	0	2021-05-02T16:32:46.055948Z
makeLocusGraph_chromId_002_1_KI270707v1_random_0000_to_chromId_003_1_KI270708v1_random_0000		complete	0	2021-05-02T16:33:01.188459Z
makeLocusGraph_chromId_004_1_KI270709v1_random_0000_to_chromId_006_1_KI270711v1_random_0000		complete	0	2021-05-02T16:33:04.037642Z
makeLocusGraph_chromId_007_1_KI270712v1_random_0000		complete	0	2021-05-02T16:32:39.772054Z
makeLocusGraph_chromId_008_1_KI270713v1_random_0000_to_chromId_009_1_KI270714v1_random_0000		complete	0	2021-05-02T16:32:52.456285Z
makeLocusGraph_chromId_010_1_GL383518v1_alt_0000		complete	0	2021-05-02T16:32:56.677589Z
