#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2021-05-02T15:42:52.977444Z
getAlignmentStats_generateStats_000		complete	0	2021-05-02T15:43:08.382317Z
getAlignmentStats_generateStats_001		complete	0	2021-05-02T15:43:10.575994Z
getAlignmentStats_generateStats_002		complete	0	2021-05-02T15:43:07.237317Z
getAlignmentStats_generateStats_003		complete	0	2021-05-02T15:43:05.868562Z
getAlignmentStats_generateStats_004		complete	0	2021-05-02T15:43:07.607949Z
getAlignmentStats_generateStats_005		complete	0	2021-05-02T15:43:07.269236Z
getAlignmentStats_mergeStats		complete	0	2021-05-02T15:43:10.707048Z
getAlignmentStats_removeTmpDir		complete	0	2021-05-02T15:43:10.807144Z
summarizeStats		complete	0	2021-05-02T15:43:10.801794Z
makeGraphTmpDir		complete	0	2021-05-02T15:43:10.812595Z
makeLocusGraph_chromId_000_1_0000		complete	0	2021-05-02T15:43:16.741478Z
makeLocusGraph_chromId_000_1_0001		complete	0	2021-05-02T15:43:30.101714Z
makeLocusGraph_chromId_000_1_0002		complete	0	2021-05-02T15:43:17.998958Z
makeLocusGraph_chromId_000_1_0003		complete	0	2021-05-02T15:43:31.068656Z
makeLocusGraph_chromId_000_1_0004		complete	0	2021-05-02T15:43:39.623425Z
makeLocusGraph_chromId_000_1_0005		complete	0	2021-05-02T15:43:42.018710Z
makeLocusGraph_chromId_000_1_0006		complete	0	2021-05-02T15:43:47.877114Z
makeLocusGraph_chromId_000_1_0007		complete	0	2021-05-02T15:43:47.190780Z
makeLocusGraph_chromId_000_1_0008		complete	0	2021-05-02T15:43:42.310512Z
makeLocusGraph_chromId_000_1_0009		complete	0	2021-05-02T15:43:31.216996Z
makeLocusGraph_chromId_000_1_0010		complete	0	2021-05-02T15:43:46.729537Z
makeLocusGraph_chromId_000_1_0011		complete	0	2021-05-02T15:43:31.235271Z
makeLocusGraph_chromId_000_1_0012		complete	0	2021-05-02T15:43:32.942969Z
makeLocusGraph_chromId_000_1_0013		complete	0	2021-05-02T15:43:24.436194Z
makeLocusGraph_chromId_000_1_0014		complete	0	2021-05-02T15:43:21.460204Z
makeLocusGraph_chromId_000_1_0015		complete	0	2021-05-02T15:43:42.435726Z
makeLocusGraph_chromId_000_1_0016		complete	0	2021-05-02T15:43:46.753055Z
makeLocusGraph_chromId_000_1_0017		complete	0	2021-05-02T15:43:48.373309Z
makeLocusGraph_chromId_000_1_0018		complete	0	2021-05-02T15:43:48.556115Z
makeLocusGraph_chromId_000_1_0019		complete	0	2021-05-02T15:43:45.735916Z
makeLocusGraph_chromId_000_1_0020		complete	0	2021-05-02T15:43:40.009856Z
makeLocusGraph_chromId_001_1_KI270706v1_random_0000		complete	0	2021-05-02T15:43:14.345445Z
makeLocusGraph_chromId_002_1_KI270707v1_random_0000_to_chromId_003_1_KI270708v1_random_0000		complete	0	2021-05-02T15:43:14.430306Z
makeLocusGraph_chromId_004_1_KI270709v1_random_0000_to_chromId_006_1_KI270711v1_random_0000		complete	0	2021-05-02T15:43:32.767317Z
makeLocusGraph_chromId_007_1_KI270712v1_random_0000		complete	0	2021-05-02T15:43:34.023713Z
makeLocusGraph_chromId_008_1_KI270713v1_random_0000_to_chromId_009_1_KI270714v1_random_0000		complete	0	2021-05-02T15:43:36.752829Z
makeLocusGraph_chromId_010_1_GL383518v1_alt_0000		complete	0	2021-05-02T15:43:35.852302Z
makeLocusGraph_chromId_011_1_GL383519v1_alt_0000		complete	0	2021-05-02T15:43:34.724577Z
