0:4620:4620	71.07	2	2	1	1	0.5468	3.634	2.6e-05	66.89
0:6724:6724	61.49	5	4	1	1	1.747	22.81	6.6e-05	36.93
0:7585:7585	56.66	2	2	1	2	1.576	7.922	2.3e-05	47.16
0:6504:6504	56.49	1	3	0	2	3.123	15.78	2.4e-05	37.59
0:337:2445	46.66	2	0	0	0	10.88	18.07	2e-05	17.71
0:4931:4931	45.03	6	3	2	0	1.856	21.78	6.1e-05	21.39
0:7585:7599	44.92	3	0	2	0	3.012	8.444	2.9e-05	33.46
0:3294:4899	44.66	2	0	1	0	5.507	8.7	1.5e-05	30.45
0:2795:2795	44.28	5	2	1	0	1.43	13.29	6.1e-05	29.56
0:58:2003	43.95	4	0	1	0	3.917	12.82	3.5e-05	27.22
0:4858:4858	43.47	6	3	1	1	2.705	31.76	5.8e-05	9.005
0:54:54	42.85	4	2	1	0	2.152	18.71	4.9e-05	21.99
0:672:2858	40.63	1	0	0	0	10.27	10.25	9e-06	20.11
0:4913:4913	39.76	5	7	0	0	2.016	30.79	8.7e-05	6.948
0:122:2868	38.97	1	0	1	0	2.979	2.371	9e-06	33.62
0:447:447	38.7	5	2	1	0	0.8057	5.979	5.6e-05	31.91
0:383:383	38.38	4	3	1	0	1.186	11.47	5.2e-05	25.72
0:672:6497	36.87	1	0	0	0	9.153	9.294	1e-05	18.42
0:2858:6526	36.1	1	0	0	0	10.43	5.279	4e-06	20.39
0:1741:1776	35.62	2	0	1	0	2.563	4.025	1.6e-05	29.04
0:2857:2857	35.52	2	3	1	0	2.323	16.39	3.5e-05	16.81
0:1182:6473	35.42	1	0	0	0	9.039	8.848	9e-06	17.53
0:3818:3818	35.3	3	4	1	0	1.341	13.53	5e-05	20.43
0:4620:4680	34.27	1	0	1	0	0.5668	0.9584	6e-06	32.74
0:2813:2813	33.99	5	4	0	0	1.593	10.66	3.4e-05	21.74
0:312:312	33.92	4	2	0	0	1.909	13.3	3.6e-05	18.71
0:4277:6603	33.63	1	0	1	0	1.881	1.885	1.2e-05	29.87
0:5796:5796	33.45	5	6	0	1	1.295	20.3	8.1e-05	11.86
0:7187:7187	33.13	3	2	0	0	2.704	21.32	3.7e-05	9.097
0:6093:6093	33.1	5	2	0	1	1.772	20.44	5.8e-05	10.89
0:41:3807	32.9	2	0	2	0	4.493	2.193	1.8e-05	26.22
0:4021:4021	30.92	4	5	1	0	1.189	8.039	4.5e-05	21.69
0:4431:4431	30.88	3	2	2	0	0.8641	4.204	3.9e-05	25.81
0:733:2539	30.38	1	0	1	0	4.821	3.759	9e-06	21.8
0:694:703	29.91	2	0	0	0	4.832	8.566	1.9e-05	16.51
0:105:105	29.88	6	3	2	0	1.813	19.54	5.9e-05	8.527
0:676:5811	29.84	1	0	1	0	4.383	4.432	1e-05	21.02
0:7564:7564	29.54	2	1	2	0	1.408	6.903	2.4e-05	21.23
0:3468:3468	29.47	4	3	0	0	1.834	17.16	5.5e-05	10.48
0:2858:2858	29.38	1	1	0	0	5.429	5.482	5e-06	18.47
0:41:2860	28.95	1	0	0	0	7.978	7.13	1e-05	13.84
0:2437:4057	28.89	1	0	1	0	4.731	4.483	1e-05	19.68
0:2669:7091	28.73	1	0	1	0	1.283	1.296	9e-06	26.15
0:845:845	28.53	2	3	0	0	2.827	18.42	3.5e-05	7.283
0:947:2168	28.44	2	0	0	0	4.289	8.202	2.1e-05	15.95
0:2937:2937	27.87	3	2	1	0	0.5558	3.447	3.8e-05	23.86
0:968:5813	27.79	2	0	2	0	3.185	5.88	1.9e-05	18.73
0:4052:4052	27.7	3	3	1	0	1.944	13.93	3.6e-05	11.83
0:995:1802	27.2	1	0	1	0	2.173	1.346	8e-06	23.68
0:6429:6429	27.18	2	4	0	0	2.849	18.87	4e-05	5.457
0:3364:3364	26.99	3	5	0	2	2.097	15.05	4.7e-05	9.844
0:509:4234	26.98	1	0	1	0	4.233	4.073	9e-06	18.67
0:4004:4004	26.81	3	5	1	4	0.9921	10.8	5.5e-05	15.03
0:2003:2003	26.8	3	3	0	0	1.991	17.5	4.3e-05	7.309
0:7411:7411	26.77	4	4	0	0	1.492	17.37	6e-05	7.909
200:1:1	26.67	7	7	1	0	0.7958	7.821	6.9e-05	18.05
0:4443:4443	26.25	2	4	2	0	0.5371	4.425	4e-05	21.28
0:2437:2437	26.14	3	4	1	0	2.549	23.59	4.9e-05	0.002174
0:3808:3808	26.09	4	3	0	0	1.535	9.658	2.9e-05	14.9
0:2134:2192	25.9	2	0	1	0	2.187	3.064	1.4e-05	20.65
0:676:676	25.81	3	3	0	2	2.276	15.96	3.7e-05	7.575
0:947:2152	25.43	2	0	0	0	4.376	6.05	1.4e-05	15
0:873:873	25.42	5	1	2	0	0.5105	6.391	5.7e-05	18.52
0:139:4669	25.23	1	0	0	0	6.948	6.225	1e-05	12.06
0:4839:4839	24.89	4	3	0	0	1.523	14.08	5.3e-05	9.289
2039:1:1	24.73	4	1	1	1	1.362	9.549	3.6e-05	13.82
0:4226:4239	24.62	1	0	1	0	4.159	3.721	9e-06	16.74
0:6654:6654	24.58	1	2	0	0	3.13	12.46	2e-05	8.989
0:67:739	24.39	1	0	0	0	6.691	6.059	1e-05	11.64
0:1783:1783	24.18	3	4	0	0	1.759	16.41	5.1e-05	6.009
0:7410:7411	24.17	1	0	1	0	2.925	2.788	1e-05	18.46
0:672:6137	24.1	2	0	0	0	4.937	9.688	1.9e-05	9.475
0:1438:1477	24.08	1	0	1	0	1.56	1.063	1e-05	21.46
0:4903:4903	24.07	1	2	0	1	3.168	12.21	1.9e-05	8.693
0:6654:6655	23.87	1	0	0	0	6.235	6.285	1e-05	11.35
0:309:309	23.83	6	2	3	0	1.669	22.15	6.9e-05	0.002843
0:3294:4903	23.7	1	0	0	0	5.98	6.052	1e-05	11.67
0:1:6972	23.6	1	0	1	0	2.563	2.279	1.1e-05	18.76
0:5060:5060	23.53	4	4	1	0	0.5809	5.359	5.9e-05	17.59
0:7545:7564	23.29	1	0	1	0	2.635	2.649	1e-05	18
0:6986:6986	23.25	4	4	1	0	1.492	17.45	6e-05	4.308
0:3294:4896	23.1	1	0	0	0	5.784	5.938	1e-05	11.37
0:4875:5018	23.09	1	0	1	0	3.47	3.469	9e-06	16.15
0:6329:6329	22.93	2	3	1	0	1.25	8.713	3.7e-05	12.96
0:1471:3050	22.79	1	0	1	0	3.568	3.674	9e-06	15.55
0:3952:7388	22.61	1	0	1	0	1.767	1.873	1e-05	18.97
196:1:5	22.46	1	0	1	0	2.55	2.628	9e-06	17.28
0:4903:7221	22.42	1	0	0	0	5.789	6.045	9e-06	10.59
0:944:6588	22.39	2	0	0	0	4.64	9.001	1.8e-05	8.753
0:3063:3063	22.26	6	2	2	0	0.7086	6.691	5.2e-05	14.86
0:1031:1891	22.18	1	0	1	0	3.078	2.736	9e-06	16.36
0:4834:4834	21.75	3	5	0	0	1.498	16.06	5.5e-05	4.195
0:445:5316	21.68	1	0	0	0	5.837	5.383	9e-06	10.46
0:467:925	21.6	1	0	1	0	1.257	0.8562	9e-06	19.49
0:7093:7093	21.47	4	8	1	1	0.8393	8.484	8e-05	12.14
0:4344:4676	21.45	2	0	1	0	1.598	3.122	1.9e-05	16.73
0:445:4263	21.44	1	0	0	0	5.809	5.113	9e-06	10.52
0:41:3364	21.41	1	0	0	0	6.431	5.12	1.1e-05	9.858
0:445:5269	21.38	1	0	0	0	5.73	5.378	9e-06	10.27
0:1997:1997	21.3	2	3	0	1	2.037	13.85	3.6e-05	5.411
0:694:706	21.27	1	0	1	0	2.807	1.23	9e-06	17.23
0:3468:4061	21.27	2	0	0	0	3.219	6.338	1.9e-05	11.72
0:887:887	21.26	2	4	1	0	1.213	9.785	4e-05	10.27
0:4673:4696	21.26	1	0	1	0	1.594	1.768	9e-06	17.9
