#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2021-04-13T20:24:31.391615Z
getAlignmentStats_generateStats_000		complete	0	2021-04-13T20:24:46.472642Z
getAlignmentStats_generateStats_001		waiting	0	2021-04-13T20:24:31.333300Z
getAlignmentStats_generateStats_002		complete	0	2021-04-13T20:24:46.701844Z
getAlignmentStats_generateStats_003		complete	0	2021-04-13T20:24:46.185101Z
getAlignmentStats_generateStats_004		complete	0	2021-04-13T20:24:52.274400Z
getAlignmentStats_generateStats_005		complete	0	2021-04-13T20:24:46.792926Z
getAlignmentStats_generateStats_006		running	0	2021-04-13T20:26:11.646460Z
getAlignmentStats_generateStats_007		complete	0	2021-04-13T20:24:47.091469Z
getAlignmentStats_generateStats_008		complete	0	2021-04-13T20:25:36.574542Z
getAlignmentStats_generateStats_009		complete	0	2021-04-13T20:24:53.149797Z
getAlignmentStats_generateStats_010		complete	0	2021-04-13T20:25:57.150548Z
getAlignmentStats_generateStats_011		running	0	2021-04-13T20:26:14.054581Z
getAlignmentStats_generateStats_012		complete	0	2021-04-13T20:25:53.439460Z
getAlignmentStats_generateStats_013		complete	0	2021-04-13T20:25:29.408857Z
getAlignmentStats_generateStats_014		running	0	2021-04-13T20:26:14.750892Z
getAlignmentStats_generateStats_015		complete	0	2021-04-13T20:25:38.182689Z
getAlignmentStats_generateStats_016		waiting	0	2021-04-13T20:24:31.530497Z
getAlignmentStats_generateStats_017		complete	0	2021-04-13T20:25:40.246352Z
getAlignmentStats_generateStats_018		complete	0	2021-04-13T20:25:08.390407Z
getAlignmentStats_generateStats_019		complete	0	2021-04-13T20:26:02.010248Z
getAlignmentStats_generateStats_020		complete	0	2021-04-13T20:26:14.010388Z
getAlignmentStats_generateStats_021		complete	0	2021-04-13T20:25:52.763022Z
getAlignmentStats_generateStats_022		complete	0	2021-04-13T20:25:57.231728Z
getAlignmentStats_generateStats_023		complete	0	2021-04-13T20:26:22.472680Z
getAlignmentStats_generateStats_024		running	0	2021-04-13T20:26:13.103093Z
getAlignmentStats_generateStats_025		complete	0	2021-04-13T20:25:40.481831Z
getAlignmentStats_generateStats_026		complete	0	2021-04-13T20:25:45.095738Z
getAlignmentStats_generateStats_027		complete	0	2021-04-13T20:25:39.791215Z
getAlignmentStats_generateStats_028		complete	0	2021-04-13T20:25:06.878599Z
getAlignmentStats_generateStats_029		complete	0	2021-04-13T20:25:58.766757Z
getAlignmentStats_generateStats_030		complete	0	2021-04-13T20:26:17.109165Z
getAlignmentStats_generateStats_031		complete	0	2021-04-13T20:25:13.677534Z
getAlignmentStats_generateStats_032		complete	0	2021-04-13T20:25:21.793939Z
getAlignmentStats_generateStats_033		running	0	2021-04-13T20:26:10.204619Z
getAlignmentStats_generateStats_034		complete	0	2021-04-13T20:25:04.147541Z
getAlignmentStats_generateStats_035		complete	0	2021-04-13T20:26:10.159116Z
getAlignmentStats_generateStats_036		complete	0	2021-04-13T20:26:13.051603Z
getAlignmentStats_generateStats_037		running	0	2021-04-13T20:26:17.158444Z
getAlignmentStats_generateStats_038		complete	0	2021-04-13T20:25:02.585347Z
getAlignmentStats_generateStats_039		complete	0	2021-04-13T20:25:16.839422Z
getAlignmentStats_generateStats_040		waiting	0	2021-04-13T20:24:32.953419Z
getAlignmentStats_generateStats_041		waiting	0	2021-04-13T20:24:33.002433Z
getAlignmentStats_generateStats_042		waiting	0	2021-04-13T20:24:33.052215Z
getAlignmentStats_generateStats_043		complete	0	2021-04-13T20:25:53.102594Z
getAlignmentStats_generateStats_044		complete	0	2021-04-13T20:26:14.702997Z
getAlignmentStats_generateStats_045		complete	0	2021-04-13T20:25:08.763957Z
getAlignmentStats_generateStats_046		complete	0	2021-04-13T20:25:17.206292Z
getAlignmentStats_generateStats_047		waiting	0	2021-04-13T20:24:33.310423Z
getAlignmentStats_generateStats_048		complete	0	2021-04-13T20:25:03.340332Z
getAlignmentStats_generateStats_049		running	0	2021-04-13T20:26:22.520410Z
getAlignmentStats_generateStats_050		complete	0	2021-04-13T20:25:21.715916Z
getAlignmentStats_generateStats_051		complete	0	2021-04-13T20:26:11.604626Z
getAlignmentStats_generateStats_052		waiting	0	2021-04-13T20:24:33.563803Z
getAlignmentStats_generateStats_053		complete	0	2021-04-13T20:25:23.201005Z
getAlignmentStats_mergeStats		waiting	0	2021-04-13T20:24:33.664874Z
getAlignmentStats_removeTmpDir		waiting	0	2021-04-13T20:24:33.715617Z
summarizeStats		waiting	0	2021-04-13T20:24:33.766067Z
makeGraphTmpDir		waiting	0	2021-04-13T20:24:33.816871Z
makeLocusGraph_chromId_000_1_0000		waiting	0	2021-04-13T20:24:33.869888Z
makeLocusGraph_chromId_000_1_0001		waiting	0	2021-04-13T20:24:33.920510Z
makeLocusGraph_chromId_000_1_0002		waiting	0	2021-04-13T20:24:33.972610Z
makeLocusGraph_chromId_000_1_0003		waiting	0	2021-04-13T20:24:34.025461Z
makeLocusGraph_chromId_000_1_0004		waiting	0	2021-04-13T20:24:34.074611Z
makeLocusGraph_chromId_000_1_0005		waiting	0	2021-04-13T20:24:34.118134Z
makeLocusGraph_chromId_000_1_0006		waiting	0	2021-04-13T20:24:34.166700Z
makeLocusGraph_chromId_000_1_0007		waiting	0	2021-04-13T20:24:34.210981Z
makeLocusGraph_chromId_000_1_0008		waiting	0	2021-04-13T20:24:34.254484Z
makeLocusGraph_chromId_000_1_0009		waiting	0	2021-04-13T20:24:34.294126Z
makeLocusGraph_chromId_000_1_0010		waiting	0	2021-04-13T20:24:34.341043Z
makeLocusGraph_chromId_000_1_0011		waiting	0	2021-04-13T20:24:34.389270Z
makeLocusGraph_chromId_000_1_0012		waiting	0	2021-04-13T20:24:34.427623Z
makeLocusGraph_chromId_000_1_0013		waiting	0	2021-04-13T20:24:34.477985Z
makeLocusGraph_chromId_000_1_0014		waiting	0	2021-04-13T20:24:34.528775Z
makeLocusGraph_chromId_000_1_0015		waiting	0	2021-04-13T20:24:34.578489Z
makeLocusGraph_chromId_000_1_0016		waiting	0	2021-04-13T20:24:34.629963Z
makeLocusGraph_chromId_000_1_0017		waiting	0	2021-04-13T20:24:34.680371Z
makeLocusGraph_chromId_000_1_0018		waiting	0	2021-04-13T20:24:34.730815Z
makeLocusGraph_chromId_000_1_0019		waiting	0	2021-04-13T20:24:34.781678Z
makeLocusGraph_chromId_000_1_0020		waiting	0	2021-04-13T20:24:34.834513Z
makeLocusGraph_chromId_001_1_KI270706v1_random_0000		waiting	0	2021-04-13T20:24:34.888095Z
makeLocusGraph_chromId_002_1_KI270707v1_random_0000_to_chromId_003_1_KI270708v1_random_0000		waiting	0	2021-04-13T20:24:34.943480Z
makeLocusGraph_chromId_004_1_KI270709v1_random_0000_to_chromId_006_1_KI270711v1_random_0000		waiting	0	2021-04-13T20:24:34.991287Z
makeLocusGraph_chromId_007_1_KI270712v1_random_0000		waiting	0	2021-04-13T20:24:35.044971Z
makeLocusGraph_chromId_008_1_KI270713v1_random_0000_to_chromId_009_1_KI270714v1_random_0000		waiting	0	2021-04-13T20:24:35.098860Z
makeLocusGraph_chromId_010_1_GL383518v1_alt_0000		waiting	0	2021-04-13T20:24:35.149945Z
makeLocusGraph_chromId_011_1_GL383519v1_alt_0000		waiting	0	2021-04-13T20:24:35.198866Z
makeLocusGraph_chromId_012_1_GL383520v2_alt_0000		waiting	0	2021-04-13T20:24:35.252107Z
makeLocusGraph_chromId_013_1_KI270759v1_alt_0000		waiting	0	2021-04-13T20:24:35.305559Z
makeLocusGraph_chromId_014_1_KI270760v1_alt_0000		waiting	0	2021-04-13T20:24:35.353104Z
makeLocusGraph_chromId_015_1_KI270761v1_alt_0000		waiting	0	2021-04-13T20:24:35.406716Z
makeLocusGraph_chromId_016_1_KI270762v1_alt_0000		waiting	0	2021-04-13T20:24:35.454930Z
makeLocusGraph_chromId_017_1_KI270763v1_alt_0000		waiting	0	2021-04-13T20:24:35.503939Z
makeLocusGraph_chromId_018_1_KI270764v1_alt_0000		waiting	0	2021-04-13T20:24:35.559192Z
makeLocusGraph_chromId_019_1_KI270765v1_alt_0000		waiting	0	2021-04-13T20:24:35.603741Z
makeLocusGraph_chromId_020_1_KI270766v1_alt_0000		waiting	0	2021-04-13T20:24:35.655147Z
makeLocusGraph_chromId_021_1_KI270892v1_alt_0000		waiting	0	2021-04-13T20:24:35.706639Z
makeLocusGraph_chromId_022_2_0000		waiting	0	2021-04-13T20:24:35.762430Z
makeLocusGraph_chromId_022_2_0001		waiting	0	2021-04-13T20:24:35.816166Z
makeLocusGraph_chromId_022_2_0002		waiting	0	2021-04-13T20:24:35.869712Z
makeLocusGraph_chromId_022_2_0003		waiting	0	2021-04-13T20:24:35.920273Z
makeLocusGraph_chromId_022_2_0004		waiting	0	2021-04-13T20:24:35.973140Z
makeLocusGraph_chromId_022_2_0005		waiting	0	2021-04-13T20:24:36.025558Z
makeLocusGraph_chromId_022_2_0006		waiting	0	2021-04-13T20:24:36.077761Z
makeLocusGraph_chromId_022_2_0007		waiting	0	2021-04-13T20:24:36.127072Z
makeLocusGraph_chromId_022_2_0008		waiting	0	2021-04-13T20:24:36.179220Z
makeLocusGraph_chromId_022_2_0009		waiting	0	2021-04-13T20:24:36.232812Z
makeLocusGraph_chromId_022_2_0010		waiting	0	2021-04-13T20:24:36.283679Z
makeLocusGraph_chromId_022_2_0011		waiting	0	2021-04-13T20:24:36.336231Z
makeLocusGraph_chromId_022_2_0012		waiting	0	2021-04-13T20:24:36.393735Z
makeLocusGraph_chromId_022_2_0013		waiting	0	2021-04-13T20:24:36.456617Z
makeLocusGraph_chromId_022_2_0014		waiting	0	2021-04-13T20:24:36.512342Z
makeLocusGraph_chromId_022_2_0015		waiting	0	2021-04-13T20:24:36.559782Z
makeLocusGraph_chromId_022_2_0016		waiting	0	2021-04-13T20:24:36.614252Z
makeLocusGraph_chromId_022_2_0017		waiting	0	2021-04-13T20:24:36.666232Z
makeLocusGraph_chromId_022_2_0018		waiting	0	2021-04-13T20:24:36.717683Z
makeLocusGraph_chromId_022_2_0019		waiting	0	2021-04-13T20:24:36.770972Z
makeLocusGraph_chromId_022_2_0020		waiting	0	2021-04-13T20:24:36.816010Z
makeLocusGraph_chromId_023_2_KI270715v1_random_0000		waiting	0	2021-04-13T20:24:36.867871Z
makeLocusGraph_chromId_024_2_KI270716v1_random_0000		waiting	0	2021-04-13T20:24:36.919063Z
makeLocusGraph_chromId_025_2_GL383521v1_alt_0000		waiting	0	2021-04-13T20:24:36.974661Z
makeLocusGraph_chromId_026_2_GL383522v1_alt_0000		waiting	0	2021-04-13T20:24:37.026558Z
makeLocusGraph_chromId_027_2_GL582966v2_alt_0000		waiting	0	2021-04-13T20:24:37.077247Z
makeLocusGraph_chromId_028_2_KI270767v1_alt_0000		waiting	0	2021-04-13T20:24:37.129782Z
makeLocusGraph_chromId_029_2_KI270768v1_alt_0000		waiting	0	2021-04-13T20:24:37.182809Z
makeLocusGraph_chromId_030_2_KI270769v1_alt_0000		waiting	0	2021-04-13T20:24:37.239641Z
makeLocusGraph_chromId_031_2_KI270770v1_alt_0000		waiting	0	2021-04-13T20:24:37.292201Z
makeLocusGraph_chromId_032_2_KI270771v1_alt_0000		waiting	0	2021-04-13T20:24:37.347829Z
makeLocusGraph_chromId_033_2_KI270772v1_alt_0000		waiting	0	2021-04-13T20:24:37.398293Z
makeLocusGraph_chromId_034_2_KI270773v1_alt_0000		waiting	0	2021-04-13T20:24:37.453926Z
makeLocusGraph_chromId_035_2_KI270774v1_alt_0000		waiting	0	2021-04-13T20:24:37.507720Z
makeLocusGraph_chromId_036_2_KI270775v1_alt_0000		waiting	0	2021-04-13T20:24:37.566604Z
makeLocusGraph_chromId_037_2_KI270776v1_alt_0000		waiting	0	2021-04-13T20:24:37.627088Z
makeLocusGraph_chromId_038_2_KI270893v1_alt_0000		waiting	0	2021-04-13T20:24:37.681127Z
makeLocusGraph_chromId_039_2_KI270894v1_alt_0000		waiting	0	2021-04-13T20:24:37.733857Z
makeLocusGraph_chromId_040_3_0000		waiting	0	2021-04-13T20:24:37.785178Z
makeLocusGraph_chromId_040_3_0001		waiting	0	2021-04-13T20:24:37.835970Z
makeLocusGraph_chromId_040_3_0002		waiting	0	2021-04-13T20:24:37.890790Z
makeLocusGraph_chromId_040_3_0003		waiting	0	2021-04-13T20:24:37.944370Z
makeLocusGraph_chromId_040_3_0004		waiting	0	2021-04-13T20:24:37.998800Z
makeLocusGraph_chromId_040_3_0005		waiting	0	2021-04-13T20:24:38.053693Z
