#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2021-04-13T20:28:05.282914Z
getAlignmentStats_generateStats_000		complete	0	2021-04-13T20:28:05.282979Z
getAlignmentStats_generateStats_002		complete	0	2021-04-13T20:28:05.283041Z
getAlignmentStats_generateStats_003		complete	0	2021-04-13T20:28:05.283087Z
getAlignmentStats_generateStats_004		complete	0	2021-04-13T20:28:05.283130Z
getAlignmentStats_generateStats_005		complete	0	2021-04-13T20:28:05.283175Z
getAlignmentStats_generateStats_007		complete	0	2021-04-13T20:28:05.283224Z
getAlignmentStats_generateStats_008		complete	0	2021-04-13T20:28:05.283268Z
getAlignmentStats_generateStats_009		complete	0	2021-04-13T20:28:05.283309Z
getAlignmentStats_generateStats_010		complete	0	2021-04-13T20:28:05.283367Z
getAlignmentStats_generateStats_012		complete	0	2021-04-13T20:28:05.283413Z
getAlignmentStats_generateStats_013		complete	0	2021-04-13T20:28:05.283456Z
getAlignmentStats_generateStats_015		complete	0	2021-04-13T20:28:05.283644Z
getAlignmentStats_generateStats_017		complete	0	2021-04-13T20:28:05.283700Z
getAlignmentStats_generateStats_018		complete	0	2021-04-13T20:28:05.283746Z
getAlignmentStats_generateStats_019		complete	0	2021-04-13T20:28:05.283787Z
getAlignmentStats_generateStats_020		complete	0	2021-04-13T20:28:05.283829Z
getAlignmentStats_generateStats_021		complete	0	2021-04-13T20:28:05.283874Z
getAlignmentStats_generateStats_022		complete	0	2021-04-13T20:28:05.283926Z
getAlignmentStats_generateStats_023		complete	0	2021-04-13T20:28:05.283970Z
getAlignmentStats_generateStats_025		complete	0	2021-04-13T20:28:05.284014Z
getAlignmentStats_generateStats_026		complete	0	2021-04-13T20:28:05.284066Z
getAlignmentStats_generateStats_027		complete	0	2021-04-13T20:28:05.284115Z
getAlignmentStats_generateStats_028		complete	0	2021-04-13T20:28:05.284161Z
getAlignmentStats_generateStats_029		complete	0	2021-04-13T20:28:05.284201Z
getAlignmentStats_generateStats_030		complete	0	2021-04-13T20:28:05.284247Z
getAlignmentStats_generateStats_031		complete	0	2021-04-13T20:28:05.284291Z
getAlignmentStats_generateStats_032		complete	0	2021-04-13T20:28:05.284341Z
getAlignmentStats_generateStats_034		complete	0	2021-04-13T20:28:05.284387Z
getAlignmentStats_generateStats_035		complete	0	2021-04-13T20:28:05.284432Z
getAlignmentStats_generateStats_036		complete	0	2021-04-13T20:28:05.284475Z
getAlignmentStats_generateStats_038		complete	0	2021-04-13T20:28:05.284518Z
getAlignmentStats_generateStats_039		complete	0	2021-04-13T20:28:05.284574Z
getAlignmentStats_generateStats_043		complete	0	2021-04-13T20:28:05.284633Z
getAlignmentStats_generateStats_044		complete	0	2021-04-13T20:28:05.284676Z
getAlignmentStats_generateStats_045		complete	0	2021-04-13T20:28:05.284718Z
getAlignmentStats_generateStats_046		complete	0	2021-04-13T20:28:05.284768Z
getAlignmentStats_generateStats_048		complete	0	2021-04-13T20:28:05.284817Z
getAlignmentStats_generateStats_050		complete	0	2021-04-13T20:28:05.284862Z
getAlignmentStats_generateStats_051		complete	0	2021-04-13T20:28:05.284908Z
getAlignmentStats_generateStats_053		complete	0	2021-04-13T20:28:05.284953Z
getAlignmentStats_generateStats_001		complete	0	2021-04-13T20:28:10.237485Z
getAlignmentStats_generateStats_006		complete	0	2021-04-13T20:28:15.442199Z
