5:308:308	561.3	40	28	0	0	6.412	322.2	0.000468	232.6
5:219:219	524.4	41	29	3	3	6.172	258.6	0.000512	259.7
5:132:132	328.5	29	18	1	1	4.516	174.6	0.00043	149.3
5:101:101	212.9	31	21	1	10	4.022	121.1	0.000447	87.78
5:123:123	204.3	16	13	0	3	3.984	122.1	0.000205	78.26
5:954:954	196.8	9	13	0	2	4.825	129.2	0.000172	62.76
5:141:141	192.8	17	19	0	1	3.84	115.5	0.000286	73.45
5:615:615	187.1	17	12	2	3	3.252	63.01	0.000222	120.9
5:87:87	157.4	18	17	2	3	3.486	92.6	0.00028	61.29
5:17:17	153	19	20	1	6	3.179	56.29	0.000295	93.55
5:262:262	152.9	7	6	1	3	4.83	79.28	9.8e-05	68.79
5:345:345	147	26	16	0	0	2.678	74.23	0.000312	70.04
5:957:957	132.3	15	9	4	2	1.894	48.73	0.000215	81.64
5:288:288	127.6	24	14	0	0	2.699	95.94	0.000349	28.98
5:105:105	125	9	6	2	0	3.112	54.06	0.000104	67.75
5:332:332	112.6	13	16	4	4	2.161	46.14	0.000223	64.28
5:202:202	106.9	16	10	1	1	2.488	59.77	0.000208	44.65
5:1609:1609	104	10	9	1	2	2.983	59.23	0.000125	41.82
5:46:46	102.5	17	15	1	3	2.496	53.46	0.000247	46.49
5:206:206	97.75	8	9	0	3	3.314	49.46	0.000109	44.97
5:324:324	96.67	13	10	2	0	2.176	44.71	0.000195	49.78
5:5:5	88.76	21	9	4	1	1.706	40.83	0.000238	46.22
5:972:972	87.72	7	9	1	0	2.078	42.48	0.000141	43.16
5:154:154	84.75	16	12	1	2	2.293	39.15	0.000228	43.31
5:224:224	84.12	13	10	1	4	2.901	45.91	0.00018	35.3
5:38:38	83.05	12	11	2	2	2.545	31.06	0.000164	49.44
5:264:264	82.67	8	13	0	4	2.656	48.14	0.00015	31.87
5:341:341	80.95	9	9	2	1	3.538	58.66	0.000123	18.75
5:766:766	80.68	6	6	1	0	3.016	41.66	0.0001	36
5:13:13	73.28	3	2	1	0	2.359	18.91	3.6e-05	52.01
5:577:577	72.57	3	2	2	0	0.665	3.375	2.1e-05	68.52
5:1696:1696	72.45	7	4	1	3	2.376	37.17	0.0001	32.9
5:428:428	72.36	5	8	0	0	2.564	42.28	9.8e-05	27.52
5:219:15311	65.98	2	0	0	0	11	18.61	2.2e-05	36.37
5:269:269	65.53	13	7	0	1	2.036	45.09	0.000184	18.4
5:250:250	64.24	4	6	0	1	2.802	38.13	8.8e-05	23.3
5:378:378	63.81	7	3	0	0	2.396	29.34	7.7e-05	32.05
5:333:333	62.9	8	4	0	1	1.878	30.59	0.00011	30.43
5:516:516	62.52	10	6	0	1	1.852	40.1	0.000141	20.57
5:7581:7581	62.19	5	4	1	1	1.792	22.83	8e-05	37.57
5:740:740	62.17	19	12	3	0	1.476	32.31	0.000223	28.38
5:1685:1685	60.59	9	9	0	1	1.809	26.22	0.000112	32.55
5:200:200	60.34	8	15	0	1	2.889	37.38	0.000121	20.07
5:1676:1676	60.18	7	2	2	1	1.05	16.79	8.7e-05	42.34
5:576:576	59.86	2	2	1	2	1.621	8.341	2.8e-05	49.9
5:1277:1277	58.02	8	7	2	0	1.097	18.38	0.000117	38.54
5:235:235	57.49	8	4	0	0	2.448	32.33	8.2e-05	22.71
5:8577:8577	56.12	1	3	0	2	3.154	15.68	2.5e-05	37.29
5:203:203	55.75	8	7	2	0	2.481	35.42	9.2e-05	17.84
5:407:407	55.35	3	3	1	0	3.225	21.39	4e-05	30.73
5:150:150	54	6	9	1	3	1.109	23.33	0.00011	29.56
5:115:115	52.89	2	5	1	0	3.252	27.06	4.9e-05	22.57
5:81:81	52.56	11	8	2	0	1.731	22.98	0.000105	27.84
5:514:514	50.81	9	9	0	2	1.711	30.27	0.000147	18.82
5:1828:1828	50.48	1	4	0	1	4.885	29.35	3.2e-05	16.24
5:1652:1652	50.37	5	7	0	0	2.065	31.12	9.4e-05	17.18
5:15:15	50.1	5	4	0	0	7.264	28.7	5.7e-05	14.13
5:77:77	49.82	6	3	2	0	2.023	22.16	6e-05	25.63
5:18:18	49.8	12	3	0	0	2.016	28.46	0.00011	19.32
5:515:515	49.74	3	6	1	4	1.752	17.3	6.7e-05	30.68
5:522:522	49.66	5	7	0	2	2.3	34.96	9.7e-05	12.39
5:131:131	48.99	6	8	1	1	2.884	26.84	0.000108	19.26
5:533:533	47.69	3	5	1	1	2.675	20.34	5.7e-05	24.68
5:509:509	47.65	8	10	1	1	1.527	23.04	0.000136	23.08
5:576:40966	47.29	3	0	2	0	3.018	8.84	3.4e-05	35.43
