#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2021-04-12T16:40:14.552325Z
getAlignmentStats_generateStats_000		complete	0	2021-04-12T16:40:29.239359Z
getAlignmentStats_generateStats_001		complete	0	2021-04-12T16:40:25.117503Z
getAlignmentStats_generateStats_002		complete	0	2021-04-12T16:40:29.604391Z
getAlignmentStats_generateStats_003		complete	0	2021-04-12T16:40:28.631668Z
getAlignmentStats_generateStats_004		complete	0	2021-04-12T16:40:35.269512Z
getAlignmentStats_generateStats_005		complete	0	2021-04-12T16:40:29.469548Z
getAlignmentStats_generateStats_006		complete	0	2021-04-12T16:40:49.186338Z
getAlignmentStats_generateStats_007		complete	0	2021-04-12T16:40:30.744102Z
getAlignmentStats_generateStats_008		complete	0	2021-04-12T16:42:28.300443Z
getAlignmentStats_generateStats_009		complete	0	2021-04-12T16:41:38.112473Z
getAlignmentStats_generateStats_010		complete	0	2021-04-12T16:40:49.162886Z
getAlignmentStats_generateStats_011		complete	0	2021-04-12T16:41:52.654826Z
getAlignmentStats_generateStats_012		complete	0	2021-04-12T16:41:50.273894Z
getAlignmentStats_generateStats_013		complete	0	2021-04-12T16:42:06.159744Z
getAlignmentStats_generateStats_014		complete	0	2021-04-12T16:40:47.049609Z
getAlignmentStats_generateStats_015		complete	0	2021-04-12T16:42:29.349728Z
getAlignmentStats_generateStats_016		complete	0	2021-04-12T16:41:44.480714Z
getAlignmentStats_generateStats_017		complete	0	2021-04-12T16:41:54.514023Z
getAlignmentStats_generateStats_018		complete	0	2021-04-12T16:41:08.848985Z
getAlignmentStats_generateStats_019		complete	0	2021-04-12T16:41:50.095080Z
getAlignmentStats_generateStats_020		complete	0	2021-04-12T16:41:36.159149Z
getAlignmentStats_generateStats_021		complete	0	2021-04-12T16:42:29.642651Z
getAlignmentStats_generateStats_022		complete	0	2021-04-12T16:42:07.010949Z
getAlignmentStats_generateStats_023		complete	0	2021-04-12T16:42:25.923055Z
getAlignmentStats_generateStats_024		complete	0	2021-04-12T16:41:12.019428Z
getAlignmentStats_generateStats_025		complete	0	2021-04-12T16:41:32.805768Z
getAlignmentStats_generateStats_026		complete	0	2021-04-12T16:41:14.041066Z
getAlignmentStats_generateStats_027		complete	0	2021-04-12T16:41:32.944569Z
getAlignmentStats_generateStats_028		complete	0	2021-04-12T16:40:48.356763Z
getAlignmentStats_generateStats_029		complete	0	2021-04-12T16:42:05.251771Z
