TP	TN	FP	FN	total	no_calls	no_call_rate	sensitivity	specificity	PPV	NPV	F1	MCC	kappa	accuracy	algorithm	level
21	25340	14	215	25590	369	1.442	0.089	0.9994	0.6	0.9916	0.155	0.2287	0.1576	0.9911	decon	roi
386	24975	14	215	25605	369	1.4411	0.6423	0.9994	0.965	0.9915	0.7712	0.7834	0.7681	0.9911	decon	roi_incNoCall
21	1463	13	38	1535	22	1.4332	0.3559	0.9912	0.6176	0.9747	0.4516	0.4534	0.4362	0.9668	decon	gene
21	1441	35	38	1535	22	1.4332	0.3559	0.9763	0.375	0.9743	0.3652	0.3407	0.3399	0.9524	decon	whole_strategy
23	25108	246	213	25590	153	0.5979	0.0975	0.9903	0.0855	0.9916	0.0911	0.0822	0.0839	0.9821	panelcn	roi
92	25039	246	213	25605	153	0.5975	0.3016	0.9903	0.2722	0.9916	0.2862	0.2775	0.2786	0.9821	panelcn	roi_incNoCall
23	1445	31	36	1535	104	6.7752	0.3898	0.979	0.4259	0.9757	0.4071	0.3849	0.3851	0.9564	panelcn	gene
23	1387	89	36	1535	104	6.7752	0.3898	0.9397	0.2054	0.9747	0.269	0.2436	0.2306	0.9186	panelcn	whole_strategy
21	25099	255	215	25590	1590	6.2134	0.089	0.9899	0.0761	0.9915	0.082	0.073	0.0711	0.9816	convading	roi
1524	23669	183	214	25605	1590	6.2097	0.8769	0.9923	0.8928	0.991	0.8848	0.8765	0.8766	0.9845	convading	roi_incNoCall
21	1432	44	38	1535	635	41.3681	0.3559	0.9702	0.3231	0.9741	0.3387	0.3113	0.3112	0.9466	convading	gene
22	899	577	37	1535	635	41.3681	0.3729	0.6091	0.0367	0.9605	0.0669	-0.0071	-0.0033	0.6	convading	whole_strategy
20	25346	8	216	25590	0	0	0.0847	0.9997	0.7143	0.9915	0.1515	0.2441	0.1453	0.9912	exomedepth	roi
20	25346	8	216	25605	0	0	0.0847	0.9997	0.7143	0.9915	0.1515	0.2441	0.1453	0.9912	exomedepth	roi_incNoCall
20	1469	7	39	1535	0	0	0.339	0.9953	0.7407	0.9741	0.4651	0.4888	0.4513	0.97	exomedepth	gene
20	1469	7	39	1535	0	0	0.339	0.9953	0.7407	0.9741	0.4651	0.4888	0.4513	0.97	exomedepth	whole_strategy
23	24411	943	213	25590	0	0	0.0975	0.9628	0.0238	0.9913	0.0383	0.0302	0.0232	0.9548	cnvkit	roi
23	24411	943	213	25605	0	0	0.0975	0.9628	0.0238	0.9913	0.0383	0.0302	0.0232	0.9548	cnvkit	roi_incNoCall
23	1059	417	36	1535	0	0	0.3898	0.7175	0.0523	0.9671	0.0922	0.0456	0.0262	0.7049	cnvkit	gene
23	1059	417	36	1535	0	0	0.3898	0.7175	0.0523	0.9671	0.0922	0.0456	0.0262	0.7049	cnvkit	whole_strategy
