TP	TN	FP	FN	total	no_calls	no_call_rate	sensitivity	specificity	PPV	NPV	F1	MCC	kappa	accuracy	algorithm	level
0	28162	0	296	28458	1274	4.4768	0	1	NA	0.9896	0	NA	1e-04	0.9896	decon	roi
1262	26942	0	254	28473	1274	4.4744	0.8325	1	1	0.9907	0.9086	0.9081	0.9042	0.9911	decon	roi_incNoCall
0	1752	0	68	1820	84	4.6154	0	1	NA	0.9626	0	NA	-0.001	0.9626	decon	gene
5	1676	76	63	1820	84	4.6154	0.0735	0.9566	0.0617	0.9638	0.0671	0.0277	0.0273	0.9236	decon	whole_strategy
282	27846	316	14	28458	480	1.6867	0.9527	0.9888	0.4716	0.9995	0.6309	0.666	0.6255	0.9884	panelcn	roi
587	27551	316	4	28473	480	1.6858	0.9932	0.9887	0.6501	0.9999	0.7858	0.7988	0.7812	0.9888	panelcn	roi_incNoCall
67	1653	99	1	1820	214	11.7582	0.9853	0.9435	0.4036	0.9994	0.5726	0.6118	0.5491	0.9451	panelcn	gene
68	1554	198	0	1820	214	11.7582	1	0.887	0.2556	1	0.4072	0.4762	0.3696	0.8912	panelcn	whole_strategy
283	27676	486	13	28458	3643	12.8013	0.9561	0.9827	0.368	0.9995	0.5315	0.5874	0.5252	0.9825	convading	roi
3760	24446	243	9	28473	3650	12.8192	0.9976	0.9902	0.9393	0.9996	0.9676	0.963	0.9623	0.9911	convading	roi_incNoCall
66	1654	98	2	1820	1117	61.3736	0.9706	0.9441	0.4024	0.9988	0.569	0.6058	0.5453	0.9451	convading	gene
67	691	1061	1	1820	1117	61.3736	0.9853	0.3944	0.0594	0.9986	0.112	0.1483	0.0447	0.4165	convading	whole_strategy
288	28087	75	8	28458	1	0.0035	0.973	0.9973	0.7934	0.9997	0.8741	0.8772	0.8733	0.9971	exomedepth	roi
288	28087	75	8	28473	1	0.0035	0.973	0.9973	0.7934	0.9997	0.8741	0.8772	0.8733	0.9971	exomedepth	roi_incNoCall
65	1738	14	3	1820	1	0.0549	0.9559	0.992	0.8228	0.9983	0.8844	0.8822	0.88	0.9907	exomedepth	gene
65	1738	14	3	1820	1	0.0549	0.9559	0.992	0.8228	0.9983	0.8844	0.8822	0.88	0.9907	exomedepth	whole_strategy
