TP	TN	FP	FN	total	no_calls	no_call_rate	sensitivity	specificity	PPV	NPV	F1	MCC	kappa	accuracy	algorithm	level
0	16501	0	296	16797	767	4.5663	0	1	NA	0.9824	0	NA	0.0013	0.9824	decon	roi
755	15788	0	254	16812	767	4.5622	0.7483	1	1	0.9842	0.856	0.8581	0.8484	0.9849	decon	roi_incNoCall
0	855	0	68	923	45	4.8754	0	1	NA	0.9263	0	NA	-4e-04	0.9263	decon	gene
5	818	37	63	923	45	4.8754	0.0735	0.9567	0.119	0.9285	0.0909	0.0379	0.0371	0.8917	decon	whole_strategy
282	16297	204	14	16797	246	1.4645	0.9527	0.9876	0.5802	0.9991	0.7212	0.7381	0.7145	0.987	panelcn	roi
396	16189	204	8	16812	246	1.4632	0.9802	0.9876	0.66	0.9995	0.7888	0.7989	0.783	0.9874	panelcn	roi_incNoCall
68	803	52	0	923	107	11.5926	1	0.9392	0.5667	1	0.7234	0.7295	0.6949	0.9437	panelcn	gene
68	780	75	0	923	107	11.5926	1	0.9123	0.4755	1	0.6445	0.6586	0.6049	0.9187	panelcn	whole_strategy
280	16231	270	16	16797	2518	14.9908	0.9459	0.9836	0.5091	0.999	0.6619	0.6873	0.6546	0.983	convading	roi
2625	14005	155	12	16812	2525	15.019	0.9954	0.9891	0.9442	0.9991	0.9692	0.9637	0.9634	0.9901	convading	roi_incNoCall
66	816	39	2	923	610	66.0888	0.9706	0.9544	0.6286	0.9976	0.763	0.761	0.7398	0.9556	convading	gene
66	307	548	2	923	610	66.0888	0.9706	0.3591	0.1075	0.9935	0.1935	0.1825	0.0702	0.4041	convading	whole_strategy
284	16459	42	12	16797	0	0	0.9595	0.9975	0.8712	0.9993	0.9132	0.9127	0.912	0.9968	exomedepth	roi
284	16459	42	12	16812	0	0	0.9595	0.9975	0.8712	0.9993	0.9132	0.9127	0.912	0.9968	exomedepth	roi_incNoCall
64	852	3	4	923	0	0	0.9412	0.9965	0.9552	0.9953	0.9481	0.9441	0.9439	0.9924	exomedepth	gene
64	852	3	4	923	0	0	0.9412	0.9965	0.9552	0.9953	0.9481	0.9441	0.9439	0.9924	exomedepth	whole_strategy
