TP	TN	FP	FN	total	no_calls	no_call_rate	sensitivity	specificity	PPV	NPV	F1	MCC	kappa	accuracy	algorithm	level
0	17558	0	24	17582	409	2.3262	0	1	NA	0.9986	0	NA	-0.0256	0.9986	decon	roi
405	17153	0	24	17605	409	2.3232	0.9441	1	1	0.9986	0.9712	0.9709	0.9698	0.9986	decon	roi_incNoCall
0	1104	0	24	1128	27	2.3936	0	1	NA	0.9787	0	NA	-0.0011	0.9787	decon	gene
0	1078	26	24	1128	27	2.3936	0	0.9764	0	0.9782	0	-0.0226	-0.022	0.9557	decon	whole_strategy
24	17277	281	0	17582	208	1.183	1	0.984	0.0787	1	0.1459	0.2783	0.1428	0.984	panelcn	roi
121	17180	281	0	17605	208	1.1815	1	0.9839	0.301	1	0.4627	0.5442	0.4564	0.984	panelcn	roi_incNoCall
24	1065	39	0	1128	127	11.2589	1	0.9647	0.381	1	0.5517	0.6062	0.5371	0.9654	panelcn	gene
24	987	117	0	1128	127	11.2589	1	0.894	0.1702	1	0.2909	0.3901	0.2643	0.8963	panelcn	whole_strategy
22	17254	304	2	17582	1834	10.4311	0.9167	0.9827	0.0675	0.9999	0.1257	0.2461	0.1237	0.9826	convading	roi
1770	15598	213	1	17605	1837	10.4345	0.9994	0.9865	0.8926	0.9999	0.943	0.9381	0.9361	0.9878	convading	roi_incNoCall
22	1051	53	2	1128	832	73.7589	0.9167	0.952	0.2933	0.9981	0.4444	0.5031	0.4255	0.9512	convading	gene
23	329	775	1	1128	832	73.7589	0.9583	0.298	0.0288	0.997	0.056	0.0813	0.0153	0.3121	convading	whole_strategy
21	17549	9	3	17582	1	0.0057	0.875	0.9995	0.7	0.9998	0.7778	0.7823	0.7717	0.9993	exomedepth	roi
21	17549	9	3	17605	1	0.0057	0.875	0.9995	0.7	0.9998	0.7778	0.7823	0.7717	0.9993	exomedepth	roi_incNoCall
21	1097	7	3	1128	1	0.0887	0.875	0.9937	0.75	0.9973	0.8077	0.8057	0.8024	0.9911	exomedepth	gene
21	1097	7	3	1128	1	0.0887	0.875	0.9937	0.75	0.9973	0.8077	0.8057	0.8024	0.9911	exomedepth	whole_strategy
