TP	TN	FP	FN	total	no_calls	no_call_rate	sensitivity	specificity	PPV	NPV	F1	MCC	kappa	accuracy	algorithm	level
0	10291	0	24	10315	240	2.3267	0	1	NA	0.9977	0	NA	0.0115	0.9977	decon	roi
236	10055	0	24	10338	240	2.3215	0.9077	1	1	0.9976	0.9516	0.9516	0.951	0.9977	decon	roi_incNoCall
0	545	0	24	569	14	2.4605	0	1	NA	0.9578	0	NA	-5e-04	0.9578	decon	gene
0	532	13	24	569	14	2.4605	0	0.9761	0	0.9568	0	-0.0321	-0.0301	0.935	decon	whole_strategy
24	10153	138	0	10315	105	1.0179	1	0.9866	0.1481	1	0.2581	0.3823	0.2539	0.9866	panelcn	roi
43	10134	138	0	10338	105	1.0157	1	0.9866	0.2376	1	0.3839	0.4841	0.3788	0.9866	panelcn	roi_incNoCall
24	529	16	0	569	56	9.8418	1	0.9706	0.6	1	0.75	0.7631	0.7363	0.9719	panelcn	gene
24	515	30	0	569	56	9.8418	1	0.945	0.4444	1	0.6154	0.6481	0.5917	0.9473	panelcn	whole_strategy
22	10160	131	2	10315	746	7.2322	0.9167	0.9873	0.1438	0.9998	0.2486	0.3603	0.2452	0.9871	convading	roi
680	9526	108	1	10338	748	7.2354	0.9985	0.9888	0.8629	0.9999	0.9258	0.923	0.9199	0.9894	convading	roi_incNoCall
22	527	18	2	569	337	59.2267	0.9167	0.967	0.55	0.9962	0.6875	0.6947	0.6706	0.9649	convading	gene
23	267	278	1	569	337	59.2267	0.9583	0.4899	0.0764	0.9963	0.1415	0.1805	0.0688	0.5097	convading	whole_strategy
20	10289	2	4	10315	0	0	0.8333	0.9998	0.9091	0.9996	0.8696	0.8701	0.8652	0.9994	exomedepth	roi
20	10289	2	4	10338	0	0	0.8333	0.9998	0.9091	0.9996	0.8696	0.8701	0.8652	0.9994	exomedepth	roi_incNoCall
20	544	1	4	569	0	0	0.8333	0.9982	0.9524	0.9927	0.8889	0.8865	0.8842	0.9912	exomedepth	gene
20	544	1	4	569	0	0	0.8333	0.9982	0.9524	0.9927	0.8889	0.8865	0.8842	0.9912	exomedepth	whole_strategy
