TP	TN	FP	FN	total	no_calls	no_call_rate	sensitivity	specificity	PPV	NPV	F1	MCC	kappa	accuracy	algorithm	level
21	17542	16	3	17582	411	2.3376	0.875	0.9991	0.5676	0.9998	0.6885	0.7042	0.6824	0.9989	decon	roi
427	17137	16	2	17605	411	2.3346	0.9953	0.9991	0.9639	0.9999	0.9794	0.979	0.9793	0.999	decon	roi_incNoCall
21	1091	13	3	1128	29	2.5709	0.875	0.9882	0.6176	0.9973	0.7241	0.7286	0.7168	0.9858	decon	gene
22	1065	39	2	1128	29	2.5709	0.9167	0.9647	0.3607	0.9981	0.5176	0.5623	0.5031	0.9637	decon	whole_strategy
24	17277	281	0	17582	208	1.183	1	0.984	0.0787	1	0.1459	0.2783	0.1428	0.984	panelcn	roi
121	17180	281	0	17605	208	1.1815	1	0.9839	0.301	1	0.4627	0.5442	0.4564	0.984	panelcn	roi_incNoCall
24	1065	39	0	1128	127	11.2589	1	0.9647	0.381	1	0.5517	0.6062	0.5371	0.9654	panelcn	gene
24	987	117	0	1128	127	11.2589	1	0.894	0.1702	1	0.2909	0.3901	0.2643	0.8963	panelcn	whole_strategy
22	17254	304	2	17582	1834	10.4311	0.9167	0.9827	0.0675	0.9999	0.1257	0.2461	0.1237	0.9826	convading	roi
1770	15598	213	1	17605	1837	10.4345	0.9994	0.9865	0.8926	0.9999	0.943	0.9381	0.9361	0.9878	convading	roi_incNoCall
22	1051	53	2	1128	832	73.7589	0.9167	0.952	0.2933	0.9981	0.4444	0.5031	0.4255	0.9512	convading	gene
23	329	775	1	1128	832	73.7589	0.9583	0.298	0.0288	0.997	0.056	0.0813	0.0153	0.3121	convading	whole_strategy
21	17549	9	3	17582	1	0.0057	0.875	0.9995	0.7	0.9998	0.7778	0.7823	0.7717	0.9993	exomedepth	roi
21	17549	9	3	17605	1	0.0057	0.875	0.9995	0.7	0.9998	0.7778	0.7823	0.7717	0.9993	exomedepth	roi_incNoCall
21	1097	7	3	1128	1	0.0887	0.875	0.9937	0.75	0.9973	0.8077	0.8057	0.8024	0.9911	exomedepth	gene
21	1097	7	3	1128	1	0.0887	0.875	0.9937	0.75	0.9973	0.8077	0.8057	0.8024	0.9911	exomedepth	whole_strategy
24	16537	1021	0	17582	1	0.0057	1	0.9418	0.023	1	0.0449	0.1471	0.0419	0.9419	cnvkit	roi
25	16536	1021	0	17605	1	0.0057	1	0.9418	0.0239	1	0.0467	0.15	0.0435	0.9419	cnvkit	roi_incNoCall
24	637	467	0	1128	1	0.0887	1	0.577	0.0489	1	0.0932	0.1679	0.0549	0.586	cnvkit	gene
24	637	467	0	1128	1	0.0887	1	0.577	0.0489	1	0.0932	0.1679	0.0549	0.586	cnvkit	whole_strategy
