TP	TN	FP	FN	total	no_calls	no_call_rate	sensitivity	specificity	PPV	NPV	F1	MCC	kappa	accuracy	algorithm	level
163	27681	481	133	28458	0	0	0.5507	0.9829	0.2531	0.9952	0.3468	0.364	0.3366	0.9784	cnvkit	roi
163	27681	481	133	28473	0	0	0.5507	0.9829	0.2531	0.9952	0.3468	0.364	0.3366	0.9784	cnvkit	roi_incNoCall
16	1706	46	52	1820	0	0	0.2353	0.9737	0.2581	0.9704	0.2462	0.2185	0.219	0.9462	cnvkit	gene
16	1706	46	52	1820	0	0	0.2353	0.9737	0.2581	0.9704	0.2462	0.2185	0.219	0.9462	cnvkit	whole_strategy
171	27973	191	123	28458	7	0.0246	0.5816	0.9932	0.4724	0.9956	0.5213	0.5187	0.5173	0.989	cnvkit2	roi
178	27969	191	120	28473	7	0.0246	0.5973	0.9932	0.4824	0.9957	0.5337	0.5314	0.5295	0.9891	cnvkit2	roi_incNoCall
61	1680	72	7	1820	7	0.3846	0.8971	0.9589	0.4586	0.9959	0.607	0.6237	0.5866	0.9566	cnvkit2	gene
61	1680	72	7	1820	7	0.3846	0.8971	0.9589	0.4586	0.9959	0.607	0.6237	0.5866	0.9566	cnvkit2	whole_strategy
292	26013	2149	4	28458	7	0.0246	0.9865	0.9237	0.1196	0.9998	0.2134	0.3298	0.198	0.9243	cnvkit3	roi
299	26009	2149	1	28473	7	0.0246	0.9967	0.9237	0.1221	1	0.2176	0.3352	0.2032	0.9245	cnvkit3	roi_incNoCall
68	941	811	0	1820	7	0.3846	1	0.5371	0.0774	1	0.1436	0.2038	0.0798	0.5544	cnvkit3	gene
68	941	811	0	1820	7	0.3846	1	0.5371	0.0774	1	0.1436	0.2038	0.0798	0.5544	cnvkit3	whole_strategy
