TP	TN	FP	FN	total	no_calls	no_call_rate	sensitivity	specificity	PPV	NPV	F1	MCC	kappa	accuracy	algorithm	level
120	25038	316	116	25590	0	0	0.5085	0.9875	0.2752	0.9954	0.3571	0.3664	0.3486	0.9831	cnvkit	roi
120	25038	316	116	25605	0	0	0.5085	0.9875	0.2752	0.9954	0.3571	0.3664	0.3486	0.9831	cnvkit	roi_incNoCall
13	1446	30	46	1535	0	0	0.2203	0.9797	0.3023	0.9692	0.2549	0.233	0.2301	0.9505	cnvkit	gene
13	1446	30	46	1535	0	0	0.2203	0.9797	0.3023	0.9692	0.2549	0.233	0.2301	0.9505	cnvkit	whole_strategy
120	25199	155	116	25590	1	0.0039	0.5085	0.9939	0.4364	0.9954	0.4697	0.4657	0.4638	0.9894	cnvkit2	roi
121	25198	155	116	25605	1	0.0039	0.5105	0.9939	0.4384	0.9954	0.4717	0.4678	0.4659	0.9894	cnvkit2	roi_incNoCall
52	1413	63	7	1535	1	0.0651	0.8814	0.9573	0.4522	0.9951	0.5977	0.6124	0.5762	0.9544	cnvkit2	gene
52	1413	63	7	1535	1	0.0651	0.8814	0.9573	0.4522	0.9951	0.5977	0.6124	0.5762	0.9544	cnvkit2	whole_strategy
235	23506	1848	1	25590	1	0.0039	0.9958	0.9271	0.1128	1	0.2027	0.3226	0.1887	0.9277	cnvkit3	roi
236	23505	1848	1	25605	1	0.0039	0.9958	0.9271	0.1132	1	0.2034	0.3232	0.1894	0.9277	cnvkit3	roi_incNoCall
59	778	698	0	1535	1	0.0651	1	0.5271	0.0779	1	0.1446	0.2027	0.079	0.5453	cnvkit3	gene
59	778	698	0	1535	1	0.0651	1	0.5271	0.0779	1	0.1446	0.2027	0.079	0.5453	cnvkit3	whole_strategy
