TP	TN	FP	FN	total	no_calls	no_call_rate	sensitivity	specificity	PPV	NPV	F1	MCC	kappa	accuracy	algorithm	level
0	17279	279	24	17582	0	0	0	0.9841	0	0.9986	0	-0.0047	-6e-04	0.9828	cnvkit	roi
0	17279	279	24	17605	0	0	0	0.9841	0	0.9986	0	-0.0047	-6e-04	0.9828	cnvkit	roi_incNoCall
0	1077	27	24	1128	0	0	0	0.9755	0	0.9782	0	-0.0231	-0.0228	0.9548	cnvkit	gene
0	1077	27	24	1128	0	0	0	0.9755	0	0.9782	0	-0.0231	-0.0228	0.9548	cnvkit	whole_strategy
23	17486	72	1	17582	1	0.0057	0.9583	0.9959	0.2421	0.9999	0.3866	0.4806	0.3781	0.9958	cnvkit2	roi
24	17485	72	1	17605	1	0.0057	0.96	0.9959	0.25	0.9999	0.3967	0.4888	0.3883	0.9958	cnvkit2	roi_incNoCall
23	1073	31	1	1128	1	0.0887	0.9583	0.9719	0.4259	0.9991	0.5897	0.6288	0.5768	0.9716	cnvkit2	gene
23	1073	31	1	1128	1	0.0887	0.9583	0.9719	0.4259	0.9991	0.5897	0.6288	0.5768	0.9716	cnvkit2	whole_strategy
24	16537	1021	0	17582	1	0.0057	1	0.9418	0.023	1	0.0449	0.1471	0.0419	0.9419	cnvkit3	roi
25	16536	1021	0	17605	1	0.0057	1	0.9418	0.0239	1	0.0467	0.15	0.0435	0.9419	cnvkit3	roi_incNoCall
24	637	467	0	1128	1	0.0887	1	0.577	0.0489	1	0.0932	0.1679	0.0549	0.586	cnvkit3	gene
24	637	467	0	1128	1	0.0887	1	0.577	0.0489	1	0.0932	0.1679	0.0549	0.586	cnvkit3	whole_strategy
