TP	TN	FP	FN	total	no_calls	no_call_rate	sensitivity	specificity	PPV	NPV	F1	MCC	kappa	accuracy	algorithm	level
289	28073	89	7	28458	1275	4.4803	0.9764	0.9968	0.7646	0.9998	0.8576	0.8624	0.8547	0.9966	decon	roi
1515	26877	65	1	28473	1275	4.4779	0.9993	0.9976	0.9589	1	0.9787	0.9777	0.9776	0.9977	decon	roi_incNoCall
66	1725	27	2	1820	85	4.6703	0.9706	0.9846	0.7097	0.9988	0.8199	0.8227	0.8122	0.9841	decon	gene
67	1654	98	1	1820	85	4.6703	0.9853	0.9441	0.4061	0.9994	0.5751	0.6139	0.5513	0.9456	decon	whole_strategy
282	27846	316	14	28458	480	1.6867	0.9527	0.9888	0.4716	0.9995	0.6309	0.666	0.6255	0.9884	panelcn	roi
587	27551	316	4	28473	480	1.6858	0.9932	0.9887	0.6501	0.9999	0.7858	0.7988	0.7812	0.9888	panelcn	roi_incNoCall
67	1653	99	1	1820	214	11.7582	0.9853	0.9435	0.4036	0.9994	0.5726	0.6118	0.5491	0.9451	panelcn	gene
68	1554	198	0	1820	214	11.7582	1	0.887	0.2556	1	0.4072	0.4762	0.3696	0.8912	panelcn	whole_strategy
283	27676	486	13	28458	3643	12.8013	0.9561	0.9827	0.368	0.9995	0.5315	0.5874	0.5252	0.9825	convading	roi
3760	24446	243	9	28473	3650	12.8192	0.9976	0.9902	0.9393	0.9996	0.9676	0.963	0.9623	0.9911	convading	roi_incNoCall
66	1654	98	2	1820	1117	61.3736	0.9706	0.9441	0.4024	0.9988	0.569	0.6058	0.5453	0.9451	convading	gene
67	691	1061	1	1820	1117	61.3736	0.9853	0.3944	0.0594	0.9986	0.112	0.1483	0.0447	0.4165	convading	whole_strategy
288	28087	75	8	28458	1	0.0035	0.973	0.9973	0.7934	0.9997	0.8741	0.8772	0.8733	0.9971	exomedepth	roi
288	28087	75	8	28473	1	0.0035	0.973	0.9973	0.7934	0.9997	0.8741	0.8772	0.8733	0.9971	exomedepth	roi_incNoCall
65	1738	14	3	1820	1	0.0549	0.9559	0.992	0.8228	0.9983	0.8844	0.8822	0.88	0.9907	exomedepth	gene
65	1738	14	3	1820	1	0.0549	0.9559	0.992	0.8228	0.9983	0.8844	0.8822	0.88	0.9907	exomedepth	whole_strategy
292	26013	2149	4	28458	7	0.0246	0.9865	0.9237	0.1196	0.9998	0.2134	0.3298	0.198	0.9243	cnvkit	roi
299	26009	2149	1	28473	7	0.0246	0.9967	0.9237	0.1221	1	0.2176	0.3352	0.2032	0.9245	cnvkit	roi_incNoCall
68	941	811	0	1820	7	0.3846	1	0.5371	0.0774	1	0.1436	0.2038	0.0798	0.5544	cnvkit	gene
68	941	811	0	1820	7	0.3846	1	0.5371	0.0774	1	0.1436	0.2038	0.0798	0.5544	cnvkit	whole_strategy
