#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2021-04-26T12:51:51.071807Z
getAlignmentStats_generateStats_000		complete	0	2021-04-26T12:52:09.711018Z
getAlignmentStats_generateStats_001		complete	0	2021-04-26T12:52:10.770627Z
getAlignmentStats_generateStats_002		complete	0	2021-04-26T12:52:07.766686Z
getAlignmentStats_generateStats_003		complete	0	2021-04-26T12:52:09.749811Z
getAlignmentStats_generateStats_004		complete	0	2021-04-26T12:52:01.152415Z
getAlignmentStats_generateStats_005		complete	0	2021-04-26T12:52:09.834010Z
getAlignmentStats_mergeStats		complete	0	2021-04-26T12:52:10.854707Z
getAlignmentStats_removeTmpDir		complete	0	2021-04-26T12:52:10.966367Z
summarizeStats		complete	0	2021-04-26T12:52:11.195621Z
makeGraphTmpDir		complete	0	2021-04-26T12:52:10.944726Z
makeLocusGraph_chromId_000_1_0000		complete	0	2021-04-26T12:52:43.003755Z
makeLocusGraph_chromId_000_1_0001		complete	0	2021-04-26T12:52:26.670587Z
makeLocusGraph_chromId_000_1_0002		complete	0	2021-04-26T12:52:48.390213Z
makeLocusGraph_chromId_000_1_0003		complete	0	2021-04-26T12:52:12.539337Z
makeLocusGraph_chromId_000_1_0004		complete	0	2021-04-26T12:52:13.728559Z
makeLocusGraph_chromId_000_1_0005		complete	0	2021-04-26T12:52:16.131984Z
makeLocusGraph_chromId_000_1_0006		complete	0	2021-04-26T12:52:17.211385Z
makeLocusGraph_chromId_000_1_0007		complete	0	2021-04-26T12:52:25.736741Z
makeLocusGraph_chromId_000_1_0008		complete	0	2021-04-26T12:52:27.546239Z
makeLocusGraph_chromId_000_1_0009		complete	0	2021-04-26T12:52:41.032090Z
makeLocusGraph_chromId_000_1_0010		complete	0	2021-04-26T12:52:39.131080Z
makeLocusGraph_chromId_000_1_0011		complete	0	2021-04-26T12:52:44.422239Z
makeLocusGraph_chromId_000_1_0012		complete	0	2021-04-26T12:52:25.065127Z
makeLocusGraph_chromId_000_1_0013		complete	0	2021-04-26T12:52:26.139459Z
makeLocusGraph_chromId_000_1_0014		complete	0	2021-04-26T12:52:27.736398Z
makeLocusGraph_chromId_000_1_0015		complete	0	2021-04-26T12:52:40.271236Z
makeLocusGraph_chromId_000_1_0016		complete	0	2021-04-26T12:52:42.373003Z
makeLocusGraph_chromId_000_1_0017		complete	0	2021-04-26T12:52:43.784100Z
makeLocusGraph_chromId_000_1_0018		complete	0	2021-04-26T12:52:18.414425Z
makeLocusGraph_chromId_000_1_0019		complete	0	2021-04-26T12:52:19.332172Z
makeLocusGraph_chromId_000_1_0020		complete	0	2021-04-26T12:52:20.746410Z
makeLocusGraph_chromId_001_1_KI270706v1_random_0000		complete	0	2021-04-26T12:52:19.724085Z
makeLocusGraph_chromId_002_1_KI270707v1_random_0000_to_chromId_003_1_KI270708v1_random_0000		complete	0	2021-04-26T12:52:21.498710Z
