#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getAlignmentStats_makeTmpDir		command	1	2048	0	1			mkdir -p /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir
getAlignmentStats_generateStats_000		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/home/robin/Documents/Project/manta/Install/libexec/GetAlignmentStats --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.000.xml --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam
getAlignmentStats_generateStats_001		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/home/robin/Documents/Project/manta/Install/libexec/GetAlignmentStats --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.001.xml --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam
getAlignmentStats_generateStats_002		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/home/robin/Documents/Project/manta/Install/libexec/GetAlignmentStats --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.002.xml --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam
getAlignmentStats_generateStats_003		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/home/robin/Documents/Project/manta/Install/libexec/GetAlignmentStats --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.003.xml --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam
getAlignmentStats_generateStats_004		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/home/robin/Documents/Project/manta/Install/libexec/GetAlignmentStats --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.004.xml --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam
getAlignmentStats_generateStats_005		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/home/robin/Documents/Project/manta/Install/libexec/GetAlignmentStats --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.005.xml --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
getAlignmentStats_mergeStats		command	1	2048	0	1	getAlignmentStats_generateStats_001,getAlignmentStats_generateStats_002,getAlignmentStats_generateStats_003,getAlignmentStats_generateStats_004,getAlignmentStats_generateStats_005,getAlignmentStats_generateStats_000		/home/robin/Documents/Project/manta/Install/libexec/MergeAlignmentStats --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --align-stats-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.000.xml --align-stats-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.001.xml --align-stats-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.002.xml --align-stats-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.003.xml --align-stats-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.004.xml --align-stats-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.005.xml
getAlignmentStats_removeTmpDir		command	1	2048	0	1	getAlignmentStats_mergeStats		rm -rf /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml.tmpdir
summarizeStats		command	1	2048	0	1	getAlignmentStats_mergeStats		/home/robin/Documents/Project/manta/Install/libexec/SummarizeAlignmentStats --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/results/stats/alignmentStatsSummary.txt
makeGraphTmpDir		command	1	2048	0	1	getAlignmentStats_mergeStats		mkdir -p /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir
makeLocusGraph_chromId_000_1_0000		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0000.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:1-11855068 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
makeLocusGraph_chromId_000_1_0001		command	1	1536	0	0	makeGraphTmpDir		/home/robin/Documents/Project/manta/Install/libexec/EstimateSVLoci --output-file /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/svLocusGraph.bin.tmpdir/svLocusGraph.chromId_000_1_0001.bin --align-stats /home/robin/Documents/Project/TFM_code/CNVbenchmarkeR-master/output/manta-datasetclinic/set1/workspace/alignmentStats.xml --region 1:11855069-23710136 --min-candidate-sv-size 8 --min-edge-observations 2 --ref /home/robin/Documents/Project/Samples/hg38/hg38.fa --align-file /home/robin/Documents/Project/Samples/bam/all/17296.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17297.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17298.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17299.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17300.bam --align-file /home/robin/Documents/Project/Samples/bam/all/17301.bam
