#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2021-05-02T16:22:25.789198Z
getAlignmentStats_generateStats_000		complete	0	2021-05-02T16:22:40.205303Z
getAlignmentStats_generateStats_001		complete	0	2021-05-02T16:22:40.915666Z
getAlignmentStats_generateStats_002		complete	0	2021-05-02T16:22:40.740609Z
getAlignmentStats_generateStats_003		complete	0	2021-05-02T16:22:41.155115Z
getAlignmentStats_generateStats_004		complete	0	2021-05-02T16:22:41.336895Z
getAlignmentStats_generateStats_005		complete	0	2021-05-02T16:22:41.601307Z
getAlignmentStats_mergeStats		complete	0	2021-05-02T16:22:41.692284Z
getAlignmentStats_removeTmpDir		complete	0	2021-05-02T16:22:42.004560Z
summarizeStats		complete	0	2021-05-02T16:22:41.796373Z
makeGraphTmpDir		complete	0	2021-05-02T16:22:41.785286Z
makeLocusGraph_chromId_000_1_0000		complete	0	2021-05-02T16:22:47.853342Z
makeLocusGraph_chromId_000_1_0001		complete	0	2021-05-02T16:22:48.380287Z
makeLocusGraph_chromId_000_1_0002		complete	0	2021-05-02T16:22:48.386971Z
makeLocusGraph_chromId_000_1_0003		complete	0	2021-05-02T16:23:11.341909Z
makeLocusGraph_chromId_000_1_0004		complete	0	2021-05-02T16:23:06.863738Z
makeLocusGraph_chromId_000_1_0005		complete	0	2021-05-02T16:23:05.493126Z
makeLocusGraph_chromId_000_1_0006		complete	0	2021-05-02T16:23:12.186073Z
makeLocusGraph_chromId_000_1_0007		complete	0	2021-05-02T16:23:14.701472Z
makeLocusGraph_chromId_000_1_0008		complete	0	2021-05-02T16:23:16.576171Z
makeLocusGraph_chromId_000_1_0009		complete	0	2021-05-02T16:23:12.871786Z
makeLocusGraph_chromId_000_1_0010		complete	0	2021-05-02T16:23:15.735017Z
makeLocusGraph_chromId_000_1_0011		complete	0	2021-05-02T16:23:16.919490Z
makeLocusGraph_chromId_000_1_0012		complete	0	2021-05-02T16:23:13.967925Z
makeLocusGraph_chromId_000_1_0013		complete	0	2021-05-02T16:22:58.966443Z
makeLocusGraph_chromId_000_1_0014		complete	0	2021-05-02T16:23:17.128333Z
makeLocusGraph_chromId_000_1_0015		complete	0	2021-05-02T16:23:13.762891Z
