#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2021-05-02T15:34:33.018821Z
getAlignmentStats_generateStats_000		complete	0	2021-05-02T15:34:54.095788Z
getAlignmentStats_generateStats_001		complete	0	2021-05-02T15:34:58.816694Z
getAlignmentStats_generateStats_002		complete	0	2021-05-02T15:34:54.343562Z
getAlignmentStats_generateStats_003		complete	0	2021-05-02T15:34:54.445185Z
getAlignmentStats_generateStats_004		complete	0	2021-05-02T15:34:51.217074Z
getAlignmentStats_generateStats_005		complete	0	2021-05-02T15:34:53.571414Z
getAlignmentStats_mergeStats		complete	0	2021-05-02T15:34:58.897570Z
getAlignmentStats_removeTmpDir		complete	0	2021-05-02T15:34:59.009090Z
summarizeStats		complete	0	2021-05-02T15:34:59.000194Z
makeGraphTmpDir		complete	0	2021-05-02T15:34:59.005289Z
makeLocusGraph_chromId_000_1_0000		complete	0	2021-05-02T15:35:01.176242Z
makeLocusGraph_chromId_000_1_0001		complete	0	2021-05-02T15:35:05.854304Z
makeLocusGraph_chromId_000_1_0002		complete	0	2021-05-02T15:35:01.417360Z
makeLocusGraph_chromId_000_1_0003		complete	0	2021-05-02T15:35:10.337666Z
makeLocusGraph_chromId_000_1_0004		complete	0	2021-05-02T15:35:11.549235Z
makeLocusGraph_chromId_000_1_0005		complete	0	2021-05-02T15:35:05.123008Z
makeLocusGraph_chromId_000_1_0006		complete	0	2021-05-02T15:35:00.024196Z
makeLocusGraph_chromId_000_1_0007		complete	0	2021-05-02T15:35:01.413153Z
makeLocusGraph_chromId_000_1_0008		complete	0	2021-05-02T15:35:10.592128Z
makeLocusGraph_chromId_000_1_0009		complete	0	2021-05-02T15:35:13.918398Z
makeLocusGraph_chromId_000_1_0010		complete	0	2021-05-02T15:35:12.212450Z
makeLocusGraph_chromId_000_1_0011		complete	0	2021-05-02T15:35:20.302753Z
makeLocusGraph_chromId_000_1_0012		complete	0	2021-05-02T15:35:33.561985Z
makeLocusGraph_chromId_000_1_0013		complete	0	2021-05-02T15:35:17.721795Z
makeLocusGraph_chromId_000_1_0014		complete	0	2021-05-02T15:35:37.317859Z
makeLocusGraph_chromId_000_1_0015		complete	0	2021-05-02T15:35:38.576802Z
makeLocusGraph_chromId_000_1_0016		complete	0	2021-05-02T15:35:00.796476Z
makeLocusGraph_chromId_000_1_0017		complete	0	2021-05-02T15:35:00.754636Z
makeLocusGraph_chromId_000_1_0018		complete	0	2021-05-02T15:35:01.480713Z
makeLocusGraph_chromId_000_1_0019		complete	0	2021-05-02T15:35:02.649920Z
makeLocusGraph_chromId_000_1_0020		complete	0	2021-05-02T15:35:04.167096Z
makeLocusGraph_chromId_001_1_KI270706v1_random_0000		complete	0	2021-05-02T15:35:03.910065Z
makeLocusGraph_chromId_002_1_KI270707v1_random_0000_to_chromId_003_1_KI270708v1_random_0000		complete	0	2021-05-02T15:35:29.002846Z
makeLocusGraph_chromId_004_1_KI270709v1_random_0000_to_chromId_006_1_KI270711v1_random_0000		complete	0	2021-05-02T15:35:37.703764Z
makeLocusGraph_chromId_007_1_KI270712v1_random_0000		complete	0	2021-05-02T15:35:26.949927Z
makeLocusGraph_chromId_008_1_KI270713v1_random_0000_to_chromId_009_1_KI270714v1_random_0000		complete	0	2021-05-02T15:35:24.585222Z
makeLocusGraph_chromId_010_1_GL383518v1_alt_0000		complete	0	2021-05-02T15:35:36.936948Z
makeLocusGraph_chromId_011_1_GL383519v1_alt_0000		complete	0	2021-05-02T15:35:36.071779Z
makeLocusGraph_chromId_012_1_GL383520v2_alt_0000		complete	0	2021-05-02T15:35:17.498084Z
makeLocusGraph_chromId_013_1_KI270759v1_alt_0000		complete	0	2021-05-02T15:35:21.375114Z
makeLocusGraph_chromId_014_1_KI270760v1_alt_0000		complete	0	2021-05-02T15:35:24.423613Z
makeLocusGraph_chromId_015_1_KI270761v1_alt_0000		complete	0	2021-05-02T15:35:26.760297Z
makeLocusGraph_chromId_016_1_KI270762v1_alt_0000		complete	0	2021-05-02T15:34:59.749363Z
makeLocusGraph_chromId_017_1_KI270763v1_alt_0000		complete	0	2021-05-02T15:34:59.344237Z
makeLocusGraph_chromId_018_1_KI270764v1_alt_0000		complete	0	2021-05-02T15:35:22.591398Z
makeLocusGraph_chromId_019_1_KI270765v1_alt_0000		complete	0	2021-05-02T15:35:15.294425Z
makeLocusGraph_chromId_020_1_KI270766v1_alt_0000		complete	0	2021-05-02T15:34:59.246690Z
makeLocusGraph_chromId_021_1_KI270892v1_alt_0000		complete	0	2021-05-02T15:35:33.434585Z
makeLocusGraph_chromId_022_2_0000		complete	0	2021-05-02T15:35:35.664461Z
makeLocusGraph_chromId_022_2_0001		complete	0	2021-05-02T15:34:59.744124Z
makeLocusGraph_chromId_022_2_0002		complete	0	2021-05-02T15:35:39.427686Z
makeLocusGraph_chromId_022_2_0003		complete	0	2021-05-02T15:35:17.771436Z
makeLocusGraph_chromId_022_2_0004		complete	0	2021-05-02T15:35:09.626695Z
makeLocusGraph_chromId_022_2_0005		complete	0	2021-05-02T15:35:06.700326Z
makeLocusGraph_chromId_022_2_0006		complete	0	2021-05-02T15:35:20.983382Z
makeLocusGraph_chromId_022_2_0007		complete	0	2021-05-02T15:35:17.815888Z
makeLocusGraph_chromId_022_2_0008		complete	0	2021-05-02T15:35:31.209946Z
makeLocusGraph_chromId_022_2_0009		complete	0	2021-05-02T15:35:11.136244Z
makeLocusGraph_chromId_022_2_0010		complete	0	2021-05-02T15:35:30.425903Z
makeLocusGraph_chromId_022_2_0011		complete	0	2021-05-02T15:35:28.791715Z
makeLocusGraph_chromId_022_2_0012		complete	0	2021-05-02T15:35:29.153165Z
makeLocusGraph_chromId_022_2_0013		complete	0	2021-05-02T15:35:35.245309Z
makeLocusGraph_chromId_022_2_0014		complete	0	2021-05-02T15:35:27.162799Z
makeLocusGraph_chromId_022_2_0015		complete	0	2021-05-02T15:35:34.608782Z
makeLocusGraph_chromId_022_2_0016		complete	0	2021-05-02T15:35:28.765798Z
makeLocusGraph_chromId_022_2_0017		complete	0	2021-05-02T15:35:28.092201Z
makeLocusGraph_chromId_022_2_0018		complete	0	2021-05-02T15:35:38.566191Z
makeLocusGraph_chromId_022_2_0019		complete	0	2021-05-02T15:35:30.443896Z
makeLocusGraph_chromId_022_2_0020		complete	0	2021-05-02T15:35:20.394025Z
makeLocusGraph_chromId_023_2_KI270715v1_random_0000		complete	0	2021-05-02T15:35:38.100127Z
makeLocusGraph_chromId_024_2_KI270716v1_random_0000		complete	0	2021-05-02T15:35:37.333055Z
makeLocusGraph_chromId_025_2_GL383521v1_alt_0000		complete	0	2021-05-02T15:34:59.374981Z
makeLocusGraph_chromId_026_2_GL383522v1_alt_0000		complete	0	2021-05-02T15:35:00.128002Z
makeLocusGraph_chromId_027_2_GL582966v2_alt_0000		complete	0	2021-05-02T15:35:00.899160Z
makeLocusGraph_chromId_028_2_KI270767v1_alt_0000		complete	0	2021-05-02T15:35:01.873821Z
makeLocusGraph_chromId_029_2_KI270768v1_alt_0000		complete	0	2021-05-02T15:35:02.827106Z
makeLocusGraph_chromId_030_2_KI270769v1_alt_0000		complete	0	2021-05-02T15:35:04.077263Z
makeLocusGraph_chromId_031_2_KI270770v1_alt_0000		complete	0	2021-05-02T15:35:17.267298Z
makeLocusGraph_chromId_032_2_KI270771v1_alt_0000		complete	0	2021-05-02T15:35:32.113024Z
makeLocusGraph_chromId_033_2_KI270772v1_alt_0000		complete	0	2021-05-02T15:35:26.885047Z
makeLocusGraph_chromId_034_2_KI270773v1_alt_0000		complete	0	2021-05-02T15:35:34.327393Z
makeLocusGraph_chromId_035_2_KI270774v1_alt_0000		complete	0	2021-05-02T15:35:13.738477Z
makeLocusGraph_chromId_036_2_KI270775v1_alt_0000		complete	0	2021-05-02T15:35:33.423142Z
makeLocusGraph_chromId_037_2_KI270776v1_alt_0000		complete	0	2021-05-02T15:35:33.821153Z
makeLocusGraph_chromId_038_2_KI270893v1_alt_0000		complete	0	2021-05-02T15:35:09.186742Z
makeLocusGraph_chromId_039_2_KI270894v1_alt_0000		complete	0	2021-05-02T15:34:59.537023Z
makeLocusGraph_chromId_040_3_0000		complete	0	2021-05-02T15:35:06.788776Z
makeLocusGraph_chromId_040_3_0001		complete	0	2021-05-02T15:35:37.257342Z
makeLocusGraph_chromId_040_3_0002		complete	0	2021-05-02T15:35:29.214567Z
makeLocusGraph_chromId_040_3_0003		complete	0	2021-05-02T15:35:31.055313Z
makeLocusGraph_chromId_040_3_0004		complete	0	2021-05-02T15:35:36.529508Z
makeLocusGraph_chromId_040_3_0005		complete	0	2021-05-02T15:35:12.402904Z
