#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2021-05-30T08:13:30.002562Z
getAlignmentStats_generateStats_000		complete	0	2021-05-30T08:13:36.519854Z
getAlignmentStats_mergeStats		complete	0	2021-05-30T08:13:36.599275Z
getAlignmentStats_removeTmpDir		complete	0	2021-05-30T08:13:36.785925Z
summarizeStats		complete	0	2021-05-30T08:13:36.773585Z
makeGraphTmpDir		complete	0	2021-05-30T08:13:36.779528Z
makeLocusGraph_chromId_000_1_0000		complete	0	2021-05-30T08:14:03.474666Z
makeLocusGraph_chromId_000_1_0001		complete	0	2021-05-30T08:13:48.763833Z
makeLocusGraph_chromId_000_1_0002		complete	0	2021-05-30T08:13:37.906463Z
makeLocusGraph_chromId_000_1_0003		complete	0	2021-05-30T08:13:38.827203Z
makeLocusGraph_chromId_000_1_0004		complete	0	2021-05-30T08:13:48.302495Z
makeLocusGraph_chromId_000_1_0005		complete	0	2021-05-30T08:13:58.908934Z
makeLocusGraph_chromId_000_1_0006		complete	0	2021-05-30T08:13:58.222907Z
makeLocusGraph_chromId_000_1_0007		complete	0	2021-05-30T08:13:42.449471Z
makeLocusGraph_chromId_000_1_0008		complete	0	2021-05-30T08:13:49.783231Z
makeLocusGraph_chromId_000_1_0009		complete	0	2021-05-30T08:13:57.257708Z
makeLocusGraph_chromId_000_1_0010		complete	0	2021-05-30T08:14:02.118506Z
makeLocusGraph_chromId_000_1_0011		complete	0	2021-05-30T08:13:54.260744Z
makeLocusGraph_chromId_000_1_0012		complete	0	2021-05-30T08:13:50.045009Z
makeLocusGraph_chromId_000_1_0013		complete	0	2021-05-30T08:13:58.331798Z
makeLocusGraph_chromId_000_1_0014		complete	0	2021-05-30T08:14:00.184515Z
makeLocusGraph_chromId_000_1_0015		complete	0	2021-05-30T08:13:50.063611Z
makeLocusGraph_chromId_000_1_0016		complete	0	2021-05-30T08:13:51.892196Z
makeLocusGraph_chromId_000_1_0017		complete	0	2021-05-30T08:13:54.295999Z
makeLocusGraph_chromId_000_1_0018		complete	0	2021-05-30T08:13:55.835689Z
makeLocusGraph_chromId_000_1_0019		complete	0	2021-05-30T08:13:55.268152Z
makeLocusGraph_chromId_000_1_0020		complete	0	2021-05-30T08:13:58.151315Z
makeLocusGraph_chromId_001_1_KI270706v1_random_0000		complete	0	2021-05-30T08:13:53.958491Z
makeLocusGraph_chromId_002_1_KI270707v1_random_0000_to_chromId_003_1_KI270708v1_random_0000		complete	0	2021-05-30T08:14:02.250877Z
makeLocusGraph_chromId_004_1_KI270709v1_random_0000_to_chromId_006_1_KI270711v1_random_0000		complete	0	2021-05-30T08:13:40.645699Z
makeLocusGraph_chromId_007_1_KI270712v1_random_0000		complete	0	2021-05-30T08:14:00.389206Z
makeLocusGraph_chromId_008_1_KI270713v1_random_0000_to_chromId_009_1_KI270714v1_random_0000		complete	0	2021-05-30T08:13:42.393688Z
makeLocusGraph_chromId_010_1_GL383518v1_alt_0000		complete	0	2021-05-30T08:14:00.438111Z
makeLocusGraph_chromId_011_1_GL383519v1_alt_0000		complete	0	2021-05-30T08:13:48.495606Z
makeLocusGraph_chromId_012_1_GL383520v2_alt_0000		complete	0	2021-05-30T08:13:50.393594Z
makeLocusGraph_chromId_013_1_KI270759v1_alt_0000		complete	0	2021-05-30T08:13:52.331243Z
makeLocusGraph_chromId_014_1_KI270760v1_alt_0000		complete	0	2021-05-30T08:13:53.668090Z
makeLocusGraph_chromId_015_1_KI270761v1_alt_0000		complete	0	2021-05-30T08:13:48.631102Z
makeLocusGraph_chromId_016_1_KI270762v1_alt_0000		complete	0	2021-05-30T08:13:57.599409Z
makeLocusGraph_chromId_017_1_KI270763v1_alt_0000		complete	0	2021-05-30T08:13:58.558782Z
makeLocusGraph_chromId_018_1_KI270764v1_alt_0000		complete	0	2021-05-30T08:13:46.369649Z
makeLocusGraph_chromId_019_1_KI270765v1_alt_0000		complete	0	2021-05-30T08:13:55.743228Z
makeLocusGraph_chromId_020_1_KI270766v1_alt_0000		complete	0	2021-05-30T08:14:01.899598Z
makeLocusGraph_chromId_021_1_KI270892v1_alt_0000		complete	0	2021-05-30T08:14:00.963215Z
makeLocusGraph_chromId_022_2_0000		complete	0	2021-05-30T08:14:03.363719Z
makeLocusGraph_chromId_022_2_0001		complete	0	2021-05-30T08:13:47.096475Z
makeLocusGraph_chromId_022_2_0002		complete	0	2021-05-30T08:13:47.557520Z
makeLocusGraph_chromId_022_2_0003		complete	0	2021-05-30T08:13:48.026957Z
makeLocusGraph_chromId_022_2_0004		complete	0	2021-05-30T08:13:48.329287Z
makeLocusGraph_chromId_022_2_0005		complete	0	2021-05-30T08:13:48.813005Z
makeLocusGraph_chromId_022_2_0006		complete	0	2021-05-30T08:13:55.621651Z
