TP	TN	FP	FN	total	no_calls	no_call_rate	sensitivity	specificity	PPV	NPV	F1	MCC	kappa	accuracy	algorithm	level
289	28073	89	7	28458	1275	4.4803	0.9764	0.9968	0.7646	0.9998	0.8576	0.8624	0.8547	0.9966	decon	roi
1515	26877	65	1	28473	1275	4.4779	0.9993	0.9976	0.9589	1	0.9787	0.9777	0.9776	0.9977	decon	roi_incNoCall
66	1725	27	2	1820	85	4.6703	0.9706	0.9846	0.7097	0.9988	0.8199	0.8227	0.8122	0.9841	decon	gene
67	1654	98	1	1820	85	4.6703	0.9853	0.9441	0.4061	0.9994	0.5751	0.6139	0.5513	0.9456	decon	whole_strategy
282	27846	316	14	28458	480	1.6867	0.9527	0.9888	0.4716	0.9995	0.6309	0.666	0.6255	0.9884	panelcn	roi
587	27551	316	4	28473	480	1.6858	0.9932	0.9887	0.6501	0.9999	0.7858	0.7988	0.7812	0.9888	panelcn	roi_incNoCall
67	1653	99	1	1820	214	11.7582	0.9853	0.9435	0.4036	0.9994	0.5726	0.6118	0.5491	0.9451	panelcn	gene
68	1554	198	0	1820	214	11.7582	1	0.887	0.2556	1	0.4072	0.4762	0.3696	0.8912	panelcn	whole_strategy
283	27676	486	13	28458	3643	12.8013	0.9561	0.9827	0.368	0.9995	0.5315	0.5874	0.5252	0.9825	convading	roi
3760	24446	243	9	28473	3650	12.8192	0.9976	0.9902	0.9393	0.9996	0.9676	0.963	0.9623	0.9911	convading	roi_incNoCall
66	1654	98	2	1820	1117	61.3736	0.9706	0.9441	0.4024	0.9988	0.569	0.6058	0.5453	0.9451	convading	gene
67	691	1061	1	1820	1117	61.3736	0.9853	0.3944	0.0594	0.9986	0.112	0.1483	0.0447	0.4165	convading	whole_strategy
289	28087	75	7	28458	1	0.0035	0.9764	0.9973	0.794	0.9998	0.8758	0.8791	0.8735	0.9971	exomedepth	roi
289	28087	75	7	28473	1	0.0035	0.9764	0.9973	0.794	0.9998	0.8758	0.8791	0.8735	0.9971	exomedepth	roi_incNoCall
66	1738	14	2	1820	1	0.0549	0.9706	0.992	0.825	0.9989	0.8919	0.8905	0.8872	0.9912	exomedepth	gene
66	1738	14	2	1820	1	0.0549	0.9706	0.992	0.825	0.9989	0.8919	0.8905	0.8872	0.9912	exomedepth	whole_strategy
20	28157	5	276	28458	0	0	0.0676	0.9998	0.8	0.9903	0.1246	0.2308	0.1209	0.9901	manta	roi
20	28157	5	276	28473	0	0	0.0676	0.9998	0.8	0.9903	0.1246	0.2308	0.1209	0.9901	manta	roi_incNoCall
8	1750	2	60	1820	0	0	0.1176	0.9989	0.8	0.9669	0.2051	0.2989	0.1966	0.9659	manta	gene
8	1750	2	60	1820	0	0	0.1176	0.9989	0.8	0.9669	0.2051	0.2989	0.1966	0.9659	manta	whole_strategy
163	27681	481	133	28458	7	0.0246	0.5507	0.9829	0.2531	0.9952	0.3468	0.364	0.3366	0.9784	cnvkit	roi
170	27677	481	130	28473	7	0.0246	0.5667	0.9829	0.2611	0.9953	0.3575	0.3754	0.3472	0.9785	cnvkit	roi_incNoCall
16	1706	46	52	1820	7	0.3846	0.2353	0.9737	0.2581	0.9704	0.2462	0.2185	0.219	0.9462	cnvkit	gene
18	1706	46	50	1820	7	0.3846	0.2647	0.9737	0.2812	0.9715	0.2727	0.2455	0.2461	0.9473	cnvkit	whole_strategy
171	27973	191	123	28458	7	0.0246	0.5816	0.9932	0.4724	0.9956	0.5213	0.5187	0.5173	0.989	cnvkit2	roi
178	27969	191	120	28473	7	0.0246	0.5973	0.9932	0.4824	0.9957	0.5337	0.5314	0.5295	0.9891	cnvkit2	roi_incNoCall
61	1680	72	7	1820	7	0.3846	0.8971	0.9589	0.4586	0.9959	0.607	0.6237	0.5866	0.9566	cnvkit2	gene
61	1680	72	7	1820	7	0.3846	0.8971	0.9589	0.4586	0.9959	0.607	0.6237	0.5866	0.9566	cnvkit2	whole_strategy
292	26013	2149	4	28458	7	0.0246	0.9865	0.9237	0.1196	0.9998	0.2134	0.3298	0.198	0.9243	cnvkit3	roi
299	26009	2149	1	28473	7	0.0246	0.9967	0.9237	0.1221	1	0.2176	0.3352	0.2032	0.9245	cnvkit3	roi_incNoCall
68	941	811	0	1820	7	0.3846	1	0.5371	0.0774	1	0.1436	0.2038	0.0798	0.5544	cnvkit3	gene
68	941	811	0	1820	7	0.3846	1	0.5371	0.0774	1	0.1436	0.2038	0.0798	0.5544	cnvkit3	whole_strategy
231	27905	257	65	28458	7	0.0246	0.7804	0.9909	0.4734	0.9977	0.5893	0.6027	0.5844	0.9887	cnvkit4	roi
238	27901	257	62	28473	7	0.0246	0.7933	0.9909	0.4808	0.9978	0.5987	0.6126	0.5937	0.9888	cnvkit4	roi_incNoCall
64	1671	81	4	1820	7	0.3846	0.9412	0.9538	0.4414	0.9976	0.6009	0.6268	0.5796	0.9533	cnvkit4	gene
64	1671	81	4	1820	7	0.3846	0.9412	0.9538	0.4414	0.9976	0.6009	0.6268	0.5796	0.9533	cnvkit4	whole_strategy
285	27321	841	11	28458	7	0.0246	0.9628	0.9701	0.2531	0.9996	0.4008	0.4856	0.3916	0.9701	cnvkit5	roi
292	27317	841	8	28473	7	0.0246	0.9733	0.9701	0.2577	0.9997	0.4075	0.4928	0.3982	0.9702	cnvkit5	roi_incNoCall
68	1418	334	0	1820	7	0.3846	1	0.8094	0.1692	1	0.2894	0.37	0.2409	0.8165	cnvkit5	gene
68	1418	334	0	1820	7	0.3846	1	0.8094	0.1692	1	0.2894	0.37	0.2409	0.8165	cnvkit5	whole_strategy
