TP	TN	FP	FN	total	no_calls	no_call_rate	sensitivity	specificity	PPV	NPV	F1	MCC	kappa	accuracy	algorithm	level
232	25307	47	4	25590	1108	4.3298	0.9831	0.9981	0.8315	0.9998	0.901	0.9032	0.8996	0.998	decon	roi
1316	24232	40	2	25605	1108	4.3273	0.9985	0.9984	0.9705	0.9999	0.9843	0.9835	0.9838	0.9984	decon	roi_incNoCall
57	1457	19	2	1535	67	4.3648	0.9661	0.9871	0.75	0.9986	0.8444	0.8448	0.8372	0.9863	decon	gene
58	1394	82	1	1535	67	4.3648	0.9831	0.9444	0.4143	0.9993	0.5829	0.6193	0.5588	0.9459	decon	whole_strategy
228	25051	303	8	25590	349	1.3638	0.9661	0.988	0.4294	0.9997	0.5945	0.6398	0.5877	0.9878	panelcn	roi
444	24840	303	3	25605	349	1.363	0.9933	0.9879	0.5944	0.9999	0.7437	0.7636	0.7371	0.988	panelcn	roi_incNoCall
59	1391	85	0	1535	173	11.2704	1	0.9424	0.4097	1	0.5813	0.6214	0.5569	0.9446	panelcn	gene
59	1310	166	0	1535	173	11.2704	1	0.8875	0.2622	1	0.4155	0.4824	0.3778	0.8919	panelcn	whole_strategy
221	24977	377	15	25590	3039	11.8757	0.9364	0.9851	0.3696	0.9994	0.53	0.5831	0.5243	0.9847	convading	roi
3097	22310	172	11	25605	3046	11.8961	0.9965	0.9923	0.9474	0.9995	0.9713	0.9676	0.967	0.9928	convading	roi_incNoCall
57	1395	81	2	1535	931	60.6515	0.9661	0.9451	0.413	0.9986	0.5787	0.6124	0.5545	0.9459	convading	gene
57	598	878	2	1535	931	60.6515	0.9661	0.4051	0.061	0.9967	0.1147	0.1463	0.0457	0.4267	convading	whole_strategy
231	25317	37	5	25590	1	0.0039	0.9788	0.9985	0.8619	0.9998	0.9167	0.9177	0.918	0.9984	exomedepth	roi
231	25317	37	5	25605	1	0.0039	0.9788	0.9985	0.8619	0.9998	0.9167	0.9177	0.918	0.9984	exomedepth	roi_incNoCall
56	1466	10	3	1535	1	0.0651	0.9492	0.9932	0.8485	0.998	0.896	0.8931	0.8912	0.9915	exomedepth	gene
56	1466	10	3	1535	1	0.0651	0.9492	0.9932	0.8485	0.998	0.896	0.8931	0.8912	0.9915	exomedepth	whole_strategy
19	25349	5	217	25590	0	0	0.0805	0.9998	0.7917	0.9915	0.1462	0.2508	0.1423	0.9913	manta	roi
19	25349	5	217	25605	0	0	0.0805	0.9998	0.7917	0.9915	0.1462	0.2508	0.1423	0.9913	manta	roi_incNoCall
7	1474	2	52	1535	0	0	0.1186	0.9986	0.7778	0.9659	0.2059	0.2953	0.1972	0.9648	manta	gene
7	1474	2	52	1535	0	0	0.1186	0.9986	0.7778	0.9659	0.2059	0.2953	0.1972	0.9648	manta	whole_strategy
120	25038	316	116	25590	1	0.0039	0.5085	0.9875	0.2752	0.9954	0.3571	0.3664	0.3486	0.9831	cnvkit	roi
121	25037	316	116	25605	1	0.0039	0.5105	0.9875	0.2769	0.9954	0.3591	0.3683	0.3506	0.9831	cnvkit	roi_incNoCall
13	1446	30	46	1535	1	0.0651	0.2203	0.9797	0.3023	0.9692	0.2549	0.233	0.2301	0.9505	cnvkit	gene
13	1446	30	46	1535	1	0.0651	0.2203	0.9797	0.3023	0.9692	0.2549	0.233	0.2301	0.9505	cnvkit	whole_strategy
120	25199	155	116	25590	1	0.0039	0.5085	0.9939	0.4364	0.9954	0.4697	0.4657	0.4638	0.9894	cnvkit2	roi
121	25198	155	116	25605	1	0.0039	0.5105	0.9939	0.4384	0.9954	0.4717	0.4678	0.4659	0.9894	cnvkit2	roi_incNoCall
52	1413	63	7	1535	1	0.0651	0.8814	0.9573	0.4522	0.9951	0.5977	0.6124	0.5762	0.9544	cnvkit2	gene
52	1413	63	7	1535	1	0.0651	0.8814	0.9573	0.4522	0.9951	0.5977	0.6124	0.5762	0.9544	cnvkit2	whole_strategy
235	23506	1848	1	25590	1	0.0039	0.9958	0.9271	0.1128	1	0.2027	0.3226	0.1887	0.9277	cnvkit3	roi
236	23505	1848	1	25605	1	0.0039	0.9958	0.9271	0.1132	1	0.2034	0.3232	0.1894	0.9277	cnvkit3	roi_incNoCall
59	778	698	0	1535	1	0.0651	1	0.5271	0.0779	1	0.1446	0.2027	0.079	0.5453	cnvkit3	gene
59	778	698	0	1535	1	0.0651	1	0.5271	0.0779	1	0.1446	0.2027	0.079	0.5453	cnvkit3	whole_strategy
146	25163	191	90	25590	1	0.0039	0.6186	0.9925	0.4332	0.9964	0.5096	0.5124	0.5034	0.989	cnvkit4	roi
147	25162	191	90	25605	1	0.0039	0.6203	0.9925	0.4349	0.9964	0.5113	0.5141	0.5051	0.989	cnvkit4	roi_incNoCall
53	1404	72	6	1535	1	0.0651	0.8983	0.9512	0.424	0.9957	0.5761	0.5971	0.5529	0.9492	cnvkit4	gene
53	1404	72	6	1535	1	0.0651	0.8983	0.9512	0.424	0.9957	0.5761	0.5971	0.5529	0.9492	cnvkit4	whole_strategy
231	24642	712	5	25590	1	0.0039	0.9788	0.9719	0.245	0.9998	0.3919	0.4824	0.3832	0.972	cnvkit5	roi
232	24641	712	5	25605	1	0.0039	0.9789	0.9719	0.2458	0.9998	0.3929	0.4832	0.3842	0.972	cnvkit5	roi_incNoCall
59	1191	285	0	1535	1	0.0651	1	0.8069	0.1715	1	0.2928	0.372	0.243	0.8143	cnvkit5	gene
59	1191	285	0	1535	1	0.0651	1	0.8069	0.1715	1	0.2928	0.372	0.243	0.8143	cnvkit5	whole_strategy
