gene	cnvkit5	convading	decon	exomedepth	manta	panelcn	n
ATM	0	0	0	0	0.0921	0	4343
BRCA1	0	0.0588	0.1176	0.1176	1.3521	0.1176	1701
BRCA2	0.103	0.0515	0.0515	0.0515	1.391	0.2061	1941
CHEK2	0	0.0985	0	0	3.4483	0	1015
EPCAM	0	0	0	0	0.159	0	629
MLH1	0.0774	0.1548	0	0	1.4706	0	1292
MSH2	0.092	0.276	0	0	3.0359	0	1087
MSH6	0	0	0	0	0	0	680
NF1	0	0	0	0	56.7568	0	37
NSD1	6.0606	1.0101	4.0404	4.0404	38.3838	3.0303	99
PALB2	0	0	0	0	0.1116	0	896
PMS2	0	0.5369	0	0	3.0872	0.4027	745
PTEN	0	0	0	0	0.1613	0	620
RAD51C	0	0	0	0	0.9756	0	615
RB1	0	0	0	0	17.3913	0	23
SDHB	0	0	0	0	77.7778	0	9
TP53	0.1328	0	0	0	1.5936	0.2656	753
