gene	cnvkit5	convading	decon	exomedepth	manta	panelcn	n
APC	28	26	6	6	0	18	1104
ATM	81	60	0	0	3	45	4343
BAP1	26	17	0	0	0	13	1173
BARD1	31	20	5	4	0	13	759
BMPR1A	44	14	4	1	0	8	897
BRCA1	53	20	0	0	1	12	1701
BRCA2	49	35	4	4	0	20	1941
BRIP1	43	30	0	0	0	22	1380
CDH1	38	14	5	4	0	9	1104
CDK4	11	5	0	0	0	0	552
CDKN2A	8	13	0	0	0	2	276
CHEK2	39	8	0	0	0	8	1015
EPCAM	45	5	1	1	0	3	621
MLH1	28	6	0	0	0	7	1292
MSH2	30	16	0	0	0	9	1087
MSH6	24	20	1	0	0	7	680
MUTYH	55	17	0	0	0	9	1104
NBN	28	29	4	0	0	15	1104
NF1	0	2	0	0	0	0	37
NSD1	3	21	0	0	0	1	99
PALB2	28	2	1	1	0	3	896
PMS2	20	14	6	6	0	8	745
PTEN	21	29	0	0	0	13	620
RAD51C	25	1	1	0	0	7	615
RAD51D	13	4	1	0	0	9	690
RB1	0	2	0	0	0	0	23
SDHB	0	0	0	0	0	0	9
SMAD4	18	14	0	0	0	7	828
STK11	13	12	1	0	0	10	690
TP53	14	7	24	23	1	12	753
