gene	cnvkit5	convading	decon	exomedepth	manta	panelcn	n
ATM	2025	1500	0	0	75	1125	4
BRCA1	220.8333	83.3333	0	0	4.1667	50	24
BRCA2	163.3333	116.6667	13.3333	13.3333	0	66.6667	30
CHEK2	111.4286	22.8571	0	0	0	22.8571	35
EPCAM	5200	1000	800	800	0	1100	1
MLH1	147.3684	31.5789	0	0	0	36.8421	19
MSH2	90.9091	48.4848	0	0	0	27.2727	33
MSH6	240	200	10	0	0	70	10
NF1	0	9.5238	0	0	0	0	21
NSD1	7.6923	53.8462	0	0	0	2.5641	39
PALB2	2800	200	100	100	0	300	1
PMS2	86.9565	60.8696	26.087	26.087	0	34.7826	23
PTEN	2100	2900	0	0	0	1300	1
RAD51C	416.6667	16.6667	16.6667	0	0	116.6667	6
RB1	0	50	0	0	0	0	4
SDHB	0	0	0	0	0	0	7
TP53	82.3529	41.1765	141.1765	135.2941	5.8824	70.5882	17
