sampleID	cnvkit5	convading	decon	panelcn	n
17297	0	10	0	0	10
17298	0	11.6337	0	0	404
17299	0	9.6535	0	0	404
17300	0	8.4158	0	0.7426	404
17301	0	9.1584	0	0.495	404
17302	0	10.8911	0	0.495	404
17303	0	8.4158	0	0.7426	404
17304	0	9.901	0	0.7426	404
17305	0	8.6634	0	0.7426	404
17306	0	7.9208	0	0.2475	404
17307	0	11.1386	0	0	404
17308	0	9.4059	0	0.495	404
17309	0	9.6535	0	0.7426	404
17310	0	8.6634	0	0.7426	404
17311	0	11.1386	0	0.7426	404
17312	0	8.1683	0	0.7426	404
17313	0	8.6634	0	0.495	404
17314	0	9.4059	0	0	404
17315	0	9.1584	0	0	404
17316	0	8.1683	0	0	404
17317	0	8.6634	0	0.2475	404
17318	0	8.6634	0	0.2475	404
17319	0	20	0	26.6667	15
17320	0	8.6957	0	0	23
17321	4.3478	26.087	4.3478	0	23
17323	4.3478	4.3478	104.3478	0	23
17324	0	13.8614	0	0.9901	404
17325	4.3478	13.0435	4.3478	0	23
17326	0	13.0435	0	0	23
17327	0	10.396	0	0.7426	404
17328	0	8.6634	0	0.7426	404
17329	0	9.4059	0	0.7426	404
17330	0	9.4059	0	0.2475	404
17331	0	7.8431	0	0.7353	408
17332	0	7.4257	0	0	404
17333	0	8.6957	0	0	23
17334	0	9.6535	0	0.495	404
17335	0	23.0198	0	0.2475	404
17336	3.7037	3.7037	0	3.7037	27
17337	0	6.6832	0	0	404
17338	0	1.7241	0	0	58
17339	0	57.9208	100	34.901	404
17340	0	10.687	0	0	393
17341	0	9.3137	0	1.2255	408
17342	0	21.2871	100	5.6931	404
17343	0	9.1584	0	0.2475	404
17356	0	15.099	0	2.9703	404
17357	0	7.4074	0	0	27
17359	0	13.6139	0	0.495	404
17360	0	13.6139	0	0.9901	404
17361	0	16.0891	0	1.7327	404
17362	0	8.6957	0	0	23
17363	0	46.6667	0	0	15
17364	0	14.8148	0	0	27
17366	0	24	0	0	25
17367	0	13.1188	0	0	404
17368	0	13.3663	0	0	404
17369	0	13.2316	0	0.5089	393
17370	0	12.3762	0	0.7426	404
17371	0	16.0891	0	1.2376	404
17373	0	12.8713	0	0	404
17374	4.3478	39.1304	4.3478	0	23
17375	0	11.3861	0	0	404
17376	0	12.8713	0	0	404
17377	0	13.3663	0	0	404
17378	0	12.6238	0	0	404
17379	0	10.5392	0	0.7353	408
17380	0	14.8148	0	0	27
17381	4.3478	43.4783	4.3478	0	23
17382	0	12.3762	0	0	404
17383	4.3478	13.0435	104.3478	0	23
17384	0	21.7391	0	0	23
17385	0	12.1287	0	0	404
17386	0	12.6238	0	0	404
17387	0	14.8515	0	0.9901	404
17388	0	12.8713	0	0.9901	404
17389	0	12.8713	0	0	404
17390	0	11.2745	0	0.7353	408
17391	0	12.6238	0	0	404
17392	0	12.8713	0	0	404
17393	0	8.9109	0	0	404
17394	0	32.4257	100	6.4356	404
17395	0	30	0	0	10
17396	0	13.6139	0	0	404
17397	0	12.6238	0	0	404
17398	0	5.9406	0	0	404
17399	0	12.1287	0	0	404
17400	0	12.1287	0	0	404
17401	0	14.604	0	0	404
17402	0	12.8713	0	0	404
17403	0	13.0435	0	0	23
