gene	cnvkit5	convading	decon	exomedepth	manta	panelcn	n
APC	9	14	0	0	0	13	688
ATM	35	51	0	0	0	41	2709
BAP1	12	17	0	0	0	18	731
BARD1	9	11	1	1	0	12	473
BMPR1A	23	11	2	0	0	8	559
BRCA1	22	10	1	0	1	12	1116
BRCA2	23	20	1	1	0	17	1184
BRIP1	16	19	0	0	0	14	860
CDH1	24	16	3	2	0	10	688
CDK4	9	7	0	0	0	7	344
CDKN2A	1	8	0	0	0	4	172
CHEK2	14	5	0	0	0	4	645
EPCAM	21	4	1	0	0	4	387
MLH1	9	4	0	0	0	7	817
MSH2	10	6	0	0	0	9	685
MSH6	16	10	0	0	0	4	430
MUTYH	30	18	0	0	0	16	688
NBN	14	16	2	0	0	15	688
NSD1	0	0	0	0	0	0	22
PALB2	15	2	0	0	0	3	558
PMS2	10	6	2	2	0	9	476
PTEN	3	9	0	0	0	9	386
RAD51C	9	1	0	0	0	5	387
RAD51D	6	5	1	1	0	9	430
SDHB	0	0	0	0	0	0	7
SMAD4	9	12	0	0	0	9	516
STK11	6	12	1	1	0	11	430
TP53	5	10	1	1	0	11	483
