gene	cnvkit5	convading	decon	panelcn	n
APC	0	3.4884	2.3256	0	688
ATM	0	1.698	2.3256	0	2709
BAP1	0	13.9535	2.3256	0.2736	731
BARD1	0	10.7822	2.3256	0.2114	473
BMPR1A	0	10.3757	2.3256	4.8301	559
BRCA1	0	19.3434	2.0408	0	1127
BRCA2	0	5.0505	2.2727	0.2525	1188
BRIP1	0	2.3256	2.3256	0	860
CDH1	0	7.1221	2.3256	2.7616	688
CDK4	0	19.7674	2.3256	0	344
CDKN2A	0	65.6977	2.3256	5.2326	172
CHEK2	0	0.155	2.3256	0	645
EPCAM	0	15.5039	2.3256	4.6512	387
MLH1	0	1.836	2.3256	0	817
MSH2	0	14.2442	2.3256	0	688
MSH6	0	10	2.3256	1.3953	430
MUTYH	0	35.7558	2.3256	0.1453	688
NBN	0	11.6279	2.3256	0	688
NSD1	4.3478	4.3478	4.3478	0	23
PALB2	0	0	2.3256	0	559
PMS2	0	0.4193	2.3061	0.6289	477
PTEN	0	9.3023	2.3256	0	387
RAD51C	0	0	2.3256	0	387
RAD51D	0	19.0698	2.3256	0	430
SMAD4	0	5.814	2.3256	0.3876	516
STK11	0	30	2.3256	1.3953	430
TP53	0	24.3802	2.2727	0	484
