sampleID	cnvkit5	convading	decon	panelcn	n
17298	0	5.9406	0	0.2475	404
17299	0	7.4257	0	0.2475	404
17300	0	7.6733	0	0.7426	404
17301	0	7.4257	0	0.495	404
17304	0	6.9307	0	0.7426	404
17305	0	7.6733	0	0.7426	404
17306	0	6.9307	0	0.495	404
17308	0	7.1782	0	0.495	404
17309	0	6.9307	0	0.7426	404
17310	0	7.1782	0	0.7426	404
17311	0	7.1782	0	0.7426	404
17312	0	6.9307	0	0.7426	404
17313	0	7.1782	0	0.7426	404
17314	0	6.6832	0	0.2475	404
17315	0	6.1881	0	0	404
17316	0	5.9406	0	0.2475	404
17317	0	6.4356	0	0.2475	404
17319	0	13.3333	0	20	15
17320	0	17.3913	0	0	23
17326	0	17.3913	0	0	23
17327	0	7.4257	0	0.7426	404
17328	0	6.9307	0	0.7426	404
17329	0	6.9307	0	0.7426	404
17330	0	6.9307	0	0.2475	404
17333	0	8.6957	0	0	23
17339	0	18.0693	100	1.2376	404
17356	0	13.6139	0	2.9703	404
17360	0	16.0891	0	0.9901	404
17361	0	14.3564	0	2.9703	404
17362	0	17.3913	0	0	23
17364	0	7.4074	0	3.7037	27
17365	0	18.1818	0	0	11
17367	0	12.3762	0	0	404
17368	0	10.1485	0	0	404
17369	0	16.285	0	0.2545	393
17370	0	14.3564	0	0	404
17371	0	14.604	0	2.2277	404
17373	0	14.8515	0	0	404
17374	4.3478	4.3478	4.3478	0	23
17376	0	8.6634	0	0	404
17382	0	13.6139	0	0	404
17384	0	13.0435	0	0	23
17386	0	14.604	0	0	404
17387	0	15.099	0	1.2376	404
17389	0	10.1485	0	0	404
17391	0	8.9109	0	0	404
17392	0	14.604	0	0	404
17397	0	13.3663	0	0	404
17398	0	6.9307	0	0	404
17399	0	8.9109	0	0	404
17401	0	8.1683	0	0	404
17402	0	13.1188	0	0	404
17403	0	13.0435	0	0	23
