genes	cnvkit5	convading	decon	exomedepth	manta	panelcn	n
APC	1.3081	2.0349	0	0	0	1.8895	688
ATM	1.292	1.8826	0	0	0	1.5135	2709
BAP1	1.6416	2.3256	0	0	0	2.4624	731
BARD1	1.9027	2.3256	0.2114	0.2114	0	2.537	473
BMPR1A	4.1145	1.9678	0.3578	0	0	1.4311	559
BRCA1	2.5172	1.1442	0	0	0	1.373	874
BRCA2	2.037	1.8519	0.0926	0.0926	0	1.5741	1080
BRIP1	1.8605	2.2093	0	0	0	1.6279	860
CDH1	3.4884	2.3256	0.436	0.2907	0	1.4535	688
CDK4	2.6163	2.0349	0	0	0	2.0349	344
CDKN2A	0.5814	4.6512	0	0	0	2.3256	172
CHEK2	2.1705	0.7752	0	0	0	0.6202	645
EPCAM	5.4264	1.0336	0.2584	0	0	1.0336	387
MLH1	1.1016	0.4896	0	0	0	0.8568	817
MSH2	1.5625	0.9375	0	0	0	1.4062	640
MSH6	3.7209	2.3256	0	0	0	0.9302	430
MUTYH	4.3605	2.6163	0	0	0	2.3256	688
NBN	2.0349	2.3256	0.2907	0	0	2.1802	688
PALB2	2.7473	0.3663	0	0	0	0.5495	546
PMS2	1.9481	1.2987	0	0	0	1.7316	462
PTEN	0.7937	2.381	0	0	0	2.381	378
RAD51C	2.3256	0.2584	0	0	0	1.292	387
RAD51D	1.3953	1.1628	0.2326	0.2326	0	2.093	430
SMAD4	1.7442	2.3256	0	0	0	1.7442	516
STK11	1.3953	2.7907	0.2326	0.2326	0	2.5581	430
TP53	1.0571	2.1142	0.2114	0.2114	0	2.3256	473
