V10	V11	V12	V13	V4	V6	V8	V9	ID	cnvkit5	convading	decon	exomedepth	manta	panelcn
1	17022607	17022731	SDHB	17358	Exon 2-7 deletion	Deletion	Multi	1	1	1	1	1	0	1
1	17023972	17024075	SDHB	17358	Exon 2-7 deletion	Deletion	Multi	2	1	1	1	1	0	1
1	17027748	17027866	SDHB	17358	Exon 2-7 deletion	Deletion	Multi	3	1	1	1	1	0	1
1	17028599	17028737	SDHB	17358	Exon 2-7 deletion	Deletion	Multi	4	1	1	1	1	0	1
1	17033059	17033146	SDHB	17358	Exon 2-7 deletion	Deletion	Multi	5	1	1	1	1	0	1
1	17044760	17044889	SDHB	17358	Exon 2-7 deletion	Deletion	Multi	6	1	1	1	1	0	1
1	17053947	17054020	SDHB	17296	Exon 1 deletion	Deletion	Single	7	1	1	1	1	0	1
2	47386571	47386614	EPCAM	17366	Exon 9 duplication	Duplication	Single	8	1	1	1	1	0	1
2	47403191	47403403	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	9	1	1	1	1	0	1
2	47408400	47408556	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	10	1	1	1	1	0	1
2	47410093	47410373	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	11	1	1	1	1	0	1
2	47412413	47412561	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	12	1	0	1	1	0	1
2	47414268	47414419	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	13	0	0	1	1	0	0
2	47416295	47416430	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	14	1	1	1	1	0	1
2	47429741	47429942	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	15	1	1	1	1	0	1
2	47445547	47445658	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	16	1	1	1	1	0	1
2	47463030	47463155	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	17	1	0	1	1	0	1
2	47466657	47466809	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	18	1	1	1	1	0	1
2	47470964	47471063	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	19	1	1	1	1	0	1
2	47475024	47475271	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	20	1	1	1	1	0	1
2	47476366	47476572	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	21	1	1	1	1	0	1
2	47478271	47478520	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	22	1	1	1	1	0	1
2	47482778	47482950	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	23	1	1	1	1	0	1
2	47480695	47480872	MSH2	17366	Exon 1-16 duplication	Duplication	Multi	24	1	1	1	1	0	1
2	47403191	47403403	MSH2	17359	Exon 1-2 deletion	Deletion	Multi	25	1	1	1	1	0	1
2	47408400	47408556	MSH2	17359	Exon 1-2 deletion	Deletion	Multi	26	1	1	1	1	0	1
2	47412413	47412561	MSH2	17390	Exon 4-5 deletion	Deletion	Multi	27	1	1	1	1	0	1
2	47414268	47414419	MSH2	17390	Exon 4-5 deletion	Deletion	Multi	28	1	1	1	1	0	1
2	47429741	47429942	MSH2	17386	Exon 7 deletion	Deletion	Single	29	1	1	1	1	0	1
2	47445547	47445658	MSH2	17316	Exon 8 duplication	Duplication	Single	30	1	1	1	1	0	1
2	47445547	47445658	MSH2	17301	Exon 8 duplication	Duplication	Single	31	1	0	1	1	0	1
2	47463030	47463155	MSH2	17343	Exon 9-10 deletion	Deletion	Multi	32	1	1	1	1	0	1
2	47466657	47466809	MSH2	17343	Exon 9-10 deletion	Deletion	Multi	33	1	1	1	1	0	1
2	47463030	47463155	MSH2	17303	Exon 9-16 deletion	Deletion	Multi	34	1	1	1	1	0	1
2	47466657	47466809	MSH2	17303	Exon 9-16 deletion	Deletion	Multi	35	1	1	1	1	0	1
2	47470964	47471063	MSH2	17303	Exon 9-16 deletion	Deletion	Multi	36	1	1	1	1	0	1
2	47475024	47475271	MSH2	17303	Exon 9-16 deletion	Deletion	Multi	37	1	1	1	1	0	1
2	47476366	47476572	MSH2	17303	Exon 9-16 deletion	Deletion	Multi	38	1	1	1	1	0	1
2	47478271	47478520	MSH2	17303	Exon 9-16 deletion	Deletion	Multi	39	1	1	1	1	0	1
2	47482778	47482950	MSH2	17303	Exon 9-16 deletion	Deletion	Multi	40	1	1	1	1	0	1
2	47480695	47480872	MSH2	17303	Exon 9-16 deletion	Deletion	Multi	41	1	1	1	1	0	1
2	47783233	47783494	MSH6	17318	Exon 1-8 deletion	Deletion	Multi	42	1	1	1	1	1	1
2	47790926	47791124	MSH6	17318	Exon 1-8 deletion	Deletion	Multi	43	1	1	1	1	1	1
2	47795893	47796064	MSH6	17318	Exon 1-8 deletion	Deletion	Multi	44	1	1	1	1	1	1
2	47798610	47801156	MSH6	17318	Exon 1-8 deletion	Deletion	Multi	45	1	1	1	1	1	1
2	47803419	47803686	MSH6	17318	Exon 1-8 deletion	Deletion	Multi	46	1	1	1	1	1	1
2	47804909	47805028	MSH6	17318	Exon 1-8 deletion	Deletion	Multi	47	1	1	1	1	1	1
2	47805617	47805708	MSH6	17318	Exon 1-8 deletion	Deletion	Multi	48	1	1	1	1	1	1
2	47806203	47806359	MSH6	17318	Exon 1-8 deletion	Deletion	Multi	49	1	1	1	1	1	1
2	47803419	47803686	MSH6	17385	Exon 5-6 deletion	Deletion	Multi	50	1	1	1	1	1	1
2	47804909	47805028	MSH6	17385	Exon 5-6 deletion	Deletion	Multi	51	1	1	1	1	1	1
3	36993547	36993664	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	52	1	0	1	1	0	1
3	36996618	36996710	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	53	1	1	1	1	0	1
3	37000954	37001054	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	54	1	1	1	1	0	1
3	37004400	37004475	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	55	1	1	1	1	0	1
3	37006990	37007064	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	56	1	0	1	1	0	1
3	37008813	37008906	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	57	1	1	1	1	0	1
3	37011819	37011863	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	58	1	1	1	1	0	1
3	37012010	37012100	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	59	1	1	1	1	0	1
3	37014431	37014545	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	60	1	1	1	1	0	1
3	37017505	37017600	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	61	1	1	1	1	0	1
3	37020309	37020464	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	62	1	1	1	1	0	1
3	37025636	37026008	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	63	1	1	1	1	0	1
3	37028783	37028933	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	64	1	1	1	1	0	1
3	37040185	37040295	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	65	1	1	1	1	0	1
3	37042267	37042332	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	66	1	1	1	1	0	1
3	37047518	37047684	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	67	1	1	1	1	0	1
3	37048516	37048610	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	68	1	1	1	1	0	1
3	37048903	37049018	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	69	1	1	1	1	0	1
3	37050485	37050654	MLH1	17337	Exon 1-19 duplication	Duplication	Multi	70	1	0	1	1	0	1
7	5973398	5973543	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	71	1	0	0	0	0	0
7	5977587	5977758	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	72	1	0	1	1	0	0
7	5978595	5978697	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	73	1	1	1	1	0	0
7	5982823	5982992	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	74	1	0	1	1	0	1
7	5986758	5987621	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	75	1	1	1	1	0	1
7	5989799	5989956	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	76	1	1	1	1	0	1
7	5991972	5992058	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	77	1	1	1	1	0	1
7	5995533	5995634	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	78	1	1	1	1	0	1
7	5997325	5997424	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	79	1	1	1	1	0	1
7	5999107	5999276	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	80	1	1	1	1	0	1
7	6002452	6002637	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	81	1	1	1	1	0	1
7	6003689	6003793	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	82	1	1	1	1	0	1
7	6003971	6004059	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	83	1	1	1	1	0	1
7	6005891	6006032	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	84	1	1	1	1	0	1
7	6008996	6009020	PMS2	17390	Exon 1-15 duplication	Duplication	Multi	85	1	0	1	1	0	1
7	5986758	5987621	PMS2	17319	Exon 11 duplication	Duplication	Single	86	1	1	1	1	0	1
7	5989799	5989956	PMS2	17341	Exon 9-10 deletion	Deletion	Multi	87	1	1	1	1	0	1
