Sample	Gene	Chr	Start	End	log2	CN	CNV.type	Weight
17296	SDHB	1	17053947	17054020	-0.72317	1	deletion	0.971015
17296	MUTYH	1	45331419	45331557	0.523366	3	duplication	0.80009
17296	EPCAM	2	47369505	47369582	-1.23125	0	deletion	0.851037
17296	MSH6	2	47783233	47783494	-0.475018	1	deletion	0.941345
17296	VHL	3	10141847	10142188	-0.871095	1	deletion	0.961411
17296	BAP1	3	52406828	52406908	0.614857	3	duplication	0.960652
17296	BMPR1A	10	86756627	86756931	-0.657494	1	deletion	0.84323
17296	MEN1	11	64809649	64810110	-0.434061	1	deletion	0.992026
17296	HNF1A	12	120994163	120994406	0.488764	3	duplication	0.982898
17296	HNF1A	12	120999482	120999628	0.530136	3	duplication	0.950412
17296	BRCA2	13	32315462	32315679	-0.501959	1	deletion	0.95087
17296	CDH1	16	68737415	68737464	-0.674486	1	deletion	0.905429
17296	CDH1	16	68738296	68738412	0.380329	3	duplication	0.980492
17296	NF1	17	31095309	31095370	-1.46261	0	deletion	0.96029
17296	STK11	19	1218416	1218501	-0.406008	1	deletion	0.976305
17296	STK11	19	1227581	1228447	-0.563086	1	deletion	0.973028
17297	MUTYH	1	45340218	45340255	0.342317	3	duplication	0.93398
17297	HNF1A	12	120993519	120993707	-0.511696	1	deletion	0.782334
17297	NF1	17	31181709	31181786	0.31143	3	duplication	0.977132
17297	BRCA1	17	43125259	43125382	0.319804	3	duplication	0.969278
17298	MUTYH	1	45331419	45331557	-0.855052	1	deletion	0.798458
17298	MUTYH	1	45333096	45333171	-0.448579	1	deletion	0.973906
17298	EPCAM	2	47369505	47369582	0.794209	4	duplication	0.848851
17298	MSH6	2	47804909	47805028	0.354789	3	duplication	0.983596
17298	MLH1	3	37040185	37040295	0.362207	3	duplication	0.969855
17298	BAP1	3	52409841	52409879	0.327969	3	duplication	0.968356
17298	APC	5	112737876	112737937	0.485016	3	duplication	0.969021
17298	PMS2	7	6008996	6009020	0.366609	3	duplication	0.94911
17298	BMPR1A	10	86756627	86756931	0.494949	3	duplication	0.84213
17298	PTEN	10	87864469	87864549	0.308901	3	duplication	0.98083
17298	MEN1	11	64807178	64807220	-0.462301	1	deletion	0.926763
17298	HNF1A	12	120993519	120993707	-1.09156	1	deletion	0.781007
17298	BRCA2	13	32376669	32376792	0.415206	3	duplication	0.9883
17298	BRCA2	13	32379316	32379516	-0.438431	1	deletion	0.941714
17298	RB1	13	48477354	48477405	0.349586	3	duplication	0.926683
17298	PALB2	16	23641109	23641158	0.300447	3	duplication	0.965555
17298	CDH1	16	68737415	68737464	0.338987	3	duplication	0.90269
17298	CDH1	16	68828173	68828305	0.309924	3	duplication	0.98747
17298	FLCN	17	17231782	17231894	0.353997	3	duplication	0.982715
17298	NF1	17	31232072	31232190	0.520669	3	duplication	0.972293
17298	NF1	17	31358968	31359016	0.429113	3	duplication	0.945443
17298	RAD51D	17	35101200	35101366	-0.457832	1	deletion	0.976797
17298	BRCA1	17	43091434	43094861	-0.43019	1	deletion	0.961997
17298	BRCA1	17	43115725	43115780	0.303153	3	duplication	0.966905
17298	BRCA1	17	43125259	43125382	0.424688	3	duplication	0.967638
17298	RAD51C	17	58720745	58720813	0.322752	3	duplication	0.976232
17298	BRIP1	17	61863272	61863406	0.423631	3	duplication	0.965823
17298	CHEK2	22	28741757	28741856	0.44261	3	duplication	0.952362
17299	EPCAM	2	47369505	47369582	0.339198	3	duplication	0.850624
17299	PMS2	7	5977587	5977758	0.371167	3	duplication	0.884712
17299	PMS2	7	5978595	5978697	0.437268	3	duplication	0.859095
17299	PMS2	7	6008996	6009020	0.429408	3	duplication	0.952285
17299	BMPR1A	10	86756627	86756931	0.358018	3	duplication	0.843023
17299	CDH1	16	68737415	68737464	0.340877	3	duplication	0.904912
17299	SMAD4	18	51059865	51059917	0.352324	3	duplication	0.942738
17300	PTEN	10	87925512	87925558	0.346438	3	duplication	0.974754
17301	MSH2	2	47445547	47445658	0.516737	3	duplication	0.986563
17301	MSH6	2	47783233	47783494	-0.417749	1	deletion	0.941686
17301	VHL	3	10141847	10142188	-0.563326	1	deletion	0.96171
17301	BMPR1A	10	86756627	86756931	-0.640605	1	deletion	0.843547
17301	CDH1	16	68737415	68737464	-0.747386	1	deletion	0.906218
17301	NF1	17	31095309	31095370	-0.900526	1	deletion	0.960998
17301	BRCA1	17	43082403	43082576	0.307018	3	duplication	0.989263
17302	MUTYH	1	45331419	45331557	-0.483287	1	deletion	0.799095
17302	MUTYH	1	45340218	45340255	0.483295	3	duplication	0.93222
17302	VHL	3	10141847	10142188	-0.672158	1	deletion	0.960778
17302	MLH1	3	37012010	37012100	0.310625	3	duplication	0.982275
17302	APC	5	112821895	112821992	0.315501	3	duplication	0.980517
17302	HNF1A	12	120993519	120993707	-1.25869	0	deletion	0.781553
17302	RB1	13	48380052	48380085	0.337013	3	duplication	0.92936
17302	RB1	13	48477354	48477405	0.52895	3	duplication	0.927732
17302	NF1	17	31095309	31095370	-1.3256	0	deletion	0.958794
17302	NF1	17	31232072	31232190	0.394913	3	duplication	0.972982
17302	RAD51D	17	35119110	35119173	0.319137	3	duplication	0.985189
17302	BRCA1	17	43045677	43045803	0.332783	3	duplication	0.964833
17302	BRCA1	17	43104121	43104262	-0.577944	1	deletion	0.987876
17302	BRCA1	17	43104867	43104957	-0.770037	1	deletion	0.988354
17302	BRCA1	17	43106455	43106534	-0.741107	1	deletion	0.982688
17302	RAD51C	17	58732483	58732545	0.345413	3	duplication	0.979099
17302	SMAD4	18	51059865	51059917	0.308969	3	duplication	0.941619
17302	CHEK2	22	28741757	28741856	0.394984	3	duplication	0.953114
17303	SDHB	1	17053947	17054020	0.327608	3	duplication	0.971067
17303	EPCAM	2	47369505	47369582	-0.428036	1	deletion	0.851088
17303	MSH2	2	47463030	47463155	-1.0433	1	deletion	0.994022
17303	MSH2	2	47466657	47466809	-1.04704	1	deletion	0.995219
17303	MSH2	2	47470964	47471063	-0.963399	1	deletion	0.976012
17303	MSH2	2	47475024	47475271	-1.09225	1	deletion	0.990871
17303	MSH2	2	47476366	47476572	-0.979585	1	deletion	0.993708
17303	MSH2	2	47478271	47478520	-1.12189	0	deletion	0.968257
17303	MSH2	2	47480695	47480872	-1.06793	1	deletion	0.994351
