Sample	Gene	Chr	Start	End	log2	CN	CNV.type
17296	SDHB	1	17053947	17054020	-0.735981	1	deletion
17296	MUTYH	1	45331419	45331557	0.291003	3	duplication
17296	MUTYH	1	45331660	45331850	0.336444	3	duplication
17296	MUTYH	1	45332165	45332311	0.243823	3	duplication
17296	MUTYH	1	45333096	45333171	0.261038	3	duplication
17296	FH	1	241508602	241508786	0.23141	3	duplication
17296	FH	1	241517181	241517317	0.205146	3	duplication
17296	FH	1	241519590	241519723	-1.02301	1	deletion
17296	EPCAM	2	47369505	47369582	-1.17179	0	deletion
17296	MSH6	2	47783233	47783494	-0.567973	1	deletion
17296	VHL	3	10141847	10142188	-0.957879	1	deletion
17296	BAP1	3	52406828	52406908	0.551918	3	duplication
17296	NSD1	5	177273671	177273785	-0.375817	1	deletion
17296	PMS2	7	5977587	5977758	-0.354707	1	deletion
17296	EZH2	7	148816683	148816779	0.287223	3	duplication
17296	BMPR1A	10	86756627	86756931	-0.684122	1	deletion
17296	WT1	11	32399947	32400045	0.246571	3	duplication
17296	WT1	11	32427955	32428059	0.513403	3	duplication
17296	MEN1	11	64809649	64810110	-0.382387	1	deletion
17296	SDHD	11	112086907	112086960	-0.282288	1	deletion
17296	HNF1A	12	120994163	120994406	0.206593	3	duplication
17296	HNF1A	12	120999267	120999390	0.207675	3	duplication
17296	HNF1A	12	120999482	120999628	0.524573	3	duplication
17296	HNF1A	12	121001064	121001193	0.238379	3	duplication
17296	BRCA2	13	32315462	32315679	-0.436301	1	deletion
17296	RB1	13	48376917	48377035	0.207469	3	duplication
17296	PALB2	16	23624008	23624095	0.222063	3	duplication
17296	PALB2	16	23641109	23641158	-0.352638	1	deletion
17296	CDH1	16	68737415	68737464	-0.711292	1	deletion
17296	CDH1	16	68738296	68738412	0.347049	3	duplication
17296	CDH1	16	68812134	68812264	0.248456	3	duplication
17296	TP53	17	7676381	7676404	-0.267153	1	deletion
17296	FLCN	17	17216379	17216504	0.330448	3	duplication
17296	NF1	17	31095309	31095370	-1.44674	0	deletion
17296	RAD51D	17	35119110	35119173	-0.255088	1	deletion
17296	BRCA1	17	43049120	43049195	0.214937	3	duplication
17296	BRCA1	17	43095845	43095923	-0.326123	1	deletion
17296	BRCA1	17	43124016	43124097	0.204745	3	duplication
17296	BRCA1	17	43125259	43125382	-0.366147	1	deletion
17296	RAD51C	17	58692643	58692789	-0.250433	1	deletion
17296	STK11	19	1206913	1207204	-0.305062	1	deletion
17296	STK11	19	1218416	1218501	-0.381724	1	deletion
17296	STK11	19	1220580	1220718	-0.433315	1	deletion
17296	STK11	19	1221948	1222007	-0.305173	1	deletion
17296	STK11	19	1227581	1228447	-0.516678	1	deletion
17296	CHEK2	22	28695126	28695243	0.258604	3	duplication
17296	CHEK2	22	28734402	28734722	0.238666	3	duplication
17296	CHEK2	22	28741757	28741856	-0.268041	1	deletion
17298	SDHB	1	17033059	17033146	0.214896	3	duplication
17298	MUTYH	1	45331419	45331557	-0.885425	1	deletion
17298	MUTYH	1	45332390	45332489	-0.340401	1	deletion
17298	MUTYH	1	45333096	45333171	-0.39262	1	deletion
17298	EPCAM	2	47369505	47369582	0.864335	4	duplication
17298	EPCAM	2	47377013	47377078	0.211764	3	duplication
17298	EPCAM	2	47379768	47379970	-0.365178	1	deletion
17298	EPCAM	2	47386571	47386614	0.209645	3	duplication
17298	MSH2	2	47414268	47414419	0.287223	3	duplication
17298	MSH2	2	47478271	47478520	-0.316042	1	deletion
17298	MSH6	2	47804909	47805028	0.345085	3	duplication
17298	MLH1	3	37000954	37001054	0.299027	3	duplication
17298	MLH1	3	37040185	37040295	0.331812	3	duplication
17298	BAP1	3	52402287	52402422	0.248289	3	duplication
17298	BAP1	3	52403137	52403299	0.251311	3	duplication
17298	BAP1	3	52404452	52404587	0.266865	3	duplication
17298	BAP1	3	52409841	52409879	0.343705	3	duplication
17298	APC	5	112737876	112737937	0.497986	3	duplication
17298	APC	5	112821895	112821992	0.280986	3	duplication
17298	APC	5	112827928	112828007	0.216074	3	duplication
17298	NSD1	5	177204119	177204293	0.201514	3	duplication
17298	NSD1	5	177238236	177238508	0.224681	3	duplication
17298	NSD1	5	177244194	177244271	0.277922	3	duplication
17298	NSD1	5	177248180	177248325	0.310898	3	duplication
17298	NSD1	5	177251729	177251854	0.274223	3	duplication
17298	NSD1	5	177273671	177273785	0.291195	3	duplication
17298	PMS2	7	5991972	5992058	0.284244	3	duplication
17298	PMS2	7	5995533	5995634	0.207094	3	duplication
17298	PMS2	7	6008996	6009020	0.436175	3	duplication
17298	EZH2	7	148807645	148807707	0.326439	3	duplication
17298	EZH2	7	148809309	148809391	0.335671	3	duplication
17298	EZH2	7	148815505	148815547	0.335969	3	duplication
17298	EZH2	7	148817876	148818118	-0.362775	1	deletion
17298	EZH2	7	148846469	148846599	0.258007	3	duplication
17298	EZH2	7	148847181	148847299	0.431615	3	duplication
17298	BMPR1A	10	86756627	86756931	0.47066	3	duplication
17298	BMPR1A	10	86900026	86900127	0.268334	3	duplication
17298	BMPR1A	10	86923375	86923507	-0.315508	1	deletion
17298	PTEN	10	87864469	87864549	0.361138	3	duplication
17298	WT1	11	32389057	32389180	0.230123	3	duplication
17298	WT1	11	32427955	32428059	-0.642375	1	deletion
17298	MEN1	11	64807178	64807220	-0.460475	1	deletion
17298	AIP	11	67483033	67483257	0.276632	3	duplication
17298	ATM	11	108227624	108227697	-0.257076	1	deletion
17298	ATM	11	108227775	108227889	0.278736	3	duplication
17298	ATM	11	108229177	108229324	0.295305	3	duplication
17298	ATM	11	108250700	108251073	-0.29094	1	deletion
17298	ATM	11	108279490	108279609	0.265413	3	duplication
17298	ATM	11	108284226	108284474	-0.258957	1	deletion
17298	ATM	11	108288976	108289104	0.258071	3	duplication
17298	ATM	11	108304674	108304853	0.201953	3	duplication
17298	ATM	11	108319953	108320059	-0.284095	1	deletion
17298	ATM	11	108365081	108365219	-0.265301	1	deletion
17298	SDHD	11	112088866	112089012	-0.314711	1	deletion
17298	HNF1A	12	120993519	120993707	-1.08293	1	deletion
17298	BRCA2	13	32316460	32316528	0.213839	3	duplication
17298	BRCA2	13	32326100	32326151	-0.261438	1	deletion
17298	BRCA2	13	32330918	32331031	0.245304	3	duplication
17298	BRCA2	13	32376669	32376792	0.432584	3	duplication
17298	BRCA2	13	32379316	32379516	-0.476045	1	deletion
17298	BRCA2	13	32380006	32380146	0.295123	3	duplication
17298	RB1	13	48347824	48347864	0.230515	3	duplication
17298	RB1	13	48348955	48349024	0.232874	3	duplication
17298	RB1	13	48376917	48377035	-0.268059	1	deletion
17298	RB1	13	48380052	48380085	0.363394	3	duplication
