SampleID	Chr	Start	End	Gene
17296	13	48303912	48304050	RB1
17298	13	48303912	48304050	RB1
17299	13	48303912	48304050	RB1
17300	13	48303912	48304050	RB1
17301	13	48303912	48304050	RB1
17304	13	48303912	48304050	RB1
17305	13	48303912	48304050	RB1
17306	13	48303912	48304050	RB1
17308	13	48303912	48304050	RB1
17309	13	48303912	48304050	RB1
17310	13	48303912	48304050	RB1
17311	13	48303912	48304050	RB1
17312	13	48303912	48304050	RB1
17313	13	48303912	48304050	RB1
17314	13	48303912	48304050	RB1
17315	13	48303912	48304050	RB1
17316	13	48303912	48304050	RB1
17317	13	48303912	48304050	RB1
17319	13	48303912	48304050	RB1
17320	13	48303912	48304050	RB1
17326	13	48303912	48304050	RB1
17327	13	48303912	48304050	RB1
17328	13	48303912	48304050	RB1
17329	13	48303912	48304050	RB1
17330	13	48303912	48304050	RB1
17333	13	48303912	48304050	RB1
17339	13	48303912	48304050	RB1
17356	13	48303912	48304050	RB1
17360	13	48303912	48304050	RB1
17361	13	48303912	48304050	RB1
17362	13	48303912	48304050	RB1
17364	13	48303912	48304050	RB1
17365	13	48303912	48304050	RB1
17367	13	48303912	48304050	RB1
17368	13	48303912	48304050	RB1
17369	13	48303912	48304050	RB1
17370	13	48303912	48304050	RB1
17371	13	48303912	48304050	RB1
17373	13	48303912	48304050	RB1
17374	13	48303912	48304050	RB1
17376	13	48303912	48304050	RB1
17382	13	48303912	48304050	RB1
17384	13	48303912	48304050	RB1
17386	13	48303912	48304050	RB1
17387	13	48303912	48304050	RB1
17389	13	48303912	48304050	RB1
17391	13	48303912	48304050	RB1
17392	13	48303912	48304050	RB1
17397	13	48303912	48304050	RB1
17398	13	48303912	48304050	RB1
17399	13	48303912	48304050	RB1
17401	13	48303912	48304050	RB1
17402	13	48303912	48304050	RB1
17403	13	48303912	48304050	RB1
