CNV.ID	Sample	Correlation	N.comp	Start.b	End.b	CNV.type	N.exons	Start	End	Chromosome	Genomic.ID	BF	Reads.expected	Reads.observed	Reads.ratio	Gene
1	17296	0.99830762500623	2	8	8	deletion	1	17053948	17054020	1	chr1:17053948-17054020	10.8	532	284	0.534	SDHB
2	17296	0.99830762500623	2	34	34	deletion	1	241519591	241519723	1	chr1:241519591-241519723	9.54	888	515	0.58	FH
3	17296	0.99830762500623	2	35	35	deletion	1	47369506	47369582	2	chr2:47369506-47369582	4.42	69	34	0.493	EPCAM
4	17296	0.99830762500623	2	70	70	deletion	1	10141848	10142188	3	chr3:10141848-10142188	7.85	1239	769	0.621	VHL
5	17296	0.99830762500623	2	334	334	deletion	1	48303913	48304050	13	chr13:48303913-48304050	3.59	177	114	0.644	RB1
6	17296	0.99830762500623	2	415	415	deletion	1	31095310	31095370	17	chr17:31095310-31095370	7.6	203	107	0.527	NF1
7	17296	0.99830762500623	2	551	551	deletion	1	1220581	1220718	19	chr19:1220581-1220718	2.62	726	524	0.722	STK11
8	17298	0.998977297971921	3	148	148	duplication	1	5973399	5973543	7	chr7:5973399-5973543	8.06	157	259	1.65	PMS2
9	17299	0.998060492689304	6	148	148	duplication	1	5973399	5973543	7	chr7:5973399-5973543	11.1	277	452	1.63	PMS2
10	17299	0.998060492689304	6	334	334	deletion	1	48303913	48304050	13	chr13:48303913-48304050	3.21	658	472	0.717	RB1
11	17300	0.99937122191645	11	334	334	deletion	1	48303913	48304050	13	chr13:48303913-48304050	15.1	468	268	0.573	RB1
12	17301	0.998943476737231	4	34	34	deletion	1	241519591	241519723	1	chr1:241519591-241519723	4.84	1916	1417	0.74	FH
13	17301	0.998943476737231	4	51	51	duplication	1	47445548	47445658	2	chr2:47445548-47445658	8.38	3689	4771	1.29	MSH2
14	17301	0.998943476737231	4	70	70	deletion	1	10141848	10142188	3	chr3:10141848-10142188	7.59	2734	1959	0.717	VHL
15	17301	0.998943476737231	4	182	182	deletion	1	86756628	86756931	10	chr10:86756628-86756931	2.45	502	374	0.745	BMPR1A
16	17301	0.998943476737231	4	334	334	deletion	1	48303913	48304050	13	chr13:48303913-48304050	4.32	396	280	0.707	RB1
17	17301	0.998943476737231	4	374	374	deletion	1	68737416	68737464	16	chr16:68737416-68737464	9.37	485	311	0.641	CDH1
18	17301	0.998943476737231	4	415	415	deletion	1	31095310	31095370	17	chr17:31095310-31095370	7.92	492	326	0.663	NF1
19	17304	0.999306525283702	9	34	34	deletion	1	241519591	241519723	1	chr1:241519591-241519723	2.85	1499	1099	0.733	FH
20	17304	0.999306525283702	9	148	148	deletion	1	5973399	5973543	7	chr7:5973399-5973543	36.7	188	3	0.016	PMS2
21	17304	0.999306525283702	9	361	361	deletion	1	23603459	23603670	16	chr16:23603459-23603670	21.9	2120	1140	0.538	PALB2
22	17304	0.999306525283702	9	415	415	deletion	1	31095310	31095370	17	chr17:31095310-31095370	10.6	390	220	0.564	NF1
23	17305	0.999009532012728	7	148	148	deletion	1	5973399	5973543	7	chr7:5973399-5973543	9.47	231	129	0.558	PMS2
24	17305	0.999009532012728	7	309	309	deletion	1	32319077	32319326	13	chr13:32319077-32319326	27.8	3691	2123	0.575	BRCA2
25	17306	0.999481528075509	10	487	487	deletion	1	43057052	43057136	17	chr17:43057052-43057136	26.7	798	414	0.519	BRCA1
26	17308	0.999701615218347	7	148	148	deletion	1	5973399	5973543	7	chr7:5973399-5973543	58.9	287	6	0.0209	PMS2
27	17309	0.999376275882827	3	148	150	duplication	3	5973399	5978697	7	chr7:5973399-5978697	20.2	6180	7544	1.22	PMS2
28	17309	0.999376275882827	3	334	334	duplication	1	48303913	48304050	13	chr13:48303913-48304050	6.51	578	735	1.27	RB1
29	17310	0.999540761783827	18	148	148	duplication	1	5973399	5973543	7	chr7:5973399-5973543	5.63	280	389	1.39	PMS2
30	17310	0.999540761783827	18	334	334	deletion	1	48303913	48304050	13	chr13:48303913-48304050	9.01	691	453	0.656	RB1
31	17311	0.99926811172395	4	374	374	deletion	1	68737416	68737464	16	chr16:68737416-68737464	3.2	519	384	0.74	CDH1
32	17312	0.999469928712898	5	148	148	deletion	1	5973399	5973543	7	chr7:5973399-5973543	12.5	236	126	0.534	PMS2
33	17313	0.999479745478577	10	148	148	duplication	1	5973399	5973543	7	chr7:5973399-5973543	7.58	241	347	1.44	PMS2
34	17313	0.999479745478577	10	374	374	duplication	1	68737416	68737464	16	chr16:68737416-68737464	3.9	585	747	1.28	CDH1
35	17316	0.999328925924551	4	51	51	duplication	1	47445548	47445658	2	chr2:47445548-47445658	19.4	3727	5038	1.35	MSH2
36	17317	0.999431391490487	10	503	503	deletion	1	43115726	43115780	17	chr17:43115726-43115780	28.4	1084	549	0.506	BRCA1
37	17319	0.998895821402286	7	148	148	duplication	1	5973399	5973543	7	chr7:5973399-5973543	4.32	435	557	1.28	PMS2
38	17319	0.998895821402286	7	151	152	duplication	2	5982824	5987621	7	chr7:5982824-5987621	34.5	7558	10384	1.37	PMS2
39	17320	0.999473585439976	4	483	483	deletion	1	43045678	43045803	17	chr17:43045678-43045803	27.6	1026	586	0.571	BRCA1
