CHR	START	STOP	GENE	NUMBER_OF_TARGETS	NUMBER_OF_TARGETS_PASS_SHAPIRO.WILK_TEST	ABBERATION	CNV.type
1	17022607	17022731	SDHB	1	1	DUP	duplication
1	17027748	17027866	SDHB	1	1	DUP	duplication
1	45331181	45331335	MUTYH	1	1	HOM_DUP	
1	45332917	45333604	MUTYH	4	2	HOM_DUP	
1	45329305	45340255	MUTYH	16	13	DUP	duplication
2	47403191	47403403	MSH2	1	1	DUP	duplication
2	47403191	47403403	MSH2	1	1	HOM_DUP	
2	47445547	47463155	MSH2	2	2	DEL	deletion
2	47476366	47476572	MSH2	1	1	DEL	deletion
2	47482778	47482950	MSH2	1	1	DEL	deletion
2	47798610	47801156	MSH6	1	1	DEL	deletion
2	47806203	47806861	MSH6	3	3	DEL	deletion
3	10141847	10146637	VHL	2	1	DUP	duplication
3	36993547	36993664	MLH1	1	1	DUP	duplication
3	37020309	37020464	MLH1	1	1	DUP	duplication
3	52402778	52402872	BAP1	1	1	HOM_DUP	
3	52402287	52409879	BAP1	17	17	DUP	duplication
5	112737876	112737937	APC	1	1	DUP	duplication
5	112754890	112780904	APC	5	5	DEL	deletion
5	112801278	112828973	APC	7	6	DEL	deletion
5	112837552	112844127	APC	1	0	DEL	deletion
7	5973398	5973543	PMS2	1	1	DUP	duplication
7	5973398	5973543	PMS2	1	1	HOM_DUP	
7	5978595	5992058	PMS2	5	2	DUP	duplication
7	5999107	5999276	PMS2	1	1	DUP	duplication
7	5999107	5999276	PMS2	1	1	HOM_DUP	
7	6008996	6009020	PMS2	1	1	DUP	duplication
10	86890061	86890225	BMPR1A	1	0	DEL	deletion
10	86912239	86912385	BMPR1A	1	1	DEL	deletion
10	86921519	86923720	BMPR1A	3	3	DEL	deletion
10	87894024	87965473	PTEN	8	8	DEL	deletion
11	64806231	64807099	MEN1	2	1	HOM_DUP	
11	64804333	64810728	MEN1	10	9	DUP	duplication
11	67487005	67489455	AIP	2	2	HOM_DUP	
11	67490315	67490457	AIP	1	1	HOM_DUP	
11	67483033	67491108	AIP	6	6	DUP	duplication
11	108222820	108223198	ATM	1	1	DUP	duplication
11	108227624	108257607	ATM	14	13	DEL	deletion
11	108272531	108297383	ATM	13	12	DEL	deletion
11	108301647	108316114	ATM	8	7	DEL	deletion
11	108319953	108326226	ATM	4	4	DEL	deletion
11	108330213	108330422	ATM	1	1	DEL	deletion
11	108333885	108365219	ATM	9	7	DEL	deletion
12	120978768	120989033	HNF1A	2	2	DUP	duplication
12	120996540	120999390	HNF1A	3	3	HOM_DUP	
12	120994163	121001193	HNF1A	7	7	DUP	duplication
12	132673652	132673676	POLE_L424V	1	1	DUP	duplication
12	132673652	132673676	POLE_L424V	1	1	HOM_DUP	
13	32329442	32355289	BRCA2	7	7	DEL	deletion
13	32362522	32363534	BRCA2	2	2	DEL	deletion
13	32379316	32379516	BRCA2	1	1	DEL	deletion
13	32394688	32394934	BRCA2	1	1	DEL	deletion
13	32398161	32398771	BRCA2	1	1	DEL	deletion
13	48307279	48364972	RB1	8	7	DEL	deletion
13	48373404	48373493	RB1	1	0	DEL	deletion
13	48379593	48379651	RB1	1	1	DUP	duplication
13	48381246	48453112	RB1	2	2	DEL	deletion
13	48463730	48463836	RB1	1	0	DEL	deletion
13	48473359	48480072	RB1	4	4	DEL	deletion
16	23626235	23626398	PALB2	1	1	DUP	duplication
16	23634861	23636335	PALB2	1	0	DEL	deletion
16	23641109	23641158	PALB2	1	0	DUP	duplication
16	68808423	68808568	CDH1	1	1	DEL	deletion
16	68810196	68811860	CDH1	2	1	DUP	duplication
16	68813312	68813496	CDH1	1	1	DUP	duplication
16	68823398	68823627	CDH1	1	1	DUP	duplication
16	68829653	68833500	CDH1	2	2	DUP	duplication
17	7674180	7674291	TP53	1	1	HOM_DUP	
17	7669608	7687550	TP53	11	10	DUP	duplication
17	17213654	17213857	FLCN	1	1	HOM_DUP	
17	17215184	17219210	FLCN	4	4	HOM_DUP	
17	17223921	17224144	FLCN	1	1	HOM_DUP	
17	17227888	17228138	FLCN	1	1	HOM_DUP	
17	17213654	17237151	FLCN	14	13	DUP	duplication
17	31155982	31265340	NF1	35	33	DEL	deletion
17	31330295	31330499	NF1	1	1	DEL	deletion
17	31336332	31350319	NF1	10	9	DEL	deletion
17	31356459	31374156	NF1	7	6	DEL	deletion
