CHR	START	STOP	GENE	REGION_COV	AVG_AUTOSOMAL_COV	AVG_TOTAL_COV	AVG_GENE_COV	NORMALIZED_AUTOSOMAL	NORMALIZED_TOTAL	NORMALIZED_GENE
1	17018880	17018959	SDHB	1403	1557.17073555166	1557.17073555166	1097.7825	0.900993043324151	0.900993043324151	1.27803093964424
1	17022607	17022731	SDHB	570.312	1557.17073555166	1557.17073555166	1097.7825	0.366248855683737	0.366248855683737	0.519512745010965
1	17023972	17024075	SDHB	1213	1557.17073555166	1557.17073555166	1097.7825	0.778976879224658	0.778976879224658	1.10495476107517
1	17027748	17027866	SDHB	1358.6	1557.17073555166	1557.17073555166	1097.7825	0.872479792345112	0.872479792345112	1.23758576949441
1	17028599	17028737	SDHB	1642.88	1557.17073555166	1557.17073555166	1097.7825	1.05504166145145	1.05504166145145	1.49654416972397
1	17033059	17033146	SDHB	1134.43	1557.17073555166	1557.17073555166	1097.7825	0.728519984417831	0.728519984417831	1.03338320660058
1	17044760	17044889	SDHB	808.146	1557.17073555166	1557.17073555166	1097.7825	0.518983552380784	0.518983552380784	0.736162217925682
1	17053947	17054020	SDHB	651.892	1557.17073555166	1557.17073555166	1097.7825	0.418638743406035	0.418638743406035	0.59382619052499
1	45329305	45329438	MUTYH	976.836	1557.17073555166	1557.17073555166	1113.5978125	0.627314640391012	0.627314640391012	0.877189223106524
1	45330515	45330558	MUTYH	1236.09	1557.17073555166	1557.17073555166	1113.5978125	0.793805054114433	0.793805054114433	1.10999679249101
1	45331181	45331335	MUTYH	2011.65	1557.17073555166	1557.17073555166	1113.5978125	1.29186219216182	1.29186219216182	1.80644212607054
1	45331419	45331557	MUTYH	325.252	1557.17073555166	1557.17073555166	1113.5978125	0.208873691608886	0.208873691608886	0.292073131205078
1	45331660	45331850	MUTYH	661.257	1557.17073555166	1557.17073555166	1113.5978125	0.424652855915466	0.424652855915466	0.593802351780392
1	45332022	45332087	MUTYH	849.636	1557.17073555166	1557.17073555166	1113.5978125	0.545628029478089	0.545628029478089	0.76296486079888
1	45332165	45332311	MUTYH	930.524	1557.17073555166	1557.17073555166	1113.5978125	0.59757352148693	0.59757352148693	0.835601497735521
1	45332390	45332489	MUTYH	692.61	1557.17073555166	1557.17073555166	1113.5978125	0.444787449562894	0.444787449562894	0.621957040706741
1	45332573	45332688	MUTYH	1142.74	1557.17073555166	1557.17073555166	1113.5978125	0.73385658612134	0.73385658612134	1.02616940081319
1	45332762	45332835	MUTYH	1333.15	1557.17073555166	1557.17073555166	1113.5978125	0.856136048259153	0.856136048259153	1.19715572806946
1	45332917	45332960	MUTYH	978	1557.17073555166	1557.17073555166	1113.5978125	0.628062149943706	0.628062149943706	0.878234483780472
1	45333096	45333171	MUTYH	1005.71	1557.17073555166	1557.17073555166	1113.5978125	0.645857244192111	0.645857244192111	0.903117794154252
1	45333284	45333325	MUTYH	1881.64	1557.17073555166	1557.17073555166	1113.5978125	1.2083710264009	1.2083710264009	1.689694411105
1	45333412	45333604	MUTYH	1521.28	1557.17073555166	1557.17073555166	1113.5978125	0.976951316427772	0.976951316427772	1.36609463751079
1	45334390	45334512	MUTYH	1168.35	1557.17073555166	1557.17073555166	1113.5978125	0.750303080661277	0.750303080661277	1.04916693162057
1	45340218	45340255	MUTYH	1102.84	1557.17073555166	1557.17073555166	1113.5978125	0.708233191660447	0.708233191660447	0.99033958905159
1	241497827	241497971	FH	1731.94	1557.17073555166	1557.17073555166	2020.501	1.11223513289724	1.11223513289724	0.857183441136629
1	241500436	241500591	FH	2024.77	1557.17073555166	1557.17073555166	2020.501	1.30028772938806	1.30028772938806	1.0021128423099
1	241502442	241502571	FH	2269.92	1557.17073555166	1557.17073555166	2020.501	1.45772069059327	1.45772069059327	1.12344413588511
1	241504041	241504246	FH	2611.38	1557.17073555166	1557.17073555166	2020.501	1.67700300319018	1.67700300319018	1.2924418250721
1	241506002	241506169	FH	2522.74	1557.17073555166	1557.17073555166	2020.501	1.62007925168608	1.62007925168608	1.24857151765824
1	241508602	241508786	FH	1638.99	1557.17073555166	1557.17073555166	2020.501	1.0525435410391	1.0525435410391	0.811179999415987
1	241511966	241512144	FH	2241.16	1557.17073555166	1557.17073555166	2020.501	1.43925129649063	1.43925129649063	1.10921004245977
1	241513602	241513714	FH	1511.83	1557.17073555166	1557.17073555166	2020.501	0.970882617739666	0.970882617739666	0.748245113464433
1	241517181	241517317	FH	1675.01	1557.17073555166	1557.17073555166	2020.501	1.07567523699101	1.07567523699101	0.829007261070398
1	241519590	241519723	FH	1977.27	1557.17073555166	1557.17073555166	2020.501	1.26978368836318	1.26978368836318	0.978603821527433
2	47369505	47369582	EPCAM	238.397	1557.17073555166	1557.17073555166	1096.40644444444	0.153096249856983	0.153096249856983	0.217434876644489
2	47373462	47373571	EPCAM	1251.12	1557.17073555166	1557.17073555166	1096.40644444444	0.803457174885041	0.803457174885041	1.14110967364293
2	47373807	47374049	EPCAM	736.63	1557.17073555166	1557.17073555166	1096.40644444444	0.473056668213734	0.473056668213734	0.671858509891608
2	47375233	47375300	EPCAM	1542.69	1557.17073555166	1557.17073555166	1096.40644444444	0.990700611550773	0.990700611550773	1.40704207624545
2	47377013	47377078	EPCAM	1744.8	1557.17073555166	1557.17073555166	1096.40644444444	1.12049370063577	1.12049370063577	1.59138064979552
2	47378952	47379055	EPCAM	1019.67	1557.17073555166	1557.17073555166	1096.40644444444	0.654822221301737	0.654822221301737	0.930010950926755
2	47379768	47379970	EPCAM	851.887	1557.17073555166	1557.17073555166	1096.40644444444	0.547073599927499	0.547073599927499	0.776981022244589
2	47385165	47385211	EPCAM	1704.85	1557.17073555166	1557.17073555166	1096.40644444444	1.094838196658	1.094838196658	1.55494343237271
2	47386571	47386614	EPCAM	777.614	1557.17073555166	1557.17073555166	1096.40644444444	0.499376197000332	0.499376197000332	0.709238808235956
2	47403191	47403403	MSH2	974.85	1557.17073555166	1557.17073555166	1672.681875	0.626039250381004	0.626039250381004	0.582806578208424
2	47408400	47408556	MSH2	1886.38	1557.17073555166	1557.17073555166	1672.681875	1.21141500860001	1.21141500860001	1.12775778119793
2	47410093	47410373	MSH2	1050.29	1557.17073555166	1557.17073555166	1672.681875	0.674486089431876	0.674486089431876	0.627907802253193
2	47412413	47412561	MSH2	1836.22	1557.17073555166	1557.17073555166	1672.681875	1.17920274127774	1.17920274127774	1.09777001080974
2	47414268	47414419	MSH2	1661.02	1557.17073555166	1557.17073555166	1672.681875	1.06669099417126	1.06669099417126	0.993028037683496
2	47416295	47416430	MSH2	2086.07	1557.17073555166	1557.17073555166	1672.681875	1.33965399706858	1.33965399706858	1.24714091255398
2	47429741	47429942	MSH2	1879.82	1557.17073555166	1557.17073555166	1672.681875	1.20720223998689	1.20720223998689	1.12383593562882
2	47445547	47445658	MSH2	2429.83	1557.17073555166	1557.17073555166	1672.681875	1.56041334744143	1.56041334744143	1.45265518585236
2	47463030	47463155	MSH2	1594.63	1557.17073555166	1557.17073555166	1672.681875	1.02405597767355	1.02405597767355	0.953337286565624
2	47466657	47466809	MSH2	1769.59	1557.17073555166	1557.17073555166	1672.681875	1.13641359909906	1.13641359909906	1.0579357775369
2	47470964	47471063	MSH2	1122.08	1557.17073555166	1557.17073555166	1672.681875	0.720588933751364	0.720588933751364	0.670826901857832
2	47475024	47475271	MSH2	1391.04	1557.17073555166	1557.17073555166	1672.681875	0.893312446889257	0.893312446889257	0.831622570191358
2	47476366	47476572	MSH2	1764.89	1557.17073555166	1557.17073555166	1672.681875	1.13339530451344	1.13339530451344	1.05512591866878
2	47478271	47478520	MSH2	1297.1	1557.17073555166	1557.17073555166	1672.681875	0.832985086597118	0.832985086597118	0.775461263367848
2	47480695	47480872	MSH2	1689.02	1557.17073555166	1557.17073555166	1672.681875	1.0846723236175	1.0846723236175	1.0097676224297
2	47482778	47482950	MSH2	2330.08	1557.17073555166	1557.17073555166	1672.681875	1.49635486128919	1.49635486128919	1.39302041519401
2	47783233	47783494	MSH6	1001.11	1557.17073555166	1557.17073555166	1357.6909	0.642903168640229	0.642903168640229	0.73736223760504
2	47790926	47791124	MSH6	1476.26	1557.17073555166	1557.17073555166	1357.6909	0.948039907439566	0.948039907439566	1.08733143898954
2	47795893	47796064	MSH6	1008.31	1557.17073555166	1557.17073555166	1357.6909	0.647526939069262	0.647526939069262	0.742665359250769
2	47798610	47801156	MSH6	1622.24	1557.17073555166	1557.17073555166	1357.6909	1.04178685288822	1.04178685288822	1.1948522303567
2	47803419	47803686	MSH6	525.731	1557.17073555166	1557.17073555166	1357.6909	0.337619368253635	0.337619368253635	0.387224367490421
2	47804909	47805028	MSH6	684.008	1557.17073555166	1557.17073555166	1357.6909	0.439263328280874	0.439263328280874	0.503802448701689
2	47805617	47805708	MSH6	1561.86	1557.17073555166	1557.17073555166	1357.6909	1.00301140031807	1.00301140031807	1.15037966299988
2	47806203	47806359	MSH6	2190.69	1557.17073555166	1557.17073555166	1357.6909	1.40683995016378	1.40683995016378	1.61354104973378
2	47806451	47806652	MSH6	1765.21	1557.17073555166	1557.17073555166	1357.6909	1.1336008054214	1.1336008054214	1.30015602225809
2	47806778	47806861	MSH6	1741.49	1557.17073555166	1557.17073555166	1357.6909	1.11836805061908	1.11836805061908	1.2826851826141
3	10141847	10142188	VHL	1269.15	1557.17073555166	1557.17073555166	1438.1	0.815035866667745	0.815035866667745	0.882518600931785
3	10146513	10146637	VHL	1011.42	1557.17073555166	1557.17073555166	1438.1	0.64952415101847	0.64952415101847	0.703302969195466
3	10149786	10149966	VHL	2033.73	1557.17073555166	1557.17073555166	1438.1	1.30604175481085	1.30604175481085	1.41417842987275
3	36993547	36993664	MLH1	1334.78	1557.17073555166	1557.17073555166	1673.09789473684	0.857182818509059	0.857182818509059	0.797789540109334
3	36996618	36996710	MLH1	1375.95	1557.17073555166	1557.17073555166	1673.09789473684	0.883621794698408	0.883621794698408	0.822396587987112
3	37000954	37001054	MLH1	1398.99	1557.17073555166	1557.17073555166	1673.09789473684	0.898417860071314	0.898417860071314	0.836167449855075
3	37004400	37004475	MLH1	1804.42	1557.17073555166	1557.17073555166	1673.09789473684	1.15878108854951	1.15878108854951	1.07849038940056
3	37006990	37007064	MLH1	1513.69	1557.17073555166	1557.17073555166	1673.09789473684	0.972077091767166	0.972077091767166	0.904722912366156
