Sample	Gene	Chr	Start	End	lowQual	CN	CNV.type
17296	SDHB	1	17053947	17054020		CN1	deletion
17296	ALK	2	29251104	29251268		CN3	duplication
17296	MSH6	2	47783233	47783494		CN1	deletion
17296	BARD1	2	214809400	214809581		CN1	deletion
17296	MET	7	116795654	116795792		CN3	duplication
17296	RECQL4	8	144514935	144515073		CN3	duplication
17296	SUFU	10	102593635	102593722		CN3	duplication
17296	WT1	11	32427955	32428059		CN3	duplication
17296	BRCA2	13	32315462	32315679		CN1	deletion
17296	MAX	14	65102303	65102340		CN1	deletion
17296	TSC2	16	2071509	2071617		CN3	duplication
17296	STK11	19	1220580	1220718		CN1	deletion
17296	RUNX1	21	34886842	34887097		CN1	deletion
17297	FH	1	241497827	241497971		CN1	deletion
17297	FH	1	241500436	241500591		CN1	deletion
17297	FH	1	241502442	241502571		CN1	deletion
17297	FH	1	241504041	241504246		CN1	deletion
17297	FH	1	241506002	241506169		CN1	deletion
17297	FH	1	241508602	241508786		CN1	deletion
17297	FH	1	241511966	241512144		CN1	deletion
17297	FH	1	241513602	241513714		CN1	deletion
17297	FH	1	241517181	241517317		CN1	deletion
17298	EPCAM	2	47369505	47369582		CN3	duplication
17298	FANCD2	3	10043828	10043865		CN1	deletion
17298	PMS2	7	5982823	5982992		CN1	deletion
17298	MAX	14	65102303	65102340		CN3	duplication
17298	RUNX1	21	34886842	34887097		CN3	duplication
17299	FANCD2	3	10049373	10049506		CN1	deletion
17299	FANCD2	3	10064728	10064876		CN1	deletion
17301	MSH2	2	47445547	47445658		CN3	duplication
17301	FANCE	6	35457555	35457601		CN1	deletion
17301	MET	7	116795654	116795792		CN3	duplication
17302	CDC73	1	193138084	193138174		CN3	duplication
17302	PMS2	7	5982823	5982992		CN1	deletion
17302	TSC1	9	132944531	132944633		CN3	duplication
17302	HNF1A	12	120993519	120993707		CN1	deletion
17302	BRCA1	17	43104121	43104262		CN1	deletion
17302	BRCA1	17	43104867	43104957		CN1	deletion
17302	BRCA1	17	43106455	43106534		CN1	deletion
17303	MSH2	2	47463030	47463155		CN1	deletion
17303	MSH2	2	47466657	47466809		CN1	deletion
17303	MSH2	2	47470964	47471063		CN1	deletion
17303	MSH2	2	47475024	47475271		CN1	deletion
17303	MSH2	2	47476366	47476572		CN1	deletion
17303	MSH2	2	47478271	47478520		CN1	deletion
17303	MSH2	2	47480695	47480872		CN1	deletion
17303	MSH2	2	47482778	47482950		CN1	deletion
17303	BARD1	2	214809400	214809581		CN1	deletion
17303	PHOX2B	4	41745806	41746323		CN1	deletion
17303	FANCE	6	35457555	35457601		CN3	duplication
17303	RECQL4	8	144513217	144513481		CN1	deletion
17303	CDKN2A	9	21994138	21994332		CN1	deletion
17303	RET	10	43104951	43105194		CN1	deletion
17303	BRCA2	13	32315462	32315679		CN1	deletion
17303	SLX4	16	3596152	3596394		CN1	deletion
17303	FLCN	17	17236900	17237151		CN1	deletion
17303	SMAD4	18	51030201	51030635		CN1	deletion
17303	STK11	19	1220580	1220718		CN1	deletion
17303	CEBPA	19	33301337	33302415		CN1	deletion
17303	ERCC2	19	45370535	45370541		CN1	deletion
17303	RUNX1	21	34886842	34887097		CN1	deletion
17303	CHEK2	22	28694031	28694118		CN3	duplication
17304	PALB2	16	23603458	23603670		CN1	deletion
17305	BRCA2	13	32319076	32319326		CN1	deletion
17306	BRCA1	17	43057051	43057136		CN1	deletion
17307	CHEK2	22	28724976	28725125		CN1	deletion
17307	CHEK2	22	28725242	28725368		CN1	deletion
