gene	cnvkit5	convading	decon	exomedepth	manta	panelcn	n
APC	1.3081	2.0349	0	0	0	1.8895	688
ATM	1.292	1.8826	0	0	0	1.5135	2709
BAP1	1.6416	2.3256	0	0	0	2.4624	731
BARD1	1.9027	2.3256	0.2114	0.2114	0	2.537	473
BMPR1A	4.1145	1.9678	0.3578	0	0	1.4311	559
BRCA1	1.9713	0.8961	0.0896	0	0.0896	1.0753	1116
BRCA2	1.9426	1.6892	0.0845	0.0845	0	1.4358	1184
BRIP1	1.8605	2.2093	0	0	0	1.6279	860
CDH1	3.4884	2.3256	0.436	0.2907	0	1.4535	688
CDK4	2.6163	2.0349	0	0	0	2.0349	344
CDKN2A	0.5814	4.6512	0	0	0	2.3256	172
CHEK2	2.1705	0.7752	0	0	0	0.6202	645
EPCAM	5.4264	1.0336	0.2584	0	0	1.0336	387
MLH1	1.1016	0.4896	0	0	0	0.8568	817
MSH2	1.4599	0.8759	0	0	0	1.3139	685
MSH6	3.7209	2.3256	0	0	0	0.9302	430
MUTYH	4.3605	2.6163	0	0	0	2.3256	688
NBN	2.0349	2.3256	0.2907	0	0	2.1802	688
NSD1	0	0	0	0	0	0	22
PALB2	2.6882	0.3584	0	0	0	0.5376	558
PMS2	2.1008	1.2605	0.4202	0.4202	0	1.8908	476
PTEN	0.7772	2.3316	0	0	0	2.3316	386
RAD51C	2.3256	0.2584	0	0	0	1.292	387
RAD51D	1.3953	1.1628	0.2326	0.2326	0	2.093	430
SDHB	0	0	0	0	0	0	7
SMAD4	1.7442	2.3256	0	0	0	1.7442	516
STK11	1.3953	2.7907	0.2326	0.2326	0	2.5581	430
TP53	1.0352	2.0704	0.207	0.207	0	2.2774	483
