gene	cnvkit5	convading	decon	panelcn	n
APC	0	1.8116	4.3478	0.9058	1104
ATM	0	1.6793	4.3478	0.5981	4347
BAP1	0	4.0921	4.3478	0.341	1173
BARD1	0	6.4559	4.3478	1.3175	759
BMPR1A	0	8.1382	4.3478	3.9019	897
BRCA1	0	18.4348	4	0.5217	1725
BRCA2	0	8.9802	4.1096	1.0147	1971
BRIP1	0	2.029	4.3478	0.7246	1380
CDH1	0	7.0652	4.3478	2.0833	1104
CDK4	0	4.8913	4.3478	0.9058	552
CDKN2A	0	57.2464	4.3478	2.8986	276
CHEK2	0	44.1905	4.2857	0.381	1050
EPCAM	0	23.9683	4.2857	4.4444	630
FH	0	10	0	0	10
MLH1	0	22.8833	4.3478	0.2288	1311
MSH2	0	26.4286	4.2857	0.5357	1120
MSH6	0	41.4493	4.3478	2.3188	690
MUTYH	0	10.5978	4.3478	0.9964	1104
NBN	0	9.6014	4.3478	1.4493	1104
NF1	0	1.7241	0	0	58
NSD1	4.3478	23.1884	37.6812	0	138
PALB2	0	0.7804	4.3478	0.1115	897
PMS2	0	35.4167	4.2969	2.7344	768
PTEN	0	6.6023	4.3478	2.2544	621
RAD51C	0	16.2641	4.3478	0	621
RAD51D	0	3.1884	4.3478	0.5797	690
RB1	3.7037	3.7037	0	3.7037	27
SMAD4	0	2.2947	4.3478	0.7246	828
STK11	0	18.1159	4.3478	0.7246	690
TP53	0	15.7143	4.2857	1.1688	770
WT1	0	30	0	0	10
