CHR	START	STOP	GENE	NUMBER_OF_TARGETS	NUMBER_OF_TARGETS_PASS_SHAPIRO.WILK_TEST	ABBERATION	CNV.type
1	193203794	193250713	CDC73	7	2	DEL	deletion
1	241508602	241508786	FH	1	0	DEL	deletion
2	29207170	29207273	ALK	1	0	DEL	deletion
2	47790926	47806861	MSH6	9	1	DEL	deletion
2	58159764	58165875	FANCL	7	0	DEL	deletion
2	58229813	58232113	FANCL	2	0	DEL	deletion
2	189795768	189867930	PMS1	9	5	DEL	deletion
2	214728664	214729020	BARD1	1	1	DEL	deletion
2	214745710	214797129	BARD1	7	2	DEL	deletion
2	232014927	232030081	DIS3L2	4	2	DEL	deletion
2	232130618	232300120	DIS3L2	8	4	DEL	deletion
2	232335772	232335875	DIS3L2	1	1	DUP	duplication
4	54695511	54707288	KIT	5	1	DEL	deletion
4	54723583	54738558	KIT	14	6	DEL	deletion
5	112801278	112828973	APC	7	3	DEL	deletion
5	112837552	112844127	APC	1	0	DEL	deletion
5	177273671	177273785	NSD1	1	0	DUP	duplication
7	55157662	55157754	EGFR	1	0	DUP	duplication
7	55174721	55174821	EGFR	1	0	DUP	duplication
7	116699084	116796125	MET	20	9	DEL	deletion
8	31080866	31132507	WRN	16	5	DEL	deletion
8	89953243	89980894	NBN	8	5	DEL	deletion
8	117804721	117804894	EXT1	1	0	DEL	deletion
8	117837107	117837202	EXT1	1	1	DEL	deletion
9	95149922	95172148	FANCC	3	2	DEL	deletion
9	95516622	95516821	PTCH1	1	1	DUP	duplication
9	97675438	97689640	XPA	4	2	DEL	deletion
9	132897422	132897611	TSC1	1	0	DUP	duplication
10	43120080	43120204	RET	1	0	DUP	duplication
10	87894024	87894110	PTEN	1	0	DEL	deletion
10	87965286	87965473	PTEN	1	0	DEL	deletion
11	44107682	44108249	EXT2	1	1	DEL	deletion
11	44114184	44114302	EXT2	1	1	DEL	deletion
11	44130044	44244288	EXT2	8	4	DEL	deletion
11	64805634	64805771	MEN1	1	1	DUP	duplication
11	64810618	64810728	MEN1	1	1	DUP	duplication
11	67483033	67483257	AIP	1	1	DUP	duplication
11	108334968	108354875	ATM	7	2	DEL	deletion
13	32398161	32398771	BRCA2	1	0	DEL	deletion
13	48342598	48364972	RB1	7	2	DEL	deletion
13	48456203	48456350	RB1	1	1	DUP	duplication
13	48473359	48480072	RB1	4	2	DEL	deletion
14	45153919	45154053	FANCM	1	0	DEL	deletion
14	45188801	45189363	FANCM	1	1	DEL	deletion
14	65093707	65093816	MAX	1	0	DEL	deletion
15	89264521	89281836	FANCI	8	3	DEL	deletion
16	13937765	13937859	ERCC4	1	1	DEL	deletion
16	50749698	50786947	CYLD	11	4	DEL	deletion
16	89742799	89742939	FANCA	1	1	DUP	duplication
16	89815876	89815987	FANCA	1	1	DUP	duplication
17	31169890	31169998	NF1	1	1	DEL	deletion
17	31221849	31233214	NF1	13	3	DEL	deletion
17	31252937	31253001	NF1	1	1	DEL	deletion
17	31260368	31260516	NF1	1	1	DEL	deletion
17	31358479	31358623	NF1	1	0	DEL	deletion
17	31374012	31374156	NF1	1	0	DEL	deletion
17	43091434	43094861	BRCA1	1	0	DEL	deletion
17	61776400	61776563	BRIP1	1	1	DEL	deletion
17	68515399	68530450	PRKAR1A	10	4	DEL	deletion
19	45353241	45353335	ERCC2	1	1	DUP	duplication
