start.p	end.p	type	nexons	start	end	chromosome	id	BF	reads.expected	reads.observed	reads.ratio	sample	Gene
8	8	deletion	1	17053948	17054020	1	chr1:17053948-17054020	11.2	471	284	0.603	17296	SDHB
57	57	deletion	1	241519591	241519723	1	chr1:241519591-241519723	7.31	746	515	0.69	17296	FH
87	87	deletion	1	47369506	47369582	2	chr2:47369506-47369582	4.72	66	34	0.515	17296	EPCAM
239	239	deletion	1	10141848	10142188	3	chr3:10141848-10142188	5.3	1053	769	0.73	17296	VHL
257	257	deletion	1	14178466	14178569	3	chr3:14178466-14178569	9	759	505	0.665	17296	XPC
539	540	deletion	2	144517602	144517785	8	chr8:144517602-144517785	5.18	111	69	0.622	17296	RECQL4
625	625	deletion	1	43077259	43077332	10	chr10:43077259-43077332	4.57	252	175	0.694	17296	RET
1201	1201	deletion	1	89816537	89816616	16	chr16:89816537-89816616	7.35	205	124	0.605	17296	FANCA
1227	1227	deletion	1	31095310	31095370	17	chr17:31095310-31095370	5.24	167	107	0.641	17296	NF1
48	57	deletion	10	241497828	241519723	1	chr1:241497828-241519723	93.9	14798	8832	0.597	17297	FH
1471	1486	deletion	16	14843567	133985450	X	chrX:14843567-133985450	62.9	33115	23150	0.699	17297	GPC3
538	540	duplication	3	144517414	144517785	8	chr8:144517414-144517785	20.9	625	985	1.58	17298	RECQL4
625	625	duplication	1	43077259	43077332	10	chr10:43077259-43077332	6.26	537	773	1.44	17298	RET
869	869	duplication	1	48303913	48304050	13	chr13:48303913-48304050	9.97	292	502	1.72	17298	RB1
1201	1201	duplication	1	89816537	89816616	16	chr16:89816537-89816616	7.71	370	571	1.54	17298	FANCA
372	375	duplication	4	5973399	5982992	7	chr7:5973399-5982992	26.4	3413	4423	1.3	17299	PMS2
844	844	duplication	1	32319077	32319326	13	chr13:32319077-32319326	7.11	2498	3183	1.27	17299	BRCA2
538	539	duplication	2	144517414	144517636	8	chr8:144517414-144517636	8.71	454	669	1.47	17300	RECQL4
1471	1486	deletion	16	14843567	133985450	X	chrX:14843567-133985450	108	38540	25116	0.652	17300	GPC3
103	103	duplication	1	47445548	47445658	2	chr2:47445548-47445658	5.74	3781	4771	1.26	17301	MSH2
538	539	deletion	2	144517414	144517636	8	chr8:144517414-144517636	9.65	675	458	0.679	17301	RECQL4
601	601	deletion	1	97697121	97697293	9	chr9:97697121-97697293	10.8	915	604	0.66	17301	XPA
625	625	deletion	1	43077259	43077332	10	chr10:43077259-43077332	8.38	712	480	0.674	17301	RET
625	625	deletion	1	43077259	43077332	10	chr10:43077259-43077332	8.42	434	252	0.581	17302	RET
1227	1227	deletion	1	31095310	31095370	17	chr17:31095310-31095370	10.3	218	103	0.472	17302	NF1
1312	1314	deletion	3	43104122	43106534	17	chr17:43104122-43106534	29.1	3386	2091	0.618	17302	BRCA1
57	57	deletion	1	241519591	241519723	1	chr1:241519591-241519723	6.12	1024	514	0.502	17303	FH
104	111	deletion	8	47463031	47482950	2	chr2:47463031-47482950	36.4	14162	8003	0.565	17303	MSH2
239	239	deletion	1	10141848	10142188	3	chr3:10141848-10142188	7.2	1627	772	0.474	17303	VHL
257	257	deletion	1	14178466	14178569	3	chr3:14178466-14178569	7.16	1168	550	0.471	17303	XPC
362	362	deletion	1	35452546	35452794	6	chr6:35452546-35452794	4.74	513	275	0.536	17303	FANCE
372	374	duplication	3	5973399	5978697	7	chr7:5973399-5978697	6.93	3570	4700	1.32	17303	PMS2
387	387	deletion	1	55019278	55019366	7	chr7:55019278-55019366	6.62	849	409	0.482	17303	EGFR
538	540	deletion	3	144517414	144517785	8	chr8:144517414-144517785	21.4	573	210	0.366	17303	RECQL4
601	601	deletion	1	97697121	97697293	9	chr9:97697121-97697293	7.47	631	282	0.447	17303	XPA
625	625	deletion	1	43077259	43077332	10	chr10:43077259-43077332	10.1	430	153	0.356	17303	RET
647	647	deletion	1	86756628	86756931	10	chr10:86756628-86756931	4.96	315	161	0.511	17303	BMPR1A
869	869	deletion	1	48303913	48304050	13	chr13:48303913-48304050	5.68	250	117	0.468	17303	RB1
1143	1143	deletion	1	68737416	68737464	16	chr16:68737416-68737464	6.07	284	131	0.461	17303	CDH1
1201	1201	deletion	1	89816537	89816616	16	chr16:89816537-89816616	9.47	337	121	0.359	17303	FANCA
1227	1227	deletion	1	31095310	31095370	17	chr17:31095310-31095370	5.95	261	120	0.46	17303	NF1
1471	1486	deletion	16	14843567	133985450	X	chrX:14843567-133985450	43.5	48877	31888	0.652	17303	GPC3
372	372	deletion	1	5973399	5973543	7	chr7:5973399-5973543	43.4	211	3	0.0142	17304	PMS2
1113	1113	deletion	1	23603459	23603670	16	chr16:23603459-23603670	32.8	2041	1140	0.559	17304	PALB2
257	257	duplication	1	14178466	14178569	3	chr3:14178466-14178569	4.81	1682	2122	1.26	17305	XPC
372	372	deletion	1	5973399	5973543	7	chr7:5973399-5973543	22.6	320	129	0.403	17305	PMS2
538	540	duplication	3	144517414	144517785	8	chr8:144517414-144517785	8.95	988	1265	1.28	17305	RECQL4
601	601	duplication	1	97697121	97697293	9	chr9:97697121-97697293	8.74	994	1335	1.34	17305	XPA
625	625	duplication	1	43077259	43077332	10	chr10:43077259-43077332	13.7	820	1194	1.46	17305	RET
844	844	deletion	1	32319077	32319326	13	chr13:32319077-32319326	26	3684	2123	0.576	17305	BRCA2
1201	1201	duplication	1	89816537	89816616	16	chr16:89816537-89816616	5.61	585	765	1.31	17305	FANCA
1227	1227	duplication	1	31095310	31095370	17	chr17:31095310-31095370	7.89	403	562	1.39	17305	NF1
